id	file	line	kind	attributes	relevance	decision	rationale	declaration
1	semantics/assert.k	6	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> Assert(V:Val) => .K ... </k>\n       requires truthy(V)
2	semantics/assert.k	8	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> Assert(V:Val) ~> _ => .K </k>\n       <exc> NoExc => AssertionError </exc>\n       <exit-code> _ => 1 </exit-code>\n       requires notBool truthy(V)
3	semantics/assert.k	13	rule	priority(40)	FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
4	semantics/bool.k	8	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule applyUn("not", V:Val) => notBool truthy(V)
5	semantics/bool.k	10	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
6	semantics/bool.k	11	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
7	semantics/bool.k	16	context		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	semantics/bool.k	17	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	semantics/bool.k	18	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>\n       requires truthy(V)
10	semantics/bool.k	20	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires notBool truthy(V)
11	semantics/bool.k	22	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires truthy(V)
12	semantics/bool.k	24	rule		FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>\n       requires notBool truthy(V)
13	semantics/bool.k	29	rule	priority(40)	FIXED_UNUSED	ACCEPT_OUT_OF_PATH	constructor/cell/callee shape is not reachable from the submitted program	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>\n       [priority(40)]
