id	file	line	kind	attributes	reachability	disposition	text
100	reference-semantics/semantics/builtins.k	32	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
101	reference-semantics/semantics/builtins.k	33	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
102	reference-semantics/semantics/builtins.k	34	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
103	reference-semantics/semantics/builtins.k	35	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
107	reference-semantics/semantics/builtins.k	41	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
166	reference-semantics/semantics/builtins.k	124	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
170	reference-semantics/semantics/builtins.k	132	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
276	reference-semantics/semantics/builtins.k	280	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Call(Attribute(Name("hashlib"), "md5"), (E:Expr, .Exprs)) => E ~> #md5 ... </k> [priority(40)]
294	reference-semantics/semantics/call.k	19	syntax	-	fixed_dependency_slice	MANUAL_REVIEW	syntax KItem ::= #callee(Exprs)
295	reference-semantics/semantics/call.k	20	rule	owise	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
296	reference-semantics/semantics/call.k	21	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k>
298	reference-semantics/semantics/call.k	26	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("sum")), (OBJ:Iterable, .Vals)) => #sumAcc(OBJ, 0) ... </k>
299	reference-semantics/semantics/call.k	27	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("all")), (OBJ:Iterable, .Vals)) => #allAcc(OBJ) ... </k>
300	reference-semantics/semantics/call.k	28	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("any")), (OBJ:Iterable, .Vals)) => #anyAcc(OBJ) ... </k>
301	reference-semantics/semantics/call.k	29	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("max")), (OBJ:Iterable, .Vals)) => #maxAcc0(OBJ) ... </k>
302	reference-semantics/semantics/call.k	30	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("min")), (OBJ:Iterable, .Vals)) => #minAcc0(OBJ) ... </k>
303	reference-semantics/semantics/call.k	31	rule	owise	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV(BN:String)), ACC:Vals) => applyBuiltin(BN, ACC) ... </k> [owise]
305	reference-semantics/semantics/call.k	38	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV(BN:String)), (ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
306	reference-semantics/semantics/call.k	42	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV(BN:String)), (A:Val, ref(H:Int), REST:Vals)) => #applyK(toCall(builtinV(BN)), (A, V, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
315	reference-semantics/semantics/call.k	69	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
316	reference-semantics/semantics/call.k	80	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(closureValC(PNS:ParamNames, CVS:ParamNames, BODY:Stmts, CM:Map)), ACC:Vals) ~> CONT => #allocCells(CVS) ~> #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(CM [ "$cells" <- cellsMark(CVS) ], parent(0)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack>
328	reference-semantics/semantics/comprehension.k	11	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule ListComp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
329	reference-semantics/semantics/comprehension.k	12	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule GenExp(ELT:Expr, Gs:CompFors) => Call(closureExpr(.ParamNames, compBody(Gs, ELT)), .Exprs)
331	reference-semantics/semantics/comprehension.k	15	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule compBody(Gs:CompFors, ELT:Expr) => Assign(Name("$acc"), ListExpr(.Exprs)) compNest(Gs, ELT) Return(Name("$acc"))
333	reference-semantics/semantics/comprehension.k	19	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule compNest(.CompFors, ELT:Expr) => Assign(Name("$acc"), BinOp("+", Name("$acc"), ListExpr(ELT)))
341	reference-semantics/semantics/concrete.k	13	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Compare(list(A:ValSeq), CmpOp("==", list(B:ValSeq))) => deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap>
343	reference-semantics/semantics/concrete.k	16	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Compare(list(A:ValSeq), CmpOp("!=", list(B:ValSeq))) => notBool deepEqVS(A, B, HP) ... </k> <heap> HP:Map </heap>
347	reference-semantics/semantics/concrete.k	28	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), .Vals)) => #ksort(VS, KV, .ValSeq, false) ... </k> [priority(40)]
348	reference-semantics/semantics/concrete.k	31	rule	priority	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #applyK(toCall(builtinV("sorted")), (list(VS:ValSeq), kwV("key", KV:Val), kwV("reverse", RB:Bool), .Vals)) => #ksort(VS, KV, .ValSeq, RB) ... </k> [priority(40)]
350	reference-semantics/semantics/concrete.k	36	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> #ksort(vCons(V:Val, R:ValSeq), KV:Val, ACC:ValSeq, RB:Bool) => KV ~> #callee((V, .Exprs)) ~> #ksIns(V, R, KV, ACC, RB) ... </k>
372	reference-semantics/semantics/controls.k	9	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
373	reference-semantics/semantics/controls.k	12	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> Assign(Name(X:String), V:Val) => #cellW({M[X]}:>Val, V) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
375	reference-semantics/semantics/controls.k	20	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- applyBin(OP, {M[X]}:>Val, V) ], _) ... </scopes>
377	reference-semantics/semantics/controls.k	27	rule	-	fixed_dependency_slice	MANUAL_REVIEW	rule <k> AugAssign(Name(X:String), OP:String, V:Val) => Assign(Name(X), BinOp(OP, Name(X), V)) ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map, _) ... </scopes>
