id	source	module	line_start	line_end	keyword	category	attributes	relevance	decision	normalized_sha256	normalized_sentence
K-0001	semantics.k	MPY	59	59	imports	imports		assembly	module assembly only	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
K-0002	semantics.k	MPY	60	60	imports	imports		assembly	module assembly only	8ad41781e06e91093b117ccd78f6f10180a840cf3b4adaa62547edd340b26acc	imports MPY-ITER
K-0003	semantics.k	MPY	61	61	imports	imports		assembly	module assembly only	548212ddc441d76983863c9d3376f95c8022ee76d1dcf98dbe9e839a912f1323	imports MPY-RANGE
K-0004	semantics.k	MPY	62	62	imports	imports		assembly	module assembly only	ee018db6efb00ffdd01d59dac03e43be2192505ed7049d1c693197e018cbc088	imports MPY-OPERATORS
K-0005	semantics.k	MPY	63	63	imports	imports		assembly	module assembly only	6a7df951c212c93cd44f9522a2128bbac2f97c6212765bb6d61d30326317e744	imports MPY-INT
K-0006	semantics.k	MPY	64	64	imports	imports		assembly	module assembly only	bdd3eb0c1e7cd57b39439fe4b6b566cfaa33b796f674c16ff6f57b752736478b	imports MPY-BOOL
K-0007	semantics.k	MPY	65	65	imports	imports		assembly	module assembly only	b6b71fc553a1963619cbab2a492279a95ca1f81cca764d12f5721cea2ce77cfc	imports MPY-FLOAT
K-0008	semantics.k	MPY	66	66	imports	imports		assembly	module assembly only	1c022ad4e0c945f696aa1f9d78eb4c3caf78ef9d9b46ae55d6fd081ff4264877	imports MPY-STR
K-0009	semantics.k	MPY	67	67	imports	imports		assembly	module assembly only	783147658ae89d8dfd5db1f7498e1994e2d82a87dc70c399891ee2e62d7aa7b6	imports MPY-SET
K-0010	semantics.k	MPY	68	68	imports	imports		assembly	module assembly only	511c798e04e96a7ad3e9efe5e06eb4804d66d38f1294d62d46068dc7eafb0373	imports MPY-LIST
K-0011	semantics.k	MPY	69	69	imports	imports		assembly	module assembly only	b1d1ddeb005d397d01d2501033a979d991b52ce94dc5c6fcb2c801237e698309	imports MPY-TUPLE
K-0012	semantics.k	MPY	70	70	imports	imports		assembly	module assembly only	e90331404c5d72894851d971bc8a38fd62bc826e9a92c5ef502548eaf8bcfade	imports MPY-SUBSCRIPT
K-0013	semantics.k	MPY	71	71	imports	imports		assembly	module assembly only	18c619c21645e05e9351296d878b165945130c0d89c08db4c496990eb4ff7b23	imports MPY-COMPREHENSION
K-0014	semantics.k	MPY	72	72	imports	imports		assembly	module assembly only	09fe9e0706aef859710b0c5447f1427e859a1a9e9660b612e310bb91d51ec923	imports MPY-METHODS
K-0015	semantics.k	MPY	73	73	imports	imports		assembly	module assembly only	47dfd92e317bb7c0d2b37ea8704d1ebdf3daf5f2ca37f0555105ffde812c5061	imports MPY-CONTROLS
K-0016	semantics.k	MPY	74	74	imports	imports		assembly	module assembly only	62b2a9826516b040855a34fff2e8ca376316ea03367b0f585eae03c0e4e3403c	imports MPY-FUNCTIONS
K-0017	semantics.k	MPY	75	75	imports	imports		assembly	module assembly only	513b07985ad1b60ab1fc94f4a08021dd25a5b0aa218c3a975ce281a00395ddfa	imports MPY-BUILTINS
K-0018	semantics.k	MPY	76	76	imports	imports		assembly	module assembly only	0c52765c886770ff4ce0300efb451d4b6ed20eb8ff585ae7e98d2be02377229e	imports MPY-CALL
K-0019	semantics.k	MPY	77	77	imports	imports		assembly	module assembly only	051aad84a25d7e3211653f3f83ada310438179bd83d7fa1228a62de6fb19b10b	imports MPY-SORT
K-0020	semantics.k	MPY	78	78	imports	imports		assembly	module assembly only	4f603401acfe25a81aba55de3528db3e1e8e6328b907ba1d69b5ece08a4ffd89	imports MPY-ASSERT
K-0021	semantics.k	MPY	79	79	imports	imports		assembly	module assembly only	4ff989d72f496502ff3ea8f84d27b5be72c05433d0f010e8e836c027a180b83d	imports MPY-DICT
K-0022	semantics.k	MPY-KRUN	88	88	imports	imports		assembly	module assembly only	6ae4e1db797b2c5a9b115b591095b3516869431c6682a05468cf9bfec87aac66	imports MPY
