id	source	module	start_line	end_line	kind	attributes	flags	disposition	text
S0001	/candidate/reference-semantics/semantics/assert.k	MPY-ASSERT	13	15	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>
       <heap> ... H |-> V:Val ... </heap>
       [priority(40)]"
S0002	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	29	30	rule	priority(40)	priority	fixed-supplied-semantics	"  rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>
       [priority(40)]"
S0003	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	33	34	requires	priority(40)	priority	fixed-supplied-semantics	"       requires truthy(V)
       [priority(40)]"
S0004	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	37	38	requires	priority(40)	priority	fixed-supplied-semantics	"       requires notBool truthy(V)
       [priority(40)]"
S0005	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	41	42	requires	priority(40)	priority	fixed-supplied-semantics	"       requires truthy(V)
       [priority(40)]"
S0006	/candidate/reference-semantics/semantics/bool.k	MPY-BOOL	45	46	requires	priority(40)	priority	fixed-supplied-semantics	"       requires notBool truthy(V)
       [priority(40)]"
S0007	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	17	19	syntax	function	function	fixed-supplied-semantics	"  syntax Val ::= applyBuiltin(String, Vals) [function]

  // ==== len(obj) — O(1) per kind ============================================"
S0008	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	20	20	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= seqLen(Val) [function]
S0009	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	36	36	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= charsOf(IntSeq) [function, total]
S0010	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	54	54	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= intOf(Val) [function]
S0011	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	97	97	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= maxVals(Int, Vals) [function]
S0012	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	102	102	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= minVals(Int, Vals) [function]
S0013	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	114	114	syntax	function, total	function,total	fixed-supplied-semantics	  syntax IntSeq ::= binCodes(Int) [function, total]
S0014	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	117	117	syntax	function, total	function,total	fixed-supplied-semantics	  syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
S0015	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	126	126	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
S0016	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	134	134	syntax	function, total	function,total	fixed-supplied-semantics	  syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
S0017	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	158	158	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
S0018	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	188	188	syntax	function	function	fixed-supplied-semantics	  syntax Int ::= evalArith(IntSeq) [function]
S0019	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	194	194	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= evDigit(Int) [function, total]
S0020	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	196	196	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= evHead42(IntSeq) [function, total]
S0021	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	198	198	rule	owise	owise	fixed-supplied-semantics	  rule evHead42(_:IntSeq)            => false [owise]
S0022	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	199	199	syntax	function, total	function,total	fixed-supplied-semantics	  syntax Bool ::= evHead47(IntSeq) [function, total]
S0023	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	201	201	rule	owise	owise	fixed-supplied-semantics	  rule evHead47(_:IntSeq)            => false [owise]
S0024	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	203	203	syntax	function, total	function,total	fixed-supplied-semantics	  syntax OpSeq ::= tokOps(IntSeq) [function, total]
S0025	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	214	215	syntax	function, total; function, total	function,total	fixed-supplied-semantics	"  syntax IntSeq ::= tokNds(IntSeq) [function, total]
                  | tokNdAcc(Int, IntSeq) [function, total]"
S0026	/candidate/reference-semantics/semantics/builtins.k	MPY-BUILTINS	223	223	rule	owise	owise	fixed-supplied-semantics	  rule tokNdAcc(A:Int, S:IntSeq) => iCons(A, tokNds(S)) [owise]
