COMMAND: python3 /audit-output/evidence/k_rule_inventory.py
ID	KIND	SOURCE	SPAN	ATTRIBUTES/CLASS	ASSESSMENT	TEXT
K0001	rule	reference-semantics/semantics/assert.k	6-7	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0002	rule	reference-semantics/semantics/assert.k	8-12	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0003	rule	reference-semantics/semantics/assert.k	13-15	priority	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0004	rule	reference-semantics/semantics/bool.k	8-9	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyUn("not", V:Val) => notBool truthy(V)
K0005	rule	reference-semantics/semantics/bool.k	10-10	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0006	rule	reference-semantics/semantics/bool.k	11-15	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
K0007	context	reference-semantics/semantics/bool.k	16-16	-	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	rule	reference-semantics/semantics/bool.k	17-17	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	rule	reference-semantics/semantics/bool.k	18-19	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0010	rule	reference-semantics/semantics/bool.k	20-21	ordinary-rule	ACCEPTED_SUPPLIED_BASELINE: byte-identical to the trusted mounted semantics; no candidate-local extension. Used-path fidelity is reviewed separately.	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
