file	line	kind	attributes	text
reference-semantics/semantics.k	34	requires		requires "semantics/syntax.k"
reference-semantics/semantics.k	35	requires		requires "semantics/core.k"
reference-semantics/semantics.k	36	requires		requires "semantics/iter.k"
reference-semantics/semantics.k	37	requires		requires "semantics/range.k"
reference-semantics/semantics.k	38	requires		requires "semantics/operators.k"
reference-semantics/semantics.k	39	requires		requires "semantics/int.k"
reference-semantics/semantics.k	40	requires		requires "semantics/bool.k"
reference-semantics/semantics.k	41	requires		requires "semantics/float.k"
reference-semantics/semantics.k	42	requires		requires "semantics/str.k"
reference-semantics/semantics.k	43	requires		requires "semantics/set.k"
reference-semantics/semantics.k	44	requires		requires "semantics/list.k"
reference-semantics/semantics.k	45	requires		requires "semantics/tuple.k"
reference-semantics/semantics.k	46	requires		requires "semantics/subscript.k"
reference-semantics/semantics.k	47	requires		requires "semantics/comprehension.k"
reference-semantics/semantics.k	48	requires		requires "semantics/methods.k"
reference-semantics/semantics.k	49	requires		requires "semantics/controls.k"
reference-semantics/semantics.k	50	requires		requires "semantics/functions.k"
reference-semantics/semantics.k	51	requires		requires "semantics/builtins.k"
reference-semantics/semantics.k	52	requires		requires "semantics/call.k"
reference-semantics/semantics.k	53	requires		requires "semantics/sort.k"
reference-semantics/semantics.k	54	requires		requires "semantics/assert.k"
reference-semantics/semantics.k	55	requires		requires "semantics/dict.k"
reference-semantics/semantics.k	56	requires		requires "semantics/concrete.k"
reference-semantics/semantics.k	58	module		module MPY
reference-semantics/semantics.k	59	import		imports MPY-CORE
reference-semantics/semantics.k	60	import		imports MPY-ITER
reference-semantics/semantics.k	61	import		imports MPY-RANGE
reference-semantics/semantics.k	62	import		imports MPY-OPERATORS
reference-semantics/semantics.k	63	import		imports MPY-INT
reference-semantics/semantics.k	64	import		imports MPY-BOOL
reference-semantics/semantics.k	65	import		imports MPY-FLOAT
reference-semantics/semantics.k	66	import		imports MPY-STR
reference-semantics/semantics.k	67	import		imports MPY-SET
reference-semantics/semantics.k	68	import		imports MPY-LIST
reference-semantics/semantics.k	69	import		imports MPY-TUPLE
reference-semantics/semantics.k	70	import		imports MPY-SUBSCRIPT
reference-semantics/semantics.k	71	import		imports MPY-COMPREHENSION
reference-semantics/semantics.k	72	import		imports MPY-METHODS
reference-semantics/semantics.k	73	import		imports MPY-CONTROLS
reference-semantics/semantics.k	74	import		imports MPY-FUNCTIONS
reference-semantics/semantics.k	75	import		imports MPY-BUILTINS
reference-semantics/semantics.k	76	import		imports MPY-CALL
reference-semantics/semantics.k	77	import		imports MPY-SORT
reference-semantics/semantics.k	78	import		imports MPY-ASSERT
reference-semantics/semantics.k	79	import		imports MPY-DICT
reference-semantics/semantics.k	80	endmodule		endmodule
reference-semantics/semantics.k	87	module		module MPY-KRUN
reference-semantics/semantics.k	88	import		imports MPY
reference-semantics/semantics.k	89	import		imports MPY-CONCRETE
reference-semantics/semantics.k	90	endmodule		endmodule
reference-semantics/semantics/assert.k	3	module		module MPY-ASSERT
reference-semantics/semantics/assert.k	4	import		imports MPY-CORE
reference-semantics/semantics/assert.k	6	rule-operational		rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k	8	rule-operational		rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k	13	rule-operational	priority(40)	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/assert.k	16	endmodule		endmodule
reference-semantics/semantics/bool.k	5	module		module MPY-BOOL
reference-semantics/semantics/bool.k	6	import		imports MPY-CORE
reference-semantics/semantics/bool.k	8	rule-equational		rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	10	rule-equational		rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11	rule-equational		rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
reference-semantics/semantics/bool.k	16	context		context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	17	rule-operational		rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18	rule-operational		rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	20	rule-operational		rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	22	rule-operational		rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	24	rule-operational		rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	29	rule-operational	priority(40)	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31	rule-operational	priority(40)	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	35	rule-operational	priority(40)	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	39	rule-operational	priority(40)	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	43	rule-operational	priority(40)	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	47	endmodule		endmodule
reference-semantics/semantics/builtins.k	3	module		module MPY-BUILTINS
reference-semantics/semantics/builtins.k	4	import		imports MPY-CORE
reference-semantics/semantics/builtins.k	5	import		imports MPY-STR
reference-semantics/semantics/builtins.k	6	import		imports MPY-SET
reference-semantics/semantics/builtins.k	7	import		imports MPY-ITER
reference-semantics/semantics/builtins.k	8	import		imports MPY-RANGE
reference-semantics/semantics/builtins.k	9	import		imports MPY-INT
reference-semantics/semantics/builtins.k	10	import		imports MPY-METHODS
reference-semantics/semantics/builtins.k	17	syntax-function	function	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	20	syntax-function	function	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	21	rule-equational		rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22	rule-equational		rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k	23	rule-equational		rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k	24	rule-equational		rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k	25	rule-equational		rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k	26	rule-equational		rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k	32	rule-operational		rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33	rule-operational		rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34	rule-operational		rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35	rule-operational		rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	36	syntax-function	function, total	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	37	rule-equational		rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k	38	rule-equational		rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	41	rule-equational		rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
reference-semantics/semantics/builtins.k	44	rule-equational		rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
reference-semantics/semantics/builtins.k	47	syntax		syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	48	rule-operational		rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	49	rule-operational		rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	50	rule-operational		rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	54	syntax-function	function	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	55	rule-equational		rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k	56	rule-equational		rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	59	syntax		syntax KItem ::= #allAcc(Iterable) | "#allCont"
reference-semantics/semantics/builtins.k	60	rule-operational		rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	61	rule-operational		rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	62	rule-operational		rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	64	rule-operational		rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	67	syntax		syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
reference-semantics/semantics/builtins.k	68	rule-operational		rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	69	rule-operational		rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	70	rule-operational		rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	72	rule-operational		rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	76	syntax		syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
reference-semantics/semantics/builtins.k	77	rule-operational		rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	78	rule-operational		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	80	rule-operational		rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	81	rule-operational		rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	82	rule-operational		rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	86	syntax		syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
reference-semantics/semantics/builtins.k	87	rule-operational		rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	88	rule-operational		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	90	rule-operational		rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	91	rule-operational		rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	92	rule-operational		rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	97	syntax-function	function	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	98	rule-equational		rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	99	rule-equational		rule maxVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	100	rule-equational		rule maxVals(M:Int, (I:Int, R:Vals)) => maxVals(maxInt(M, I), R)
reference-semantics/semantics/builtins.k	102	syntax-function	function	syntax Int ::= minVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	103	rule-equational		rule applyBuiltin("min", I:Int, REST:Vals) => minVals(I, REST)
reference-semantics/semantics/builtins.k	104	rule-equational		rule minVals(M:Int, .Vals)           => M
reference-semantics/semantics/builtins.k	105	rule-equational		rule minVals(M:Int, (I:Int, R:Vals)) => minVals(minInt(M, I), R)
reference-semantics/semantics/builtins.k	108	rule-equational		rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(48, iCons(98, binCodes(N)))) requires N >=Int 0
reference-semantics/semantics/builtins.k	111	rule-equational		rule applyBuiltin("bin", N:Int, .Vals) => str(iCons(45, iCons(48, iCons(98, binCodes(0 -Int N))))) requires N <Int 0
reference-semantics/semantics/builtins.k	114	syntax-function	function, total	syntax IntSeq ::= binCodes(Int) [function, total]
reference-semantics/semantics/builtins.k	115	rule-equational		rule binCodes(0) => iCons(48, .IntSeq)
reference-semantics/semantics/builtins.k	116	rule-equational		rule binCodes(N:Int) => binAcc(N, .IntSeq) requires N >Int 0
reference-semantics/semantics/builtins.k	117	syntax-function	function, total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]
reference-semantics/semantics/builtins.k	118	rule-equational		rule binAcc(0, ACC:IntSeq) => ACC
reference-semantics/semantics/builtins.k	119	rule-equational		rule binAcc(N:Int, ACC:IntSeq) => binAcc((N -Int pyMod(N, 2)) /Int 2, iCons(48 +Int pyMod(N, 2), ACC)) requires N >Int 0
reference-semantics/semantics/builtins.k	124	rule-operational		rule <k> #applyK(toCall(builtinV("enumerate")), (list(VS:ValSeq), .Vals)) => #alloc(list(enumVS(VS, 0))) ... </k>
reference-semantics/semantics/builtins.k	126	syntax-function	function, total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	127	rule-equational		rule enumVS(.ValSeq, _:Int) => .ValSeq
reference-semantics/semantics/builtins.k	128	rule-equational		rule enumVS(vCons(V:Val, R:ValSeq), I:Int) => vCons(tuple(vCons(I, vCons(V, .ValSeq))), enumVS(R, I +Int 1))
reference-semantics/semantics/builtins.k	132	rule-operational		rule <k> #applyK(toCall(builtinV("map")), (typeV("str"), list(VS:ValSeq), .Vals)) => #alloc(list(mapStrVS(VS))) ... </k>
reference-semantics/semantics/builtins.k	134	syntax-function	function, total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]
reference-semantics/semantics/builtins.k	135	rule-equational		rule mapStrVS(.ValSeq) => .ValSeq
reference-semantics/semantics/builtins.k	136	rule-equational		rule mapStrVS(vCons(I:Int, R:ValSeq)) => vCons(str(strToCodes(Int2String(I))), mapStrVS(R))
reference-semantics/semantics/builtins.k	137	rule-equational		rule mapStrVS(vCons(str(CS:IntSeq), R:ValSeq)) => vCons(str(CS), mapStrVS(R))
reference-semantics/semantics/builtins.k	140	rule-equational		rule applyBuiltin("int", I:Int, .Vals) => I
reference-semantics/semantics/builtins.k	143	rule-equational		rule applyBuiltin("ord", str(iCons(C:Int, .IntSeq)), .Vals) => C
reference-semantics/semantics/builtins.k	144	rule-equational		rule applyBuiltin("chr", I:Int, .Vals) => str(iCons(I, .IntSeq)) requires 0 <=Int I andBool I <Int 128
reference-semantics/semantics/builtins.k	148	rule-equational		rule applyBuiltin("str", I:Int, .Vals)       => str(strToCodes(Int2String(I)))
reference-semantics/semantics/builtins.k	149	rule-equational		rule applyBuiltin("str", str(CS:IntSeq), .Vals) => str(CS)
reference-semantics/semantics/builtins.k	152	rule-equational		rule applyBuiltin("int", str(iCons(C:Int, .IntSeq)), .Vals) => C -Int 48 requires 48 <=Int C andBool C <=Int 57
reference-semantics/semantics/builtins.k	156	rule-equational		rule applyBuiltin("int", str(CS:IntSeq), .Vals) => intDigAcc(CS, 0) requires isLen(CS) >=Int 2
reference-semantics/semantics/builtins.k	158	syntax-function	function, total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]
reference-semantics/semantics/builtins.k	159	rule-equational		rule intDigAcc(.IntSeq, ACC:Int)             => ACC
reference-semantics/semantics/builtins.k	160	rule-equational		rule intDigAcc(iCons(C:Int, R:IntSeq), ACC:Int) => intDigAcc(R, (ACC *Int 10) +Int (C -Int 48))
reference-semantics/semantics/builtins.k	163	rule-equational		rule applyBuiltin("zip", list(A:ValSeq), list(B:ValSeq), .Vals) => zipObj(A, B)
reference-semantics/semantics/builtins.k	164	rule-equational		rule applyBuiltin("zip", str(A:IntSeq), str(B:IntSeq), .Vals)   => zipObjS(A, B)
