line	declaration	attributes	coverage_or_role	assessment
7	parseLoopBody : Stmts	function	one unconditional equation	Defined but manually copied; no total attribute or opacity.
23	parseFunctionBody : Stmts	function	one unconditional equation	Defined but manually copied; no total attribute or opacity.
33	parseNestedParensClosure : Val	function	one unconditional equation	Defined synthetic closure; this is the real-program-pinning failure.
41	scanDone(Int,Int,ValSeq) : ScanState	constructor	data constructor	Ordinary transparent data constructor.
42	scanParens(IntSeq,Int,Int,ValSeq) : ScanState	function	empty, 40, 41, 32, and owise-cons cases	Exhaustive and structurally descending on finite IntSeq.
44	parenMax(Int,Int) : Int	function,total	A>B or A<=B	Exhaustive, disjoint, truthful.
60	scanDepth(ScanState), scanMaximum(ScanState) : Int	function,total	scanDone projections after scanParens normalization	No opaque result; every ScanState ground term from this grammar normalizes to scanDone or is already scanDone.
62	scanValues(ScanState) : ValSeq	function,total	scanDone projection after scanParens normalization	Same coverage argument.
67	finalChar(IntSeq,Val) : Val	function,total	empty or cons	Exhaustive, disjoint, structurally descending.
72	parsedParens(IntSeq) : ValSeq	function	one unconditional equation	Fully defined mathematical result for copied implementation.
78	parenInput(IntSeq) : Bool	function,total	empty or cons	Exhaustive, disjoint, structurally descending.
all	priority/simplification/concrete/functional/opaque declarations	none	not applicable	verification.k contains no priority, simplification, concrete, functional, symbol, or no-evaluators attribute.
