COMMAND: python3 /audit-output/evidence/05_inventory.py > /audit-output/evidence/05_inventory.txt
INVENTORY_EXIT_STATUS=0
  1284 205348 /audit-output/evidence/05_inventory.txt
7eb86df035184a856ab9c940cdbed5d1fe3fe9a5aabd865304788bfcb98f70c3  /audit-output/evidence/05_inventory.txt
COMMAND: python3 /audit-output/evidence/05_inventory.py
SOURCE_FILES=26
SOURCE	reference-semantics/semantics/assert.k	sha256=4258987a261d24b02ab3abfa52b3b2e013ea6323f9d5eb9a59c8f42cbcba030b	endmodule=1,imports=1,module=1,requires=2,rule=3
SOURCE	reference-semantics/semantics/bool.k	sha256=8d6cfa9cd1ed776e51d776e4d358c418960c57715a6f9654ef9af41aea29f4fd	context=1,endmodule=1,imports=1,module=1,requires=8,rule=13
SOURCE	reference-semantics/semantics/builtins.k	sha256=fa43a855b8a4548f305f3dd210c8f6c6e7aa15b8d1cb0b8296977f061310c2dd	endmodule=1,imports=7,module=1,requires=21,rule=137,syntax=38
SOURCE	reference-semantics/semantics/call.k	sha256=7e4d6c7cabe7bb4ccff52f21c5d5f30920ccb48d42864146ce53146509f736e4	endmodule=1,imports=3,module=1,requires=4,rule=21,syntax=3
SOURCE	reference-semantics/semantics/comprehension.k	sha256=cf7c38aad5cff698ebb05ecbadf00cbf210ddb2f54ae86f22b328311c027c6a7	endmodule=1,imports=5,module=1,rule=7,syntax=3
SOURCE	reference-semantics/semantics/concrete.k	sha256=1ffea42a32610e9116506d709e9163413aeb5f6deb7824ea554aca8341f2d305	endmodule=1,imports=1,module=1,requires=5,rule=16,syntax=5
SOURCE	reference-semantics/semantics/controls.k	sha256=325c73757d5a7ccf541b93240accd590a2cee90d84470efa3a4a0a14165aafae	endmodule=1,imports=3,module=1,requires=9,rule=34,syntax=3
SOURCE	reference-semantics/semantics/core.k	sha256=e0fdc11dc2b9cd0acb18fe7c832c1ea1ac0c9e79cadf40c63f34276aca513d7e	configuration=1,endmodule=1,imports=7,module=1,requires=8,rule=46,syntax=37
SOURCE	reference-semantics/semantics/dict.k	sha256=779b06e18162464c8422bbd6ac35fa0b9e34ef82807d5c707c6f4552d63c0580	endmodule=1,imports=4,module=1,requires=4,rule=28,syntax=12
SOURCE	reference-semantics/semantics/float.k	sha256=5dfeee8700c90c3aa6dc515b15b74283882845fb6cdcc3627d97ef650124b70f	endmodule=1,imports=3,module=1,requires=7,rule=121,syntax=34
SOURCE	reference-semantics/semantics/functions.k	sha256=e4c8f67741117b29703c3c61d48a5b0f92cf7bd531e78e25c03e794a910ac193	endmodule=1,imports=1,module=1,requires=3,rule=15,syntax=4
SOURCE	reference-semantics/semantics/int.k	sha256=dc2da7d81578370651ecb6905b69cb44443cdd8db3869441242b81420382abe5	endmodule=1,imports=1,module=1,rule=16,syntax=1
SOURCE	reference-semantics/semantics/iter.k	sha256=5085db2fed67b7bbd39f6289ec275905aaee742690895d7b3f843f73bd62f77f	endmodule=1,imports=1,module=1,syntax=1
SOURCE	reference-semantics/semantics/list.k	sha256=870c72341c25e2c16283726191a71bf5b571ed2995c8ae12e3e2923cdce5a9aa	endmodule=1,imports=3,module=1,requires=4,rule=27,syntax=5
SOURCE	reference-semantics/semantics/methods.k	sha256=ff9acc6dab2d1cc99ec4f2d234f27ae4526d752aae62bcfd7f9fd2a0399f7743	endmodule=1,imports=4,module=1,requires=6,rule=75,syntax=27
SOURCE	reference-semantics/semantics/operators.k	sha256=f3d1fd85734f5e1757307e606cbfb8d6d4bf0893ee85ce20ec99606ade910e8b	context=2,endmodule=1,imports=2,module=1,requires=3,rule=10
SOURCE	reference-semantics/semantics/range.k	sha256=810e4c04b757445c03592aef25c97d6b2cc7c6fffa646288bc6cd15a3cae643d	endmodule=1,imports=2,module=1,requires=5,rule=6,syntax=2
SOURCE	reference-semantics/semantics/set.k	sha256=b822c3c6944f9940a4477fa6b7a42490c407663f2a314394e9c146e8951f1ac7	endmodule=1,imports=1,module=1,requires=2,rule=12,syntax=6
SOURCE	reference-semantics/semantics/sort.k	sha256=df79670e4794a92e96ffc824857fbc34d3a65b6b6a3026d1dcf322128fbaba5a	endmodule=1,imports=2,module=1,requires=2,rule=19,syntax=6
SOURCE	reference-semantics/semantics/str.k	sha256=1bf0abf61d7c5df6301433a89c79d2ef4259d47a68d98385ff74618c4c310e0f	endmodule=1,imports=2,module=1,requires=2,rule=28,syntax=5
SOURCE	reference-semantics/semantics/subscript.k	sha256=dba04c0acf213bef4f9f7b11243ca00a2b3ca5fa8666c544ede7d382d27d36a7	context=2,endmodule=1,imports=1,module=1,requires=16,rule=40,syntax=15
SOURCE	reference-semantics/semantics/syntax.k	sha256=1e9e629e5e6e14bdd7f4d530375e8655a89366b5ecd0c24a3c57ad3b5708f2a6	endmodule=1,imports=4,module=1,syntax=16
SOURCE	reference-semantics/semantics/tuple.k	sha256=41395a1ec6a58129c78facb15b44206907c54d79e86ea363ae68cb37bfc64abb	endmodule=1,imports=4,module=1,requires=2,rule=21,syntax=4
SOURCE	reference-semantics/semantics.k	sha256=57e8f9f3178639bbb87f95e5cc596bbaa91a6463f965b1965911eff9a0269f97	endmodule=2,imports=23,module=2,requires=23
SOURCE	verification.k	sha256=486e58b29c0d46347de2e7e8199fc104268615ddee0a2f46cd935f6b6d3ef850	endmodule=2,imports=3,module=2,requires=8,rule=26,syntax=5
SOURCE	spec.k	sha256=5c978c8d2199cca4e9f54fdc7670d9250d934ebaaf4c9ecc4c033311866832ab	claim=2,endmodule=1,imports=1,module=1,requires=3
TOTALS	claim=2	configuration=1	context=5	endmodule=28	imports=90	module=28	requires=147	rule=721	syntax=232
FIELDS	file	line	kind	attributes	assessment	flattened-source-statement
ITEM	reference-semantics/semantics/assert.k	3	module	-	UNREACHABLE_FROM_SUBMITTED_PROGRAM	module MPY-ASSERT
ITEM	reference-semantics/semantics/assert.k	4	imports	-	UNREACHABLE_FROM_SUBMITTED_PROGRAM	imports MPY-CORE
ITEM	reference-semantics/semantics/assert.k	6	rule	-	UNREACHABLE_FROM_SUBMITTED_PROGRAM	rule <k> Assert(V:Val) => .K ... </k>
ITEM	reference-semantics/semantics/assert.k	7	requires	-	UNREACHABLE_FROM_SUBMITTED_PROGRAM	requires truthy(V)
ITEM	reference-semantics/semantics/assert.k	8	rule	-	UNREACHABLE_FROM_SUBMITTED_PROGRAM	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
TOTALS	claim=2	configuration=1	context=5	endmodule=28	imports=90	module=28	requires=147	rule=721	syntax=232
ITEM	verification.k	1	requires	-	PROOF_LOCAL_STRUCTURE	requires "reference-semantics/semantics.k"
ITEM	verification.k	3	module	-	PROOF_LOCAL_STRUCTURE	module VERIFICATION-SYNTAX
ITEM	verification.k	4	imports	-	PROOF_LOCAL_STRUCTURE	imports MPY
ITEM	verification.k	6	syntax	function,total	PROOF_LOCAL_DECLARATION_MANUALLY_AUDITED	syntax Bool ::= definedProjectInt(Val) [function, total] | definedProjectStr(Val) [function, total] | allowedOperator(Val)   [function, total] | validAlgebraLists(ValSeq, ValSeq) [function, total] | validAlgebraRest(ValSeq, ValSeq, Val) [function, total]
ITEM	verification.k	12	syntax	function,total,symbol,no-evaluators	PROOF_LOCAL_DECLARATION_MANUALLY_AUDITED	syntax Int ::= projectIntTotal(Val) [function, total, symbol(projectIntTotal), no-evaluators]
ITEM	verification.k	14	syntax	function,total,symbol,no-evaluators	PROOF_LOCAL_DECLARATION_MANUALLY_AUDITED	syntax Str ::= projectStrTotal(Val) [function, total, symbol(projectStrTotal), no-evaluators]
ITEM	verification.k	17	syntax	function,total	PROOF_LOCAL_DECLARATION_MANUALLY_AUDITED	syntax IntSeq ::= codesOf(Str) [function, total] | codesProject(Val) [function, total] | runPairCodes(IntSeq, ValSeq, ValSeq) [function, total]
ITEM	verification.k	20	syntax	function,total	PROOF_LOCAL_DECLARATION_MANUALLY_AUDITED	syntax Val ::= lastPairValue(ValSeq, ValSeq) [function, total]
ITEM	verification.k	21	endmodule	-	PROOF_LOCAL_STRUCTURE	endmodule
ITEM	verification.k	23	module	-	PROOF_LOCAL_STRUCTURE	module VERIFICATION
ITEM	verification.k	24	imports	-	PROOF_LOCAL_STRUCTURE	imports VERIFICATION-SYNTAX
ITEM	verification.k	25	imports	-	PROOF_LOCAL_STRUCTURE	imports MPY
ITEM	verification.k	30	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule definedProjectInt(V:Val) => isInt(V)
ITEM	verification.k	31	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule definedProjectStr(V:Val) => isStrV(V)
ITEM	verification.k	33	rule	simplification	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule #Ceil({@V:Val}:>Int) => ({ definedProjectInt(@V) #Equals true } #And #Ceil(@V)) [simplification]
ITEM	verification.k	36	rule	simplification	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule #Ceil({@V:Val}:>Str) => ({ definedProjectStr(@V) #Equals true } #And #Ceil(@V)) [simplification]
ITEM	verification.k	40	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule projectIntTotal(V:Val) => {V}:>Int
ITEM	verification.k	41	requires	simplification,concrete,preserves-definedness	PROOF_LOCAL_STRUCTURE	requires definedProjectInt(V) [concrete, simplification(10), preserves-definedness]
ITEM	verification.k	43	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule {V:Val}:>Int => projectIntTotal(V)
ITEM	verification.k	44	requires	simplification,symbolic,preserves-definedness	PROOF_LOCAL_STRUCTURE	requires definedProjectInt(V) [symbolic(V), simplification, preserves-definedness]
ITEM	verification.k	46	rule	simplification	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule projectIntTotal(I:Int) => I [simplification]
ITEM	verification.k	48	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule projectStrTotal(V:Val) => {V}:>Str
ITEM	verification.k	49	requires	simplification,concrete,preserves-definedness	PROOF_LOCAL_STRUCTURE	requires definedProjectStr(V) [concrete, simplification(10), preserves-definedness]
ITEM	verification.k	51	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule {V:Val}:>Str => projectStrTotal(V)
ITEM	verification.k	52	requires	simplification,symbolic,preserves-definedness	PROOF_LOCAL_STRUCTURE	requires definedProjectStr(V) [symbolic(V), simplification, preserves-definedness]
ITEM	verification.k	54	rule	simplification	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule projectStrTotal(S:Str) => S [simplification]
ITEM	verification.k	56	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule codesOf(str(CS:IntSeq)) => CS
ITEM	verification.k	57	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule codesProject(V:Val) => codesOf(projectStrTotal(V))
ITEM	verification.k	63	rule	-	PROOF_LOCAL_RULE_MANUALLY_AUDITED_PASS	rule applyBuiltin("str", V:Val, .Vals) => str(strToCodes(Int2String(projectIntTotal(V))))
ITEM	verification.k	65	requires	simplification	PROOF_LOCAL_STRUCTURE	requires definedProjectInt(V) [simplification]
