+ nl -ba /reference/k-proof/verification.k
     1	requires "reference-semantics/semantics.k"
     2	
     3	module VERIFICATION
     4	  imports MPY
     5	
     6	  // The statement sequence emitted in solution.mpy, named only to keep the
     7	  // configuration claim readable.
     8	  syntax Stmts ::= "getMaxTriplesBody" [function]
     9	  rule getMaxTriplesBody
    10	    => Assign(
    11	         Name("zero_count"),
    12	         BinOp("//", BinOp("+", Name("n"), Int(1)), Int(3)))
    13	       Assign(
    14	         Name("one_count"),
    15	         BinOp("-", Name("n"), Name("zero_count")))
    16	       Assign(
    17	         Name("zero_triples"),
    18	         BinOp(
    19	           "//",
    20	           BinOp(
    21	             "*",
    22	             BinOp(
    23	               "*",
    24	               Name("zero_count"),
    25	               BinOp("-", Name("zero_count"), Int(1))),
    26	             BinOp("-", Name("zero_count"), Int(2))),
    27	           Int(6)))
    28	       Assign(
    29	         Name("one_triples"),
    30	         BinOp(
    31	           "//",
    32	           BinOp(
    33	             "*",
    34	             BinOp(
    35	               "*",
    36	               Name("one_count"),
    37	               BinOp("-", Name("one_count"), Int(1))),
    38	             BinOp("-", Name("one_count"), Int(2))),
    39	           Int(6)))
    40	       Return(BinOp("+", Name("zero_triples"), Name("one_triples")))
    41	       .Stmts
    42	
    43	  // C(c, 3), written with the same floored-integer operation as Python.
    44	  // The argument is always a non-negative population count.
    45	  syntax Int ::= chooseThree(Int) [function]
    46	  rule chooseThree(C:Int)
    47	    => (C *Int (C -Int 1) *Int (C -Int 2)
    48	        -Int pyMod(C *Int (C -Int 1) *Int (C -Int 2), 6)) /Int 6
    49	
    50	  // Among 1,...,n, exactly floor((n+1)/3) indices are 2 modulo 3.
    51	  syntax Int ::= zeroResidues(Int) [function]
    52	  rule zeroResidues(N:Int)
    53	    => (N +Int 1 -Int pyMod(N +Int 1, 3)) /Int 3
    54	
    55	  syntax Int ::= tripleCount(Int) [function]
    56	  rule tripleCount(N:Int)
    57	    => chooseThree(zeroResidues(N))
    58	       +Int chooseThree(N -Int zeroResidues(N))
    59	endmodule
+ nl -ba /reference/k-proof/spec.k
     1	requires "verification.k"
     2	
     3	module SPEC
     4	  imports VERIFICATION
     5	
     6	  // a_i = i^2-i+1 is 1, 1, 0 modulo 3 for i = 0, 1, 2 modulo 3.
     7	  claim [residue-0]:
     8	    <k>
     9	      pyMod((3 *Int Q:Int) *Int (3 *Int Q)
    10	            -Int (3 *Int Q) +Int 1, 3)
    11	      => 1
    12	    </k>
    13	
    14	  claim [residue-1]:
    15	    <k>
    16	      pyMod((3 *Int Q:Int +Int 1) *Int (3 *Int Q +Int 1)
    17	            -Int (3 *Int Q +Int 1) +Int 1, 3)
    18	      => 1
    19	    </k>
    20	
    21	  claim [residue-2]:
    22	    <k>
    23	      pyMod((3 *Int Q:Int +Int 2) *Int (3 *Int Q +Int 2)
    24	            -Int (3 *Int Q +Int 2) +Int 1, 3)
    25	      => 0
    26	    </k>
    27	
    28	  // Execute the translated function for an arbitrary positive n.  The
    29	  // right-hand side is the independently stated residue-counting model:
    30	  // choose all three indices from the zero class or all three from the one
    31	  // class.
    32	  claim [get-max-triples-correct]:
    33	    <k>
    34	      Call(Name("get_max_triples"), (Int(N:Int), .Exprs))
    35	      => tripleCount(N)
