file	line	attributes	text
semantic.k	6		"syntax Module ::= ""Module"" ""("" Stmts "")"""
semantic.k	8		syntax Stmts ::= Stmt | Stmt Stmts
semantic.k	11		"syntax Stmt ::= ""FuncDef"" ""("" String "","" Params "","" Stmts "")"" | ""Return"" ""("" Expr "")"""
semantic.k	14		"syntax Strings ::= List{String, "",""}"
semantic.k	15		"syntax Params ::= ""Params"" ""("" Strings "")"""
semantic.k	17		"syntax Exprs ::= List{Expr, "",""}"
semantic.k	18		"syntax Expr ::= ""Str"" ""("" String "")"" | ""Name"" ""("" String "")"" | ""Attribute"" ""("" Expr "","" String "")"" | ""Call"" ""("" Expr "","" Exprs "")"""
semantic.k	34		syntax Value ::= strVal(String) | function(Params, Stmts) | boundStringMethod(String, String)
semantic.k	37		syntax KResult ::= Value
semantic.k	39		"syntax KItem ::= ""#invoke"" ""("" String "","" Value "")"" | ""#attribute"" ""("" String "")"" | ""#callNoArgs"" | ""#return"" | ""#endCall"""
semantic.k	88	function	syntax String ::= pySwapCase(String) [function]
semantic.k	89	function, total	syntax Int ::= utf8CharLen(String) [function, total]
unicode-case.k	6	function, total	syntax String ::= pySwapChar(String) [function, total]
verification.k	8	function	syntax String ::= flipSpec(String) [function]
