id	file	line	kind	attributes	relevance	assessment	statement_sha256	bounded_preview
1	reference-semantics/semantics.k	34	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	bd63dc2187bec52366768ae5e226469b8a2ad2c4c545712a0aa741516c9edc32	requires "semantics/syntax.k"
2	reference-semantics/semantics.k	35	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	8224539e3a3db217e66bd2a98ec63461834dc106ed2a29c0444f710fefda65f8	requires "semantics/core.k"
3	reference-semantics/semantics.k	36	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	1e5b8702816aaf910a96fba0d81db1abbb6b851cb951d2599f700d2bc99dc68d	requires "semantics/iter.k"
4	reference-semantics/semantics.k	37	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	aa5f663a5d1a12851ffd9c30d8f2ea8d3a5f525e2d67b7d0d58f7a8872201e30	requires "semantics/range.k"
5	reference-semantics/semantics.k	38	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	b194c4171e7ae0db64f5e70592f533a037cd2209b2efbffdbdce3f961c1ba8a3	requires "semantics/operators.k"
6	reference-semantics/semantics.k	39	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	821ae9d706d11a65db65080f76bf3791956656836d0cd541a1ce2c7a7c0fc866	requires "semantics/int.k"
7	reference-semantics/semantics.k	40	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	4486f908787bb0107a24b945f3cc04fd35649f6fc896ddfb8287e00541fb24d2	requires "semantics/bool.k"
8	reference-semantics/semantics.k	41	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	c686ca866c6c4244284f9c6fee5b4d3f0651dfee6f3b7caffa7acd081eedbf37	requires "semantics/float.k"
9	reference-semantics/semantics.k	42	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	3e6d049d0d07149d9b7da70a46f30478e3abc80a22c29d1bae5e92eb299269e5	requires "semantics/str.k"
10	reference-semantics/semantics.k	43	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	28167624a9874cf0814cc078c343db574329406ffd94ef33c6a15b3199409955	requires "semantics/set.k"
11	reference-semantics/semantics.k	44	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	a95bd351b20c771469491020adb0ced7ccb5e0d0925e1a2a2afec379202c449d	requires "semantics/list.k"
12	reference-semantics/semantics.k	45	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	4a702fffa1e16b4e2b9fe67d153dfac3c7e911bfa63b671a3bf13dcb280561fe	requires "semantics/tuple.k"
13	reference-semantics/semantics.k	46	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	f795613d9cb17629ce078e63a8a9c678058dd096cbc71b8d317b8f6dd90a9d92	requires "semantics/subscript.k"
14	reference-semantics/semantics.k	47	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	927b4eb4e3dce857ba8c6b0c9efa4dcea0bb75262d64b9d8c7acea80340f11d3	requires "semantics/comprehension.k"
15	reference-semantics/semantics.k	48	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	3708c0fc4fe99cb67a5e6687f95ab01b6b5c12ce14e46e42eab67de05e8a5d10	requires "semantics/methods.k"
16	reference-semantics/semantics.k	49	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	498f2b091406cd4a46c7abb4ef9bd80af213323fa3c73451330610c725364577	requires "semantics/controls.k"
17	reference-semantics/semantics.k	50	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	bf13fda77786233dc0dc9153ae8cbafc7f9314e3888571436ecbcf652ed84416	requires "semantics/functions.k"
18	reference-semantics/semantics.k	51	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	9dc1130a72c535f9390df5fdbf23b65d5eb8642149d9228616e15de0b282c1b6	requires "semantics/builtins.k"
19	reference-semantics/semantics.k	52	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	666c60af66b9a9a5e57ee0f3fc2f6b80fa7c40c65237af98051a82e0ae1568e3	requires "semantics/call.k"
20	reference-semantics/semantics.k	53	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	9879ce98eb6621931b97c6d9e8a5fb58ff797bc17ca199f746974bae0dcfbbbf	requires "semantics/sort.k"
21	reference-semantics/semantics.k	54	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	d0eef04114b1f5a8e340ed83c998f08e618cdd739a8137db71723d6eafb0d8e3	requires "semantics/assert.k"
22	reference-semantics/semantics.k	55	requires	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	dff85649217fc5c356552912f0333bbf2a1eb50bc7d60382df3ce84a5585d73d	requires "semantics/dict.k"
23	reference-semantics/semantics.k	56	requires	concrete	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	f5f94e239ba7397d1ac63fc775155ba549bf099b6f8a4a6036ab6fb3bdecfcb4	requires "semantics/concrete.k"
24	reference-semantics/semantics.k	58	module	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	340f552bdab12916ad400c9c2beec5903f96decc9f651bec2c79ee27125aa80e	module MPY
25	reference-semantics/semantics.k	59	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
26	reference-semantics/semantics.k	60	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	8ad41781e06e91093b117ccd78f6f10180a840cf3b4adaa62547edd340b26acc	imports MPY-ITER
27	reference-semantics/semantics.k	61	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	548212ddc441d76983863c9d3376f95c8022ee76d1dcf98dbe9e839a912f1323	imports MPY-RANGE
28	reference-semantics/semantics.k	62	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	ee018db6efb00ffdd01d59dac03e43be2192505ed7049d1c693197e018cbc088	imports MPY-OPERATORS
29	reference-semantics/semantics.k	63	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	6a7df951c212c93cd44f9522a2128bbac2f97c6212765bb6d61d30326317e744	imports MPY-INT
30	reference-semantics/semantics.k	64	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	bdd3eb0c1e7cd57b39439fe4b6b566cfaa33b796f674c16ff6f57b752736478b	imports MPY-BOOL
31	reference-semantics/semantics.k	65	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	b6b71fc553a1963619cbab2a492279a95ca1f81cca764d12f5721cea2ce77cfc	imports MPY-FLOAT
32	reference-semantics/semantics.k	66	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	1c022ad4e0c945f696aa1f9d78eb4c3caf78ef9d9b46ae55d6fd081ff4264877	imports MPY-STR
33	reference-semantics/semantics.k	67	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	783147658ae89d8dfd5db1f7498e1994e2d82a87dc70c399891ee2e62d7aa7b6	imports MPY-SET
34	reference-semantics/semantics.k	68	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	511c798e04e96a7ad3e9efe5e06eb4804d66d38f1294d62d46068dc7eafb0373	imports MPY-LIST
35	reference-semantics/semantics.k	69	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	b1d1ddeb005d397d01d2501033a979d991b52ce94dc5c6fcb2c801237e698309	imports MPY-TUPLE
36	reference-semantics/semantics.k	70	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	e90331404c5d72894851d971bc8a38fd62bc826e9a92c5ef502548eaf8bcfade	imports MPY-SUBSCRIPT
37	reference-semantics/semantics.k	71	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	18c619c21645e05e9351296d878b165945130c0d89c08db4c496990eb4ff7b23	imports MPY-COMPREHENSION
38	reference-semantics/semantics.k	72	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	09fe9e0706aef859710b0c5447f1427e859a1a9e9660b612e310bb91d51ec923	imports MPY-METHODS
39	reference-semantics/semantics.k	73	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	47dfd92e317bb7c0d2b37ea8704d1ebdf3daf5f2ca37f0555105ffde812c5061	imports MPY-CONTROLS
40	reference-semantics/semantics.k	74	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	62b2a9826516b040855a34fff2e8ca376316ea03367b0f585eae03c0e4e3403c	imports MPY-FUNCTIONS
41	reference-semantics/semantics.k	75	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	513b07985ad1b60ab1fc94f4a08021dd25a5b0aa218c3a975ce281a00395ddfa	imports MPY-BUILTINS
42	reference-semantics/semantics.k	76	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	0c52765c886770ff4ce0300efb451d4b6ed20eb8ff585ae7e98d2be02377229e	imports MPY-CALL
43	reference-semantics/semantics.k	77	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	051aad84a25d7e3211653f3f83ada310438179bd83d7fa1228a62de6fb19b10b	imports MPY-SORT
44	reference-semantics/semantics.k	78	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	4f603401acfe25a81aba55de3528db3e1e8e6328b907ba1d69b5ece08a4ffd89	imports MPY-ASSERT
45	reference-semantics/semantics.k	79	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	4ff989d72f496502ff3ea8f84d27b5be72c05433d0f010e8e836c027a180b83d	imports MPY-DICT
46	reference-semantics/semantics.k	80	endmodule	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
47	reference-semantics/semantics.k	87	module	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	3c507e22c3e1c073f40583d7461bc43221d4c807fb1114f39c77aace50585bc9	module MPY-KRUN
48	reference-semantics/semantics.k	88	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	6ae4e1db797b2c5a9b115b591095b3516869431c6682a05468cf9bfec87aac66	imports MPY
49	reference-semantics/semantics.k	89	imports	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	ed62b27710dfe37a3cb8fc6a56c6f1bce2c878a39d15675f250c57927c4a2018	imports MPY-CONCRETE
50	reference-semantics/semantics.k	90	endmodule	-	assembly	STRUCTURAL_FIXED_SUPPLIED_ITEM	4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
51	reference-semantics/semantics/assert.k	3	module	-	unused	STRUCTURAL_FIXED_SUPPLIED_ITEM	c9be78fdc587dd075a47c08e505694a8890633ae600b52f886a4ff33046c24b6	module MPY-ASSERT
52	reference-semantics/semantics/assert.k	4	imports	-	unused	STRUCTURAL_FIXED_SUPPLIED_ITEM	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
53	reference-semantics/semantics/assert.k	6	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	90fd8cb48806b565c7efda64556bc1f3741e4c215670728e20119ee4302ac5f5	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
54	reference-semantics/semantics/assert.k	8	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	dfe24d6909cafaa624ffd02ce638b5285dda809ae92d1bf8f64b9ef11388019b	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
55	reference-semantics/semantics/assert.k	13	rule	priority	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	94ec1f9b321539df9f19af2581391cdb32c7dc4d56895d3d9732706d61c6e039	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
56	reference-semantics/semantics/assert.k	16	endmodule	-	unused	STRUCTURAL_FIXED_SUPPLIED_ITEM	4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
57	reference-semantics/semantics/bool.k	5	module	-	unused	STRUCTURAL_FIXED_SUPPLIED_ITEM	d0f4ccd7f134c7e028e54d830d022d5ca267e8266c1692006db410b48d14f7c1	module MPY-BOOL
58	reference-semantics/semantics/bool.k	6	imports	-	unused	STRUCTURAL_FIXED_SUPPLIED_ITEM	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
59	reference-semantics/semantics/bool.k	8	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	f6a9f817afd56c9168797a3f098cd08c12966f18447d1e0f9d1a05f16ae677c4	rule applyUn("not", V:Val) => notBool truthy(V)
60	reference-semantics/semantics/bool.k	10	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	27c7ab07384784839a8a863b3f9933be214b73575a7e3e811e125c3d99a0370a	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
61	reference-semantics/semantics/bool.k	11	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	f0788e13f0abae37612da8abb60d3691cbb09b5d03a086f76272e5f320394b16	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
62	reference-semantics/semantics/bool.k	16	context	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	4bad2e2ff81c39e87091eef691d33bff23a6d7adf29b55aafe2a261e9e7aa33a	context BoolOp(_, (HOLE:Expr, _:Exprs))
63	reference-semantics/semantics/bool.k	17	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	dd652a87b5666794e2e19a88c80917f8819ce783aae50f826a5d468e4a188544	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
64	reference-semantics/semantics/bool.k	18	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	c903d941fb7314ce9a808ef44e64dbb8c65585c74cc3935c843f59b30f0db2cb	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
65	reference-semantics/semantics/bool.k	20	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	609b42dde8cecff47044578c95dfa8dfa3b51a7bc1edc878294ab4d92055e5d3	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
66	reference-semantics/semantics/bool.k	22	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	35db19b77856833b1ec95458c7910d4d19ee21bd4789ec7f53115cb3c62f20fd	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
67	reference-semantics/semantics/bool.k	24	rule	-	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	98d1d87a96e8fea9e3d0349ffa03f360b08176511df1f9cc9cb60f30592f4d7c	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
68	reference-semantics/semantics/bool.k	29	rule	priority	unused	ACCEPT_FIXED_SUPPLIED_SEMANTICS_NO_FALSE_WITNESS_FOUND	570c438ed2f88db94f853171689a61a4a3efbf6632bd00359e59635b287cdd42	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
