index	a	b	canonical	submitted	math_gcd
0	3	5	1	1	1
1	25	15	5	5	5
2	0	0	0	0	0
3	0	1	1	1	1
4	1	0	1	1	1
5	0	-1	-1	1	1
6	-1	0	-1	1	1
7	0	9	9	9	9
8	9	0	9	9	9
9	0	-9	-9	9	9
10	-9	0	-9	9	9
11	1	1	1	1	1
12	-1	-1	-1	1	1
13	7	7	7	7	7
14	-7	7	7	7	7
15	7	-7	-7	7	7
16	-7	-7	-7	7	7
17	54	24	6	6	6
18	-54	24	6	6	6
19	54	-24	-6	6	6
20	-54	-24	-6	6	6
21	24	54	6	6	6
22	5	3	1	1	1
23	6	3	3	3	3
24	6	4	2	2	2
25	35	64	1	1	1
26	115792089237316195423570985008687907853269984665640564039457584007913129639936	340282366920938463463374607431768211456	340282366920938463463374607431768211456	340282366920938463463374607431768211456	340282366920938463463374607431768211456
27	115792089237316195423570985008687907853269984665640564039457584007913129639935	340282366920938463463374607431768211455	340282366920938463463374607431768211455	340282366920938463463374607431768211455	340282366920938463463374607431768211455
28	-115792089237316195423570985008687907853269984665640564039457584007913129639936	340282366920938463463374607431768211456	340282366920938463463374607431768211456	340282366920938463463374607431768211456	340282366920938463463374607431768211456
29	115792089237316195423570985008687907853269984665640564039457584007913129639936	-340282366920938463463374607431768211456	-340282366920938463463374607431768211456	340282366920938463463374607431768211456	340282366920938463463374607431768211456
30	-64	-64	-64	64	64
31	-64	-63	-1	1	1
32	-64	-62	-2	2	2
33	-64	-61	-1	1	1
34	-64	-60	-4	4	4
35	-64	-59	-1	1	1
36	-64	-58	-2	2	2
37	-64	-57	-1	1	1
38	-64	-56	-8	8	8
39	-64	-55	-1	1	1
40	-64	-54	-2	2	2
41	-64	-53	-1	1	1
42	-64	-52	-4	4	4
43	-64	-51	-1	1	1
44	-64	-50	-2	2	2
45	-64	-49	-1	1	1
46	-64	-48	-16	16	16
47	-64	-47	-1	1	1
48	-64	-46	-2	2	2
49	-64	-45	-1	1	1
50	-64	-44	-4	4	4
51	-64	-43	-1	1	1
52	-64	-42	-2	2	2
53	-64	-41	-1	1	1
54	-64	-40	-8	8	8
55	-64	-39	-1	1	1
56	-64	-38	-2	2	2
57	-64	-37	-1	1	1
58	-64	-36	-4	4	4
59	-64	-35	-1	1	1
60	-64	-34	-2	2	2
61	-64	-33	-1	1	1
62	-64	-32	-32	32	32
63	-64	-31	-1	1	1
64	-64	-30	-2	2	2
65	-64	-29	-1	1	1
66	-64	-28	-4	4	4
67	-64	-27	-1	1	1
68	-64	-26	-2	2	2
69	-64	-25	-1	1	1
70	-64	-24	-8	8	8
71	-64	-23	-1	1	1
72	-64	-22	-2	2	2
73	-64	-21	-1	1	1
74	-64	-20	-4	4	4
75	-64	-19	-1	1	1
76	-64	-18	-2	2	2
77	-64	-17	-1	1	1
78	-64	-16	-16	16	16
79	-64	-15	-1	1	1
80	-64	-14	-2	2	2
81	-64	-13	-1	1	1
82	-64	-12	-4	4	4
83	-64	-11	-1	1	1
84	-64	-10	-2	2	2
85	-64	-9	-1	1	1
86	-64	-8	-8	8	8
87	-64	-7	-1	1	1
88	-64	-6	-2	2	2
89	-64	-5	-1	1	1
90	-64	-4	-4	4	4
91	-64	-3	-1	1	1
92	-64	-2	-2	2	2
93	-64	-1	-1	1	1
94	-64	0	-64	64	64
95	-64	1	1	1	1
96	-64	2	2	2	2
97	-64	3	1	1	1
98	-64	4	4	4	4
99	-64	5	1	1	1
100	-64	6	2	2	2
101	-64	7	1	1	1
102	-64	8	8	8	8
103	-64	9	1	1	1
104	-64	10	2	2	2
105	-64	11	1	1	1
106	-64	12	4	4	4
107	-64	13	1	1	1
108	-64	14	2	2	2
109	-64	15	1	1	1
110	-64	16	16	16	16
111	-64	17	1	1	1
112	-64	18	2	2	2
113	-64	19	1	1	1
114	-64	20	4	4	4
115	-64	21	1	1	1
116	-64	22	2	2	2
117	-64	23	1	1	1
118	-64	24	8	8	8
119	-64	25	1	1	1
120	-64	26	2	2	2
121	-64	27	1	1	1
122	-64	28	4	4	4
123	-64	29	1	1	1
124	-64	30	2	2	2
125	-64	31	1	1	1
126	-64	32	32	32	32
127	-64	33	1	1	1
128	-64	34	2	2	2
129	-64	35	1	1	1
130	-64	36	4	4	4
131	-64	37	1	1	1
132	-64	38	2	2	2
133	-64	39	1	1	1
134	-64	40	8	8	8
135	-64	41	1	1	1
136	-64	42	2	2	2
137	-64	43	1	1	1
138	-64	44	4	4	4
139	-64	45	1	1	1
140	-64	46	2	2	2
141	-64	47	1	1	1
142	-64	48	16	16	16
143	-64	49	1	1	1
144	-64	50	2	2	2
145	-64	51	1	1	1
146	-64	52	4	4	4
147	-64	53	1	1	1
148	-64	54	2	2	2
149	-64	55	1	1	1
150	-64	56	8	8	8
151	-64	57	1	1	1
152	-64	58	2	2	2
153	-64	59	1	1	1
154	-64	60	4	4	4
155	-64	61	1	1	1
156	-64	62	2	2	2
157	-64	63	1	1	1
158	-64	64	64	64	64
159	-63	-64	-1	1	1
160	-63	-63	-63	63	63
161	-63	-62	-1	1	1
162	-63	-61	-1	1	1
163	-63	-60	-3	3	3
164	-63	-59	-1	1	1
165	-63	-58	-1	1	1
166	-63	-57	-3	3	3
167	-63	-56	-7	7	7
168	-63	-55	-1	1	1
169	-63	-54	-9	9	9
170	-63	-53	-1	1	1
171	-63	-52	-1	1	1
172	-63	-51	-3	3	3
173	-63	-50	-1	1	1
174	-63	-49	-7	7	7
175	-63	-48	-3	3	3
176	-63	-47	-1	1	1
177	-63	-46	-1	1	1
178	-63	-45	-9	9	9
179	-63	-44	-1	1	1
180	-63	-43	-1	1	1
181	-63	-42	-21	21	21
182	-63	-41	-1	1	1
183	-63	-40	-1	1	1
184	-63	-39	-3	3	3
185	-63	-38	-1	1	1
186	-63	-37	-1	1	1
187	-63	-36	-9	9	9
188	-63	-35	-7	7	7
189	-63	-34	-1	1	1
190	-63	-33	-3	3	3
191	-63	-32	-1	1	1
192	-63	-31	-1	1	1
193	-63	-30	-3	3	3
194	-63	-29	-1	1	1
195	-63	-28	-7	7	7
196	-63	-27	-9	9	9
197	-63	-26	-1	1	1
198	-63	-25	-1	1	1
199	-63	-24	-3	3	3
200	-63	-23	-1	1	1
201	-63	-22	-1	1	1
202	-63	-21	-21	21	21
203	-63	-20	-1	1	1
204	-63	-19	-1	1	1
205	-63	-18	-9	9	9
206	-63	-17	-1	1	1
207	-63	-16	-1	1	1
208	-63	-15	-3	3	3
209	-63	-14	-7	7	7
210	-63	-13	-1	1	1
211	-63	-12	-3	3	3
212	-63	-11	-1	1	1
213	-63	-10	-1	1	1
214	-63	-9	-9	9	9
215	-63	-8	-1	1	1
216	-63	-7	-7	7	7
217	-63	-6	-3	3	3
218	-63	-5	-1	1	1
219	-63	-4	-1	1	1
220	-63	-3	-3	3	3
221	-63	-2	-1	1	1
222	-63	-1	-1	1	1
223	-63	0	-63	63	63
224	-63	1	1	1	1
225	-63	2	1	1	1
226	-63	3	3	3	3
227	-63	4	1	1	1
228	-63	5	1	1	1
229	-63	6	3	3	3
230	-63	7	7	7	7
231	-63	8	1	1	1
232	-63	9	9	9	9
233	-63	10	1	1	1
234	-63	11	1	1	1
235	-63	12	3	3	3
236	-63	13	1	1	1
237	-63	14	7	7	7
238	-63	15	3	3	3
239	-63	16	1	1	1
240	-63	17	1	1	1
241	-63	18	9	9	9
242	-63	19	1	1	1
243	-63	20	1	1	1
244	-63	21	21	21	21
245	-63	22	1	1	1
246	-63	23	1	1	1
247	-63	24	3	3	3
248	-63	25	1	1	1
249	-63	26	1	1	1
250	-63	27	9	9	9
251	-63	28	7	7	7
252	-63	29	1	1	1
253	-63	30	3	3	3
254	-63	31	1	1	1
255	-63	32	1	1	1
256	-63	33	3	3	3
257	-63	34	1	1	1
258	-63	35	7	7	7
259	-63	36	9	9	9
260	-63	37	1	1	1
261	-63	38	1	1	1
262	-63	39	3	3	3
263	-63	40	1	1	1
264	-63	41	1	1	1
265	-63	42	21	21	21
266	-63	43	1	1	1
267	-63	44	1	1	1
268	-63	45	9	9	9
269	-63	46	1	1	1
270	-63	47	1	1	1
271	-63	48	3	3	3
272	-63	49	7	7	7
273	-63	50	1	1	1
274	-63	51	3	3	3
275	-63	52	1	1	1
276	-63	53	1	1	1
277	-63	54	9	9	9
278	-63	55	1	1	1
279	-63	56	7	7	7
280	-63	57	3	3	3
281	-63	58	1	1	1
282	-63	59	1	1	1
283	-63	60	3	3	3
284	-63	61	1	1	1
285	-63	62	1	1	1
286	-63	63	63	63	63
287	-63	64	1	1	1
288	-62	-64	-2	2	2
289	-62	-63	-1	1	1
