id	source	line	kind	tags	assessment	rationale	text
1	semantics/assert.k	6	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> Assert(V:Val) => .K ... </k>\n       requires truthy(V)
2	semantics/assert.k	8	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> Assert(V:Val) ~> _ => .K </k>\n       <exc> NoExc => AssertionError </exc>\n       <exit-code> _ => 1 </exit-code>\n       requires notBool truthy(V)
3	semantics/assert.k	13	rule	priority	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
4	semantics/bool.k	8	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	semantics/bool.k	10	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	semantics/bool.k	11	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2\n\n  // ==== BoolOp: short-circuit, value-returning and / or =====================\n  // the node is its own accumulator: heat the HEAD element only, then either return it\n  // (short-circuit) or drop it and continue"
7	semantics/bool.k	16	context		SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	  context BoolOp(_, (HOLE:Expr, _:Exprs))
8	semantics/bool.k	17	rule	ordinary	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	  rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	semantics/bool.k	18	rule	ordinary	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>\n       requires truthy(V)"
10	semantics/bool.k	20	rule	ordinary	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires notBool truthy(V)"
11	semantics/bool.k	22	rule	ordinary	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires truthy(V)"
12	semantics/bool.k	24	rule	ordinary	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>\n       requires notBool truthy(V)\n\n  // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the\n  // operand — and/or return the OBJECT itself (Python identity), not its structure"
13	semantics/bool.k	29	rule	priority	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	  rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>\n       [priority(40)]
14	semantics/bool.k	31	rule	priority	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]"
15	semantics/bool.k	35	rule	priority	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]"
16	semantics/bool.k	39	rule	priority	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]"
17	semantics/bool.k	43	rule	priority	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	"  rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires notBool truthy(V)\n       [priority(40)]"
18	semantics/builtins.k	17	syntax	function	SUPPLIED_FIXED_USED_REVIEWED	used fixed-semantics declaration/rule; operational behavior is consistent on the reached sort/domain	  syntax Val ::= applyBuiltin(String, Vals) [function]\n\n  // ==== len(obj) — O(1) per kind ============================================
19	semantics/builtins.k	20	syntax	function	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  syntax Int ::= seqLen(Val) [function]
20	semantics/builtins.k	21	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	"  rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
21	semantics/builtins.k	22	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
22	semantics/builtins.k	23	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
23	semantics/builtins.k	24	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule seqLen(str(IS:IntSeq))                   => isLen(IS)
24	semantics/builtins.k	25	rule	ordinary	SUPPLIED_FIXED_UNUSED	outside this program/proof path; no false-conclusion witness found, but no full Python-equivalence claim is made	  rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
