Command:
  PYTHONPATH=/reference python3 evidence/42-independent-integrity-checks.py

Exit code: 0

PASS | audit envelope and resolved-input digest | 1025a14d54554d1ad0d9559e466bf842f99aea0d2e4e167e8032a0bc155b302f
PASS | audit mode | CLASSIFICATION_AND_PROOF
PASS | problem | 109-move-one-ball
PASS | condition | kit-semantics
PASS | semantics mode | SUPPLIED_SEMANTICS
PASS | producer hashes match source manifest | {'klean_export.py': 'bbd11ce0fe6ac12ea89d4bdc70c260044bc9f87c987ff310684b637ea6464a07', 'klean.py': '42a38e6d65b74af3536acc49947b7cfbac809406bdfe5549841e3132af5a5c4d'}
PASS | klean_export.py matches generator manifest | bbd11ce0fe6ac12ea89d4bdc70c260044bc9f87c987ff310684b637ea6464a07
PASS | klean.py matches generator manifest | 42a38e6d65b74af3536acc49947b7cfbac809406bdfe5549841e3132af5a5c4d
PASS | generator image matches generator manifest | sha256:f884238cea5ab1ed0da0a75d0c9a29ac4abe988616c3f493ba60e74ca3290cf7
PASS | generator image matches signed producer path | /home/yuqing/Documents/Code/humaneval-benchmark/data/stage4-producer-sources/f884238cea5ab1ed0da0a75d0c9a29ac4abe988616c3f493ba60e74ca3290cf7
PASS | all reconstructed source spans, normalized hashes, and IDs | 12/12
PASS | inventory hash independently recomputed | e7581c4cdd2c4847747f0d1386bc17857b25c08874b12a090a6be0c32116955b
PASS | verification.k raw hash | 29c13d56bb1a0389e75163a4716014d73960a7f4948324dd782562b04e588524
PASS | verification closure | ['VERIFICATION']
PASS | inventory IDs unique | 12
PASS | discovery IDs unique | 12
PASS | ordered discovery/inventory bijection | 12 == 12
PASS | discovery inventory hash | e7581c4cdd2c4847747f0d1386bc17857b25c08874b12a090a6be0c32116955b
PASS | independent classification equals protected classification | {'DEFINITION': 10, 'DOMAIN_LEMMA': 2}
PASS | every simplification is DEFINITION or DOMAIN_LEMMA |
PASS | simplification set is exactly the independent domain set |
PASS | all signed Stage 1 source hashes | 791 files
PASS | signed mounted tree hash: k_workspace_sha256 | ec32e6ce5f484fec53110b21a0fc0e485c920028eb5da8ff5418d4adc8548320
PASS | signed mounted tree hash: k_audit_sha256 | 5be48a201353283f2c7df6b8d81bfc9d2169ec15a20ddefc1adbf94c188518c7
PASS | signed mounted tree hash: klean_generation_sha256 | c2490c988a42482a20f072632f1e9b90e49eaab8d964607970d9859379a90671
PASS | signed mounted tree hash: generation_producer_sources_sha256 | 388cac39f4f89b5a912d2628ef5c7963e791f5ed775cf1e9606fe64dcfd5f11e
PASS | signed mounted tree hash: lean_workspace_sha256 | 00f932e7bff214e7622c4373004a4f84e8bb9a3875dd34178970693bede11c88
PASS | signed discovery file hash | fd0de281a482ea361f1b9f7511fdca1473337fc71e049895f9374a742e88b059
PASS | signed Stage 1 export tree hash | 6c727e9671dcff3375e88586fcfdc9406530e1ebf187acda1cd7198aa00b1f88
PASS | signed generated export tree hash | 159d35045ec9fd551774ca169ba660a0f57639022cdd975f6de8bf09c9993256
PASS | Stage 4 input manifest is exact ordered inventory | 12
PASS | Stage 4 input classifications |
PASS | Stage 4 input inventory and source hashes |
PASS | domain/source-rule exact ordered set | ['rule-f4bdada31cc091a93eafbccbe69892fe1124bf15cc9c0d653798acc812093b2d', 'rule-1790939123173b0e0d0436b3ebbcacdb5e49ed4a87ef17f2f877dc7b6d6e1fd1']
PASS | source-rule/obligation exact ordered bijection | ['rule-f4bdada31cc091a93eafbccbe69892fe1124bf15cc9c0d653798acc812093b2d', 'rule-1790939123173b0e0d0436b3ebbcacdb5e49ed4a87ef17f2f877dc7b6d6e1fd1']
PASS | all obligation hashes, spans, and provenance |
PASS | obligation map raw hash | 9e5a8d3f598cc362dc7d310b59781b73bb02768970d7b444aa561742d2471f76
PASS | obligation count is nonempty and exact | 2
PASS | all target-parameter binding hashes and links |
PASS | target parameters cover both obligations | ['rule-1790939123173b0e0d0436b3ebbcacdb5e49ed4a87ef17f2f877dc7b6d6e1fd1', 'rule-f4bdada31cc091a93eafbccbe69892fe1124bf15cc9c0d653798acc812093b2d']
PASS | target definition is exact generated conjunction | c5d254fb9807d6d0b71d4442b0eeb72d8bd72fefa7ea01457c7dd5cbce99f190
PASS | target statement raw hash | f92275cba75daf6423a698d8599a2df3b3aceff0bfae9bc0b7fa6d6f7566b11a
PASS | generator-manifest target identity |
PASS | audit-input target identity |
PASS | recorded Stage 4 preflight target identity |
PASS | fresh Base target identity |
PASS | trust inventory raw hash | e41a99b34a8d0dce596da819c9019a1766cca27144643c5cbbf34d95346486bd
PASS | trust inventory internally accounts declarations | 42
PASS | no generated sorry/noncomputable repair escape |
PASS | export-result identities |
PASS | candidate contains no forbidden token: sorry |
PASS | candidate contains no forbidden token: admit |
PASS | candidate contains no forbidden token: unsafe |
PASS | candidate contains no forbidden token: axiom |
PASS | candidate contains no forbidden token: opaque |
PASS | candidate does not shadow targetStatement |
PASS | candidate declares one Proof.final at fixed target |
PASS | fresh proof source unchanged from candidate | 98650edfb3d9dc1c67b135aedc82dabc58ffd309d6c26c6397acae06fb8169a0
PASS | fresh Base export tree unchanged | 159d35045ec9fd551774ca169ba660a0f57639022cdd975f6de8bf09c9993256
SUMMARY | checks=59 failed=0
