id,file,line,kind,flags,decision,declaration
1,reference-semantics/semantics/assert.k,4,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-CORE
2,reference-semantics/semantics/assert.k,6,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
3,reference-semantics/semantics/assert.k,8,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
4,reference-semantics/semantics/assert.k,13,rule,priority,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule
5,reference-semantics/semantics/bool.k,6,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-CORE
6,reference-semantics/semantics/bool.k,8,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyUn(""not"", V:Val) => notBool truthy(V)"
7,reference-semantics/semantics/bool.k,10,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
8,reference-semantics/semantics/bool.k,11,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
9,reference-semantics/semantics/bool.k,16,context,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"context BoolOp(_, (HOLE:Expr, _:Exprs))"
10,reference-semantics/semantics/bool.k,17,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>"
11,reference-semantics/semantics/bool.k,18,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
12,reference-semantics/semantics/bool.k,20,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
13,reference-semantics/semantics/bool.k,22,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
14,reference-semantics/semantics/bool.k,24,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
15,reference-semantics/semantics/bool.k,29,rule,priority,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]"
16,reference-semantics/semantics/bool.k,31,rule,priority,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
17,reference-semantics/semantics/bool.k,35,rule,priority,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
18,reference-semantics/semantics/bool.k,39,rule,priority,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
19,reference-semantics/semantics/bool.k,43,rule,priority,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)] endmodule"
20,reference-semantics/semantics/builtins.k,4,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-CORE
21,reference-semantics/semantics/builtins.k,5,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-STR
22,reference-semantics/semantics/builtins.k,6,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-SET
23,reference-semantics/semantics/builtins.k,7,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-ITER
24,reference-semantics/semantics/builtins.k,8,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-RANGE
25,reference-semantics/semantics/builtins.k,9,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-INT
26,reference-semantics/semantics/builtins.k,10,imports,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,imports MPY-METHODS
27,reference-semantics/semantics/builtins.k,17,syntax,function,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax Val ::= applyBuiltin(String, Vals) [function]"
28,reference-semantics/semantics/builtins.k,20,syntax,function,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,syntax Int ::= seqLen(Val) [function]
29,reference-semantics/semantics/builtins.k,21,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
30,reference-semantics/semantics/builtins.k,22,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
31,reference-semantics/semantics/builtins.k,23,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
32,reference-semantics/semantics/builtins.k,24,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule seqLen(str(IS:IntSeq))                   => isLen(IS)
33,reference-semantics/semantics/builtins.k,25,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
34,reference-semantics/semantics/builtins.k,26,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)"
35,reference-semantics/semantics/builtins.k,32,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
36,reference-semantics/semantics/builtins.k,33,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
37,reference-semantics/semantics/builtins.k,34,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
38,reference-semantics/semantics/builtins.k,35,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
39,reference-semantics/semantics/builtins.k,36,syntax,"function,total",ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"syntax ValSeq ::= charsOf(IntSeq) [function, total]"
40,reference-semantics/semantics/builtins.k,37,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,rule charsOf(.IntSeq)                => .ValSeq
41,reference-semantics/semantics/builtins.k,38,rule,,ACCEPTED_FIXED_SUPPLIED_SEMANTICS,"rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))"
