index	a	b
0	3	5
1	25	15
2	0	0
3	0	1
4	1	0
5	0	-1
6	-1	0
7	0	9
8	9	0
9	0	-9
10	-9	0
11	1	1
12	-1	-1
13	7	7
14	-7	7
15	7	-7
16	-7	-7
17	54	24
18	-54	24
19	54	-24
20	-54	-24
21	24	54
22	5	3
23	6	3
24	6	4
25	35	64
26	115792089237316195423570985008687907853269984665640564039457584007913129639936	340282366920938463463374607431768211456
27	115792089237316195423570985008687907853269984665640564039457584007913129639935	340282366920938463463374607431768211455
28	-115792089237316195423570985008687907853269984665640564039457584007913129639936	340282366920938463463374607431768211456
29	115792089237316195423570985008687907853269984665640564039457584007913129639936	-340282366920938463463374607431768211456
30	-64	-64
31	-64	-63
32	-64	-62
33	-64	-61
34	-64	-60
35	-64	-59
36	-64	-58
37	-64	-57
38	-64	-56
39	-64	-55
40	-64	-54
41	-64	-53
42	-64	-52
43	-64	-51
44	-64	-50
45	-64	-49
46	-64	-48
47	-64	-47
48	-64	-46
49	-64	-45
50	-64	-44
51	-64	-43
52	-64	-42
53	-64	-41
54	-64	-40
55	-64	-39
56	-64	-38
57	-64	-37
58	-64	-36
59	-64	-35
60	-64	-34
61	-64	-33
62	-64	-32
63	-64	-31
64	-64	-30
65	-64	-29
66	-64	-28
67	-64	-27
68	-64	-26
69	-64	-25
70	-64	-24
71	-64	-23
72	-64	-22
73	-64	-21
74	-64	-20
75	-64	-19
76	-64	-18
77	-64	-17
78	-64	-16
79	-64	-15
80	-64	-14
81	-64	-13
82	-64	-12
83	-64	-11
84	-64	-10
85	-64	-9
86	-64	-8
87	-64	-7
88	-64	-6
89	-64	-5
90	-64	-4
91	-64	-3
92	-64	-2
93	-64	-1
94	-64	0
95	-64	1
96	-64	2
97	-64	3
98	-64	4
99	-64	5
100	-64	6
101	-64	7
102	-64	8
103	-64	9
104	-64	10
105	-64	11
106	-64	12
107	-64	13
108	-64	14
109	-64	15
110	-64	16
111	-64	17
112	-64	18
113	-64	19
114	-64	20
115	-64	21
116	-64	22
117	-64	23
118	-64	24
119	-64	25
120	-64	26
121	-64	27
122	-64	28
123	-64	29
124	-64	30
125	-64	31
126	-64	32
127	-64	33
128	-64	34
129	-64	35
130	-64	36
131	-64	37
132	-64	38
133	-64	39
134	-64	40
135	-64	41
136	-64	42
137	-64	43
138	-64	44
139	-64	45
140	-64	46
141	-64	47
142	-64	48
143	-64	49
144	-64	50
145	-64	51
146	-64	52
147	-64	53
148	-64	54
149	-64	55
150	-64	56
151	-64	57
152	-64	58
153	-64	59
154	-64	60
155	-64	61
156	-64	62
157	-64	63
158	-64	64
159	-63	-64
160	-63	-63
161	-63	-62
162	-63	-61
163	-63	-60
164	-63	-59
165	-63	-58
166	-63	-57
167	-63	-56
168	-63	-55
169	-63	-54
170	-63	-53
171	-63	-52
172	-63	-51
173	-63	-50
174	-63	-49
175	-63	-48
176	-63	-47
177	-63	-46
178	-63	-45
179	-63	-44
180	-63	-43
181	-63	-42
182	-63	-41
183	-63	-40
184	-63	-39
185	-63	-38
186	-63	-37
187	-63	-36
188	-63	-35
189	-63	-34
190	-63	-33
191	-63	-32
192	-63	-31
193	-63	-30
194	-63	-29
195	-63	-28
196	-63	-27
197	-63	-26
198	-63	-25
199	-63	-24
200	-63	-23
201	-63	-22
202	-63	-21
203	-63	-20
204	-63	-19
205	-63	-18
206	-63	-17
207	-63	-16
208	-63	-15
209	-63	-14
210	-63	-13
211	-63	-12
212	-63	-11
213	-63	-10
214	-63	-9
215	-63	-8
216	-63	-7
217	-63	-6
218	-63	-5
219	-63	-4
220	-63	-3
221	-63	-2
222	-63	-1
223	-63	0
224	-63	1
225	-63	2
226	-63	3
227	-63	4
228	-63	5
229	-63	6
230	-63	7
231	-63	8
232	-63	9
233	-63	10
234	-63	11
235	-63	12
236	-63	13
237	-63	14
238	-63	15
239	-63	16
240	-63	17
241	-63	18
242	-63	19
243	-63	20
244	-63	21
245	-63	22
246	-63	23
247	-63	24
248	-63	25
249	-63	26
250	-63	27
251	-63	28
252	-63	29
253	-63	30
254	-63	31
255	-63	32
256	-63	33
257	-63	34
258	-63	35
259	-63	36
260	-63	37
261	-63	38
262	-63	39
263	-63	40
264	-63	41
265	-63	42
266	-63	43
267	-63	44
268	-63	45
269	-63	46
270	-63	47
271	-63	48
272	-63	49
273	-63	50
274	-63	51
275	-63	52
276	-63	53
277	-63	54
278	-63	55
279	-63	56
280	-63	57
281	-63	58
282	-63	59
283	-63	60
284	-63	61
285	-63	62
286	-63	63
287	-63	64
288	-62	-64
289	-62	-63
290	-62	-62
291	-62	-61
292	-62	-60
293	-62	-59
294	-62	-58
295	-62	-57
296	-62	-56
297	-62	-55
298	-62	-54
299	-62	-53
300	-62	-52
301	-62	-51
302	-62	-50
303	-62	-49
304	-62	-48
305	-62	-47
306	-62	-46
307	-62	-45
308	-62	-44
309	-62	-43
310	-62	-42
311	-62	-41
312	-62	-40
313	-62	-39
314	-62	-38
315	-62	-37
316	-62	-36
317	-62	-35
318	-62	-34
319	-62	-33
320	-62	-32
321	-62	-31
322	-62	-30
323	-62	-29
324	-62	-28
325	-62	-27
326	-62	-26
327	-62	-25
328	-62	-24
329	-62	-23
