construct	submitted occurrence	declaration / fixed rules	evaluation, control, and state review	decision
Module	solution.mpy:1	reference-semantics/semantics/syntax.k:61; core.k:124-127	#loadAll unwraps the module, and statement sequencing evaluates each statement in order; krun-solution-load.log shows the resulting exact closure binding.	SOUND
FuncDef / Params	solution.mpy:2	reference-semantics/semantics/syntax.k:53,57,60; functions.k:14-16	The normal unannotated function rule stores closureVal(PNS,BODY,current-env) in module scope 0. pinning-check.log proves PNS and BODY constructor equality with the claim binding.	SOUND
Stmts	solution.mpy:3-6	reference-semantics/semantics/syntax.k:56; core.k:126-127	The list constructor sequences assignment, loop, and return left-to-right and removes only the empty statement unit.	SOUND
Assign	solution.mpy:3,5	reference-semantics/semantics/syntax.k:41 [strict(2)]; controls.k:9-18	The right-hand side is evaluated first; the applicable plain-frame rule updates only the current scope. The higher-priority closure-cell case is guard-disjoint because the exact frame has no "$cells" entry.	SOUND
Name	solution.mpy:3-6	reference-semantics/semantics/syntax.k:12; core.k:130-154	Name first captures current env, then lookup returns a present local binding or follows parent links. In the pinned states n/divisor are present in frame 1 and largest_divisor is present in frame 0.	SOUND
Int	solution.mpy:3-5	reference-semantics/semantics/syntax.k:9; core.k:193-196	Int(I) evaluates to the same unbounded mathematical integer I, matching Python integers for this program.	SOUND
BinOp("-")	solution.mpy:3,5	reference-semantics/semantics/syntax.k:15 [seqstrict(2,3)]; operators.k:12; int.k:13	Operands evaluate left-to-right, dispatch applies integer subtraction, and no heap/reference preemption matches integer operands.	SOUND
BinOp("%")	solution.mpy:4	reference-semantics/semantics/syntax.k:15 [seqstrict(2,3)]; operators.k:12; int.k:15,19-20	Operands evaluate left-to-right. pyMod is Python's floored modulus for the proof domain divisor>=1; the divisor is never zero under either claim precondition/invariant.	SOUND
CmpOp("!=") / Compare	solution.mpy:4	reference-semantics/semantics/syntax.k:30,32; operators.k:14-17; int.k:27	Contexts evaluate the left expression and wrapped right expression before the owise dispatch. Integer inequality is exact; reference-object rules are sort/pattern-disjoint.	SOUND
While	solution.mpy:4-5	reference-semantics/semantics/syntax.k:46; controls.k:65-85	While becomes #while; each iteration reevaluates the guard, executes the body only when truthy, and #loopLbl returns to the same loop head. Integer truthiness is core.k:199-205. The loop claim begins at this real #while state.	SOUND
Return	solution.mpy:6	reference-semantics/semantics/syntax.k:50 [strict]; functions.k:77-90	The expression is evaluated, Return stores retV and discards the remaining callee continuation as Python return requires, then #pop restores caller env/continuation, removes the callee frame, and restores scopeLoc. The exact stack/frame context is pinned in the loop claim.	SOUND
Call / Exprs	spec.k:80 (entry invocation)	reference-semantics/semantics/syntax.k:28,37; call.k:18-21,69-74; core.k:183-191; functions.k:62-75	Callee lookup occurs before left-to-right argument evaluation. closureVal dispatch allocates frame 1, saves arbitrary CONT, binds the single n argument, executes the exact BODY, and appends #endcall. Heap, exception, and exit-code cells are preserved.	SOUND
configuration	spec.k:7-76,79-112	reference-semantics/semantics/core.k:44-60; functions.k:8-11	The entry state is the post-module-load configuration with exact env/scopes/counters/empty heap/stack/return/exception cells. The loop state is the exact live callee frame and saved caller continuation. Both are realizable.	SOUND
builtinsScope	spec.k:22,46,86	reference-semantics/semantics/core.k:156-181	The total fixed function expands only the reserved -1 scope. No builtin is invoked by the submitted body; the scope is pinned solely to make ordinary parent lookup faithful.	SOUND
largestDivisorAtOrBelow	spec.k:18,82; verification.k:8-17	verification.k:8-17	Base and descent guards are disjoint; for D>1 they cover remainder zero/nonzero, D strictly decreases, and at D=1 pyMod(N,1)=0 supplies the base. It names the first downward divisor and does not rewrite any program constructor.	SOUND
loop-invariant claim	spec.k:6-76	spec.k:6-76	For N>=2,D>=1, executing the real loop, following return/#pop, yields the mathematical summary and the saved arbitrary continuation. Exact callee/caller cells and closure binding are present.	SOUND CIRCULARITY
largest-divisor entry claim	spec.k:78-112	spec.k:78-112	For unbounded N>=2, executes Call on the exact binding/body and constrains the returned value to largestDivisorAtOrBelow(N,N-1); all other cells are restored/preserved.	SOUND TARGET
