file	ordinal	start_line	end_line	kind	semantic_class	attributes	function	functional	total	symbol	no-evaluators	priority	simplification	concrete	owise	macro	strict	seqstrict	source_sha256	source	review_disposition	review_rationale	false_conclusion_witness
reference-semantics/semantics/assert.k	1	6	7	rule	operational-rule		False	False	False	False	False	False	False	False	False	False	False	False	46ba8624b23bf183d99353eab0c339c7261e3934373bc10c8d6eb0966fb6e4c2	  rule <k> Assert(V:Val) => .K ... </k>\n       requires truthy(V)	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/assert.k	2	8	11	rule	operational-rule		False	False	False	False	False	False	False	False	False	False	False	False	02af58c82c4e0fde67d9f12072d76f2988fe7ee14a6095de5e3458d305cc53d4	  rule <k> Assert(V:Val) ~> _ => .K </k>\n       <exc> NoExc => AssertionError </exc>\n       <exit-code> _ => 1 </exit-code>\n       requires notBool truthy(V)	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/assert.k	3	13	15	rule	operational-rule	priority(40)	False	False	False	False	False	True	False	False	False	False	False	False	394326569ed8c1799184b4ed5f7f854898024e4cb1235144ef0f39f8b96a1cd9	  rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	1	8	8	rule	equational-rule		False	False	False	False	False	False	False	False	False	False	False	False	274ff35fd151cd732d15a1272707ece9a30a3e8a434efd8affb128403bd37106	"  rule applyUn(""not"", V:Val) => notBool truthy(V)"	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	2	10	10	rule	equational-rule		False	False	False	False	False	False	False	False	False	False	False	False	f9d84a06392e2fadf7137e9e4c111657d995f025f4f1d6b5dac05fb58a21972b	"  rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	3	11	11	rule	equational-rule		False	False	False	False	False	False	False	False	False	False	False	False	12c6816337f8d80cfe6e6ee206b683ea5da78db220d397a15d2789bd5e18cd20	"  rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	4	16	16	context	context		False	False	False	False	False	False	False	False	False	False	False	False	de6eec95e5ddf9dc9af3d2a9f94c4df9e2c9b73bffe0bf7404ddda338b0ca05b	  context BoolOp(_, (HOLE:Expr, _:Exprs))	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	5	17	17	rule	operational-rule		False	False	False	False	False	False	False	False	False	False	False	False	2efcf80be1c3fd95a749162752e9c54fdf8cd5c6b64cfe1aeed528cffe1f38d2	  rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	6	18	19	rule	operational-rule		False	False	False	False	False	False	False	False	False	False	False	False	ddf6d5245d01784cd74f00f7e54a736a76166193d7ed17e3b6f4f10ffdeac882	"  rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>\n       requires truthy(V)"	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	7	20	21	rule	operational-rule		False	False	False	False	False	False	False	False	False	False	False	False	eeeb303f787ca6da784fed38bb09560b7dc239cce893b9b6771056808ef4e9ee	"  rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires notBool truthy(V)"	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	8	22	23	rule	operational-rule		False	False	False	False	False	False	False	False	False	False	False	False	4c6d5a8013b0629662156459eb61a0b118fbfb7fb9d3eea2414b0767ebdf83e6	"  rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires truthy(V)"	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	9	24	25	rule	operational-rule		False	False	False	False	False	False	False	False	False	False	False	False	5ba323b5a471401b754611969bd1bd47b808c010195e94b4a30cebc6b004497d	"  rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>\n       requires notBool truthy(V)"	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	10	29	30	rule	operational-rule	priority(40)	False	False	False	False	False	True	False	False	False	False	False	False	98cefcc060a8592c83623b7a530dcc2ef6b33351e32000cfaf470c112c20ece7	  rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>\n       [priority(40)]	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
reference-semantics/semantics/bool.k	11	31	34	rule	operational-rule	priority(40)	False	False	False	False	False	True	False	False	False	False	False	False	08bd3af9d84256bc9fae3edf7bd3e526de3e30093a2dd8493c7e5753fbac12ea	"  rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       requires truthy(V)\n       [priority(40)]"	SUPPLIED_FIXED_SEMANTICS_UNUSED	Byte-identical to the trusted supplied semantics and not reachable from the submitted body/entry claims. No candidate-local alteration or proof dependency; no narrower false-rule witness was found in this audit.	
