COMMAND: python3 /audit-output/evidence/stage5_inventory.py
file	module	kind	lines	attributes	relevance	decision	normalized_source
reference-semantics/semantics/assert.k	MPY-ASSERT	rule	6-7	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k	MPY-ASSERT	rule	8-12	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k	MPY-ASSERT	rule	13-15	priority	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k	MPY-BOOL	rule	8-9	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	MPY-BOOL	rule	10-10	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	MPY-BOOL	rule	11-15	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
reference-semantics/semantics/bool.k	MPY-BOOL	context	16-16	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	MPY-BOOL	rule	17-17	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	MPY-BOOL	rule	18-19	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	MPY-BOOL	rule	20-21	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	MPY-BOOL	rule	22-23	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	MPY-BOOL	rule	24-28	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	MPY-BOOL	rule	29-30	priority	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	MPY-BOOL	rule	31-34	priority	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	MPY-BOOL	rule	35-38	priority	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	MPY-BOOL	rule	39-42	priority	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	MPY-BOOL	rule	43-46	priority	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	17-19	function	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	20-20	function	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	21-21	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	22-22	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	23-23	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	24-24	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	25-25	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	26-31	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	32-32	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	33-33	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	34-34	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	35-35	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	36-36	function,total	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	37-37	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule charsOf(.IntSeq)                => .ValSeq
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	38-40	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	41-43	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	44-46	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	47-47	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	48-48	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	49-49	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	50-53	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	54-54	function	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax Int ::= intOf(Val) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	55-55	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule intOf(I:Int)  => I
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	56-58	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	59-59	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax KItem ::= #allAcc(Iterable) | "#allCont"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	60-60	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	61-61	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #allCont => true ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	62-63	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	64-66	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	67-67	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax KItem ::= #anyAcc(Iterable) | "#anyCont"
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	68-68	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	69-69	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #anyCont => false ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	70-71	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	72-75	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	76-76	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax KItem ::= #maxAcc0(Iterable) | "#maxCont0" | #maxAcc(Iterable, Int) | #maxCont(Int)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	77-77	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	78-79	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	80-80	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	81-81	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	82-85	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	86-86	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax KItem ::= #minAcc0(Iterable) | "#minCont0" | #minAcc(Iterable, Int) | #minCont(Int)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	87-87	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	88-89	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	90-90	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	91-91	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterDone ~> #minCont(M:Int) => M ... </k>
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	92-96	-	MAPPED_USED_OR_SUPPORT	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont(M:Int) => #minAcc(R, minInt(M, {V}:>Int)) ... </k> requires isInt(V)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	syntax	97-97	function	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	syntax Int ::= maxVals(Int, Vals) [function]
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	98-98	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule applyBuiltin("max", I:Int, REST:Vals) => maxVals(I, REST)
reference-semantics/semantics/builtins.k	MPY-BUILTINS	rule	99-99	-	NOT_MAPPED_TO_SUBMITTED_PROGRAM	ACCEPTED_SELECTED_FIXED_SEMANTICS_BOUNDARY	rule maxVals(M:Int, .Vals)           => M
