file	start_line	end_line	classification	statement	use_scope	assessment	rationale
reference-semantics/semantics/assert.k	6	7	rule,ordinary	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/assert.k	8	12	rule,ordinary	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/assert.k	13	15	rule,priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	8	9	rule,ordinary	"rule applyUn(""not"", V:Val) => notBool truthy(V)"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	10	10	rule,ordinary	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	11	15	rule,ordinary	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	16	16	context	context BoolOp(_, (HOLE:Expr, _:Exprs))	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	17	17	rule,ordinary	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	18	19	rule,ordinary	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
reference-semantics/semantics/bool.k	20	21	rule,ordinary	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"	selected-baseline; unused by this submitted program	ACCEPT_FIXED_SUPPLIED_BASELINE	Byte-identical to the trusted supplied semantics; it defines the selected semantics level. Program-used behavior is separately mapped in REVIEW.md.
