id	scope	file	line	module	kind	classification	attributes	assessment	text
reference-semantics/semantics/assert.k:6	launcher-trusted-supplied-semantics	reference-semantics/semantics/assert.k	6	MPY-ASSERT	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k:8	launcher-trusted-supplied-semantics	reference-semantics/semantics/assert.k	8	MPY-ASSERT	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k:13	launcher-trusted-supplied-semantics	reference-semantics/semantics/assert.k	13	MPY-ASSERT	rule	operational-rule+priority	priority	unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k:8	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	8	MPY-BOOL	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
reference-semantics/semantics/bool.k:10	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	10	MPY-BOOL	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
reference-semantics/semantics/bool.k:11	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	11	MPY-BOOL	rule	equational-or-macro-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
reference-semantics/semantics/bool.k:16	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	16	MPY-BOOL	context	evaluation-context		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k:17	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	17	MPY-BOOL	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k:18	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	18	MPY-BOOL	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
reference-semantics/semantics/bool.k:20	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	20	MPY-BOOL	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
reference-semantics/semantics/bool.k:22	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	22	MPY-BOOL	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
reference-semantics/semantics/bool.k:24	launcher-trusted-supplied-semantics	reference-semantics/semantics/bool.k	24	MPY-BOOL	rule	operational-rule		unused-by-target; ACCEPT_FIXED_UNUSED: intact launcher-trusted supplied semantics and unreachable from all target claims; no candidate extension or identified false-conclusion witness	"rule <k> BoolOp(""or"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
