id	file	start_line	end_line	kind	attributes	relevance	decision	justification	sentence
K-0001	semantics/assert.k	6	7	rule	-	CONCRETE_TEST_ONLY	ACCEPT	Concrete test-harness Assert rule; evaluates truthiness and sets the exception/exit cells on failure. It is absent from the target proof path.	rule <k> Assert(V:Val) => .K ... </k>\n       requires truthy(V)
K-0002	semantics/assert.k	8	11	rule	-	CONCRETE_TEST_ONLY	ACCEPT	Concrete test-harness Assert rule; evaluates truthiness and sets the exception/exit cells on failure. It is absent from the target proof path.	rule <k> Assert(V:Val) ~> _ => .K </k>\n       <exc> NoExc => AssertionError </exc>\n       <exit-code> _ => 1 </exit-code>\n       requires notBool truthy(V)
K-0003	semantics/assert.k	13	15	rule	priority	CONCRETE_TEST_ONLY	ACCEPT	Concrete test-harness Assert rule; evaluates truthiness and sets the exception/exit cells on failure. It is absent from the target proof path.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]
K-0004	semantics/bool.k	8	8	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
K-0005	semantics/bool.k	10	10	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
K-0006	semantics/bool.k	11	11	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
K-0007	semantics/bool.k	16	16	context	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	context BoolOp(_, (HOLE:Expr, _:Exprs))
K-0008	semantics/bool.k	17	17	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K-0009	semantics/bool.k	18	19	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>\n       requires truthy(V)"
K-0010	semantics/bool.k	20	21	rule	-	SUPPLIED_OFF_PATH	ACCEPT	Fixed supplied-semantics declaration/rule for a constructor absent from the exact submitted program and target claims. Source review found no task-answer encoding, cross-sort overlap, or concrete false conclusion relevant to the int/list/function/while domain.	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>\n       requires notBool truthy(V)"
