source	module	line	kind	attributes	decision	sentence
/reference/reference-semantics/semantics/assert.k	MPY-ASSERT	6	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
/reference/reference-semantics/semantics/assert.k	MPY-ASSERT	8	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
/reference/reference-semantics/semantics/assert.k	MPY-ASSERT	13	rule	priority	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	8	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	10	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	11	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	16	context	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	context BoolOp(_, (HOLE:Expr, _:Exprs))
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	17	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	18	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	20	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	22	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	24	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	29	rule	priority	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	31	rule	priority	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	35	rule	priority	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	39	rule	priority	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"
/reference/reference-semantics/semantics/bool.k	MPY-BOOL	43	rule	priority	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	17	syntax	function	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax Val ::= applyBuiltin(String, Vals) [function]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	20	syntax	function	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax Int ::= seqLen(Val) [function]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	21	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	22	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	23	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	24	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	25	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	26	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	32	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	33	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	34	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	35	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	36	syntax	function,total	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax ValSeq ::= charsOf(IntSeq) [function, total]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	37	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule charsOf(.IntSeq)                => .ValSeq
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	38	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	41	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	44	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	47	syntax	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	48	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	49	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	50	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	54	syntax	function	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	syntax Int ::= intOf(Val) [function]
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	55	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule intOf(I:Int)  => I
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	56	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	59	syntax	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	60	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	61	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterDone ~> #allCont => true ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	62	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	64	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	67	syntax	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	68	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	69	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterDone ~> #anyCont => false ... </k>
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	70	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)
/reference/reference-semantics/semantics/builtins.k	MPY-BUILTINS	72	rule	-	TRUSTED_FIXED_BASELINE: integrity-matched supplied semantics; not a candidate proof extension	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)
