COMMAND: python3 /audit-output/evidence/differential_check.py
documented_cases=3
boundary_cases=18
exhaustive_alphabet=' !0Aa~'
exhaustive_lengths=0..5
exhaustive_generated=9331
random_seed=860086
random_lengths=0..20
random_generated=2000
unique_total=11128
inputs_sha256=7cb417dd545dcfc849889f5492435c6f6d629d6000eaf0b3356d90ed9a41d96d
canonical_mismatches=0
contract_mismatches=0
case {"candidate": "Hi", "canonical": "Hi", "contract": "Hi", "input": "Hi"}
case {"candidate": "ehllo", "canonical": "ehllo", "contract": "ehllo", "input": "hello"}
case {"candidate": "Hello !!!Wdlor", "canonical": "Hello !!!Wdlor", "contract": "Hello !!!Wdlor", "input": "Hello World!!!"}
case {"candidate": "", "canonical": "", "contract": "", "input": ""}
case {"candidate": " ", "canonical": " ", "contract": " ", "input": " "}
case {"candidate": "  ", "canonical": "  ", "contract": "  ", "input": "  "}
case {"candidate": "   ", "canonical": "   ", "contract": "   ", "input": "   "}
case {"candidate": "a", "canonical": "a", "contract": "a", "input": "a"}
case {"candidate": "ab", "canonical": "ab", "contract": "ab", "input": "ab"}
case {"candidate": "ab", "canonical": "ab", "contract": "ab", "input": "ba"}
case {"candidate": "a ", "canonical": "a ", "contract": "a ", "input": "a "}
case {"candidate": " a", "canonical": " a", "contract": " a", "input": " a"}
case {"candidate": " a ", "canonical": " a ", "contract": " a ", "input": " a "}
case {"candidate": "a  b", "canonical": "a  b", "contract": "a  b", "input": "a  b"}
case {"candidate": "  ab  cd  ", "canonical": "  ab  cd  ", "contract": "  ab  cd  ", "input": "  ba  dc  "}
case {"candidate": "!~", "canonical": "!~", "contract": "!~", "input": "!~"}
case {"candidate": "!~", "canonical": "!~", "contract": "!~", "input": "~!"}
case {"candidate": "\u0000 a", "canonical": "\u0000 a", "contract": "\u0000 a", "input": "\u0000 a"}
case {"candidate": "\t \na", "canonical": "\t \na", "contract": "\t \na", "input": "\t a\n"}
case {"candidate": "Aé", "canonical": "Aé", "contract": "Aé", "input": "éA"}
case {"candidate": "😀 a", "canonical": "😀 a", "contract": "😀 a", "input": "😀 a"}

EXIT_STATUS: 0
