file	lines	module	kind	attributes	origin	relevance	normalized_sentence
reference-semantics/semantics/assert.k	6-7	MPY-ASSERT	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k	8-12	MPY-ASSERT	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k	13-15	MPY-ASSERT	rule	priority	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k	8-9	MPY-BOOL	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	10-10	MPY-BOOL	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11-15	MPY-BOOL	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
reference-semantics/semantics/bool.k	16-16	MPY-BOOL	context	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	17-17	MPY-BOOL	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18-19	MPY-BOOL	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	20-21	MPY-BOOL	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	22-23	MPY-BOOL	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	24-28	MPY-BOOL	rule	-	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	29-30	MPY-BOOL	rule	priority	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31-34	MPY-BOOL	rule	priority	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	35-38	MPY-BOOL	rule	priority	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	39-42	MPY-BOOL	rule	priority	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	43-46	MPY-BOOL	rule	priority	FIXED_SUPPLIED_SEMANTICS	INERT_FOR_SUBMITTED_PROGRAM	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/builtins.k	17-19	MPY-BUILTINS	syntax	function	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	20-20	MPY-BUILTINS	syntax	function	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	21-21	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22-22	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k	23-23	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k	24-24	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k	25-25	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k	26-31	MPY-BUILTINS	rule	-	FIXED_SUPPLIED_SEMANTICS	MODULE_AUDITED_FOR_REACHABILITY_AND_OVERLAP	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
