COMMAND: python3 /audit-output/evidence/inventory_k.py
source	line	kind	attributes	disposition	declaration
reference-semantics/semantics/assert.k	6	rule	rule	fixed supplied semantics	rule <k> Assert(V:Val) => .K ... </k>
reference-semantics/semantics/assert.k	8	rule	rule	fixed supplied semantics	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
reference-semantics/semantics/assert.k	13	rule	priority	fixed supplied semantics	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k	8	rule	rule	fixed supplied semantics	rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	10	rule	rule	fixed supplied semantics	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11	rule	rule	fixed supplied semantics	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
reference-semantics/semantics/bool.k	16	context	context	fixed supplied semantics	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	17	rule	rule	fixed supplied semantics	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18	rule	rule	fixed supplied semantics	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
reference-semantics/semantics/bool.k	20	rule	rule	fixed supplied semantics	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	22	rule	rule	fixed supplied semantics	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	24	rule	rule	fixed supplied semantics	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
reference-semantics/semantics/bool.k	29	rule	priority	fixed supplied semantics	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31	rule	rule	fixed supplied semantics	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/bool.k	35	rule	rule	fixed supplied semantics	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/bool.k	39	rule	rule	fixed supplied semantics	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/bool.k	43	rule	rule	fixed supplied semantics	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
reference-semantics/semantics/builtins.k	17	syntax	function	fixed supplied semantics	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	20	syntax	function	fixed supplied semantics	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	21	rule	rule	fixed supplied semantics	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22	rule	rule	fixed supplied semantics	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
reference-semantics/semantics/builtins.k	23	rule	rule	fixed supplied semantics	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
reference-semantics/semantics/builtins.k	24	rule	rule	fixed supplied semantics	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
reference-semantics/semantics/builtins.k	25	rule	rule	fixed supplied semantics	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
reference-semantics/semantics/builtins.k	26	rule	rule	fixed supplied semantics	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
