source	start_line	end_line	keyword	class	attributes	function	total	functional	simplification	priority	opaque_symbol	used_by_solution	normalized_sha256	assessment	sentence
reference-semantics/semantics.k	58	58	module	module		False	False	False	False		False	True	340f552bdab12916ad400c9c2beec5903f96decc9f651bec2c79ee27125aa80e	fixed supplied-semantics execution slice; manually reviewed for this program	module MPY
reference-semantics/semantics.k	59	59	imports	imports		False	False	False	False		False	True	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-CORE
reference-semantics/semantics.k	60	60	imports	imports		False	False	False	False		False	True	8ad41781e06e91093b117ccd78f6f10180a840cf3b4adaa62547edd340b26acc	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-ITER
reference-semantics/semantics.k	61	61	imports	imports		False	False	False	False		False	True	548212ddc441d76983863c9d3376f95c8022ee76d1dcf98dbe9e839a912f1323	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-RANGE
reference-semantics/semantics.k	62	62	imports	imports		False	False	False	False		False	True	ee018db6efb00ffdd01d59dac03e43be2192505ed7049d1c693197e018cbc088	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-OPERATORS
reference-semantics/semantics.k	63	63	imports	imports		False	False	False	False		False	True	6a7df951c212c93cd44f9522a2128bbac2f97c6212765bb6d61d30326317e744	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-INT
reference-semantics/semantics.k	64	64	imports	imports		False	False	False	False		False	True	bdd3eb0c1e7cd57b39439fe4b6b566cfaa33b796f674c16ff6f57b752736478b	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-BOOL
reference-semantics/semantics.k	65	65	imports	imports		False	False	False	False		False	True	b6b71fc553a1963619cbab2a492279a95ca1f81cca764d12f5721cea2ce77cfc	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-FLOAT
reference-semantics/semantics.k	66	66	imports	imports		False	False	False	False		False	True	1c022ad4e0c945f696aa1f9d78eb4c3caf78ef9d9b46ae55d6fd081ff4264877	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-STR
reference-semantics/semantics.k	67	67	imports	imports		False	False	False	False		False	True	783147658ae89d8dfd5db1f7498e1994e2d82a87dc70c399891ee2e62d7aa7b6	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-SET
reference-semantics/semantics.k	68	68	imports	imports		False	False	False	False		False	True	511c798e04e96a7ad3e9efe5e06eb4804d66d38f1294d62d46068dc7eafb0373	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-LIST
reference-semantics/semantics.k	69	69	imports	imports		False	False	False	False		False	True	b1d1ddeb005d397d01d2501033a979d991b52ce94dc5c6fcb2c801237e698309	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-TUPLE
reference-semantics/semantics.k	70	70	imports	imports		False	False	False	False		False	True	e90331404c5d72894851d971bc8a38fd62bc826e9a92c5ef502548eaf8bcfade	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-SUBSCRIPT
reference-semantics/semantics.k	71	71	imports	imports		False	False	False	False		False	True	18c619c21645e05e9351296d878b165945130c0d89c08db4c496990eb4ff7b23	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-COMPREHENSION
reference-semantics/semantics.k	72	72	imports	imports		False	False	False	False		False	True	09fe9e0706aef859710b0c5447f1427e859a1a9e9660b612e310bb91d51ec923	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-METHODS
reference-semantics/semantics.k	73	73	imports	imports		False	False	False	False		False	True	47dfd92e317bb7c0d2b37ea8704d1ebdf3daf5f2ca37f0555105ffde812c5061	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-CONTROLS
reference-semantics/semantics.k	74	74	imports	imports		False	False	False	False		False	True	62b2a9826516b040855a34fff2e8ca376316ea03367b0f585eae03c0e4e3403c	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-FUNCTIONS
reference-semantics/semantics.k	75	75	imports	imports		False	False	False	False		False	True	513b07985ad1b60ab1fc94f4a08021dd25a5b0aa218c3a975ce281a00395ddfa	fixed supplied-semantics execution slice; manually reviewed for this program	imports MPY-BUILTINS
