file	module	kind	start_line	end_line	role	attributes	normalized_sha256	assessment	rationale	normalized_sentence
semantics/assert.k	MPY-ASSERT	rule	6	7	operational	-	90fd8cb48806b565c7efda64556bc1f3741e4c215670728e20119ee4302ac5f5	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
semantics/assert.k	MPY-ASSERT	rule	8	11	operational	-	dfe24d6909cafaa624ffd02ce638b5285dda809ae92d1bf8f64b9ef11388019b	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
semantics/assert.k	MPY-ASSERT	rule	13	15	operational	priority	94ec1f9b321539df9f19af2581391cdb32c7dc4d56895d3d9732706d61c6e039	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
semantics/bool.k	MPY-BOOL	rule	8	8	equational	-	f6a9f817afd56c9168797a3f098cd08c12966f18447d1e0f9d1a05f16ae677c4	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyUn("not", V:Val) => notBool truthy(V)
semantics/bool.k	MPY-BOOL	rule	10	10	equational	-	27c7ab07384784839a8a863b3f9933be214b73575a7e3e811e125c3d99a0370a	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
semantics/bool.k	MPY-BOOL	rule	11	15	equational	-	331c5ccbdb8e5528462b302241832a6ab6363790b3c67a9cd9e900fa43787d7f	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
semantics/bool.k	MPY-BOOL	context	16	16	declaration	-	4bad2e2ff81c39e87091eef691d33bff23a6d7adf29b55aafe2a261e9e7aa33a	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	context BoolOp(_, (HOLE:Expr, _:Exprs))
semantics/bool.k	MPY-BOOL	rule	17	17	operational	-	dd652a87b5666794e2e19a88c80917f8819ce783aae50f826a5d468e4a188544	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
semantics/bool.k	MPY-BOOL	rule	18	19	operational	-	c903d941fb7314ce9a808ef44e64dbb8c65585c74cc3935c843f59b30f0db2cb	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
semantics/bool.k	MPY-BOOL	rule	20	21	operational	-	609b42dde8cecff47044578c95dfa8dfa3b51a7bc1edc878294ab4d92055e5d3	UNUSED_FIXED_RULE_REVIEWED	Outside this program's reachable construct slice; no overlap with target symbols yields a false conclusion on its domain.	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
