Script started on 2026-07-30 23:27:34-05:00 [<not executed on terminal>]
idx lines attributes classification id
01 034-076 []                 DEFINITION             rule-10715be101106e1d4c1855c816002072e4e7e405642209decd8f76f795f2e9a1
02 078-079 []                 DEFINITION             rule-d1671d47347899ec9552b5ecaa1c27bd5dec53a7d11baefe85e3bcaf5e77fe9f
03 081-109 []                 DEFINITION             rule-94db369578fd7e009eef892bb26ffe80f412b84eb2471a0dfb3a3bccb8aa3219
04 111-118 []                 DEFINITION             rule-587e648e43a3246e72365f12ca4a2c57b1af505ea47fc82795f6c50377b88646
05 120-120 []                 DEFINITION             rule-78f2a049ece805815d21e9063a74aff75f3d53f22a84a77fea64ffc91042a363
06 121-122 []                 DEFINITION             rule-721ad2f860d8fd7dcfedd6c8f8ad784911648921aa4620c34a3d47b63caafb68
07 123-123 []                 DEFINITION             rule-abee4f96e3c95bcff243de93b0fea7b7914e9e0c3c4c45819a70195ec1c0b129
08 125-125 []                 DEFINITION             rule-ca372d3450d64055729fbc8ab4c2816d09d7d1bf059c4480456b62dc23485bea
09 126-133 []                 DEFINITION             rule-cf1330988dbb6dda1f82c4f4f9f023e45bcf05ecde12e384f3d54226610880ed
10 134-136 []                 DEFINITION             rule-851b10e46e6efe28264ba80849ea5821e3e0c02e8fb932a3aa06cbba531a308b
11 137-139 []                 DEFINITION             rule-862c889ad2a79505e59d5314c60ce1ca6896ff31aaff480063371b209b30f412
12 141-147 ['simplification'] DOMAIN_LEMMA           rule-db9d3a3e81dee21bb05c9f3240b23092771092e55e7bb6f53dc9fdcfa44b3188
13 148-154 ['simplification'] DOMAIN_LEMMA           rule-c31085d90cc1a95717c3310bccb50623ab127a57e9e6010eb23e0aa2e4377dc7
14 156-159 ['simplification'] DOMAIN_LEMMA           rule-1be94e05a1b1440cd44a316053a753efc65fc522fcdf2fd8218e40d546231a89
15 161-162 []                 DEFINITION             rule-266ff54cc51677e3db6e466ae790c6d36012c1691a3d72563de9ced78b701da7
16 163-164 []                 DEFINITION             rule-8e44446174ac13940665fbd0dc8d9b157830bb20439a10272e087482aef1ad06
17 165-166 []                 DEFINITION             rule-564dca85307ced0f4df082a023682f88eb12dc3d48514ea7f3eb5a23b4b57f98
18 167-168 []                 DEFINITION             rule-f7167b77e8ffe985289aa9722812cfad75b82cdb951a1a01ac708d9183df1fb3
19 169-173 []                 DEFINITION             rule-b7896610019fceef9756cbabdc318f7362814535904aa9660923b1850f48d206
20 175-177 []                 DEFINITION             rule-3fe40ccf968b5c7713d161a1131160f777a54d30426e12dc7928da1751342183
21 178-181 []                 DEFINITION             rule-865991b3e79ecacfdd4132556b10dd069436bc304bca840ff613985d51751046
22 182-185 []                 DEFINITION             rule-a1eb6d350a613a16f262c56639e41871c110c029ba70b4d7e1dbe9dda8870529
23 187-189 []                 DEFINITION             rule-f02a757b0b823d64997e3552db0197c9350207d4d7b5ef21d696c8d21a8bbeec
24 190-193 []                 DEFINITION             rule-73cfbda08070a0f4b6d3ddf518d0da7d4ec30eba714270e8b9e11f4e9cf9c345
25 194-197 []                 DEFINITION             rule-130636f9c8c773b57bcf160807e9ce37a00bf8b58d8d3fd2a589a6db3e81b378
26 199-199 []                 DEFINITION             rule-65f76d31ad741fa225b3cbee21ee8dbb611b7d4f4a14d4feb502f51fc4c183d6
27 200-209 []                 DEFINITION             rule-54b82f04aa07700e2c9fd687bd1a9dd8f3195469c360cb2ae462ca20a986f310
28 211-211 []                 DEFINITION             rule-06443ee257276355bde5612d27cdc8101bc56438f5c1dcefd5798f6b2ec28f19
29 212-221 []                 DEFINITION             rule-bb5ca04e752547e82e547ed403297623537266787b34c1e6bedc16b04a4921a9
30 223-223 []                 DEFINITION             rule-fe352c3523de9158903acf857781526fdecd435b334169c8e164663ebaae416a
31 224-233 []                 DEFINITION             rule-51e42d1fe5b202f94fa396be18b339f75d0fccc908eb7010f313b7eb213924a2
32 235-235 []                 DEFINITION             rule-262549f99c1b627a5f6c40f49f07919d4f2b877986837454b16cc2178d71e72d
33 236-245 []                 DEFINITION             rule-c476f559b9d6e9d45e95524ad648a13fb9c1edc4654e8dcc4a94b4e2e5c22830
34 247-247 []                 DEFINITION             rule-18afa62a43175a3534c364958e20f9a0f1b51f0e4d15a930dc285f3da30b6888
35 248-249 []                 DEFINITION             rule-4995a78e0f503d0979ea26a2d6125b3d52d907335b847ed008bddcc2ceeffcc4
36 255-316 ['priority(40)']   PROVED_DERIVED_LEMMA   rule-8ff240867a86bc6a27c0862a6048100b3c2a0d8136feb76d147705805fdcb5ef

Script done on 2026-07-30 23:27:34-05:00 [COMMAND_EXIT_CODE="0"]
