id,file,line,kind,attributes,function_decl,total_decl,functional_decl,priority_rule,simplification_rule,ordinary_rule,opaque_symbol,used_by_solution,slice_role,decision,rationale,statement
semantics/assert.k:6,semantics/assert.k,6,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.",rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
semantics/assert.k:8,semantics/assert.k,8,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.",rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
semantics/assert.k:13,semantics/assert.k,13,rule,priority(40),False,False,False,True,False,False,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.",rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
semantics/bool.k:8,semantics/bool.k,8,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.","rule applyUn(""not"", V:Val) => notBool truthy(V)"
semantics/bool.k:10,semantics/bool.k,10,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.","rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
semantics/bool.k:11,semantics/bool.k,11,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.","rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
semantics/bool.k:16,semantics/bool.k,16,context,,False,False,False,False,False,False,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.","context BoolOp(_, (HOLE:Expr, _:Exprs))"
semantics/bool.k:17,semantics/bool.k,17,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.","rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>"
semantics/bool.k:18,semantics/bool.k,18,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.","rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
semantics/bool.k:20,semantics/bool.k,20,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.","rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
semantics/bool.k:22,semantics/bool.k,22,rule,,False,False,False,False,False,True,False,False,,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE,"Required SUPPLIED_SEMANTICS baseline; the submitted closure contains no constructor that reaches this declaration/rule, and its redex does not overlap a used ground shape. No false conclusion witness exists on n in 1..1000.","rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
