id,file,source_line,symbol,production,attributes,total,functional,opaque_no_evaluators,explicit_direct_equations,used_by_solution,decision
semantics/builtins.k:17#function-1,semantics/builtins.k,17,applyBuiltin,"syntax Val ::= applyBuiltin(String, Vals)",function,False,False,False,33,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:20#function-1,semantics/builtins.k,20,seqLen,syntax Int ::= seqLen(Val),function,False,False,False,5,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:36#function-1,semantics/builtins.k,36,charsOf,syntax ValSeq ::= charsOf(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:54#function-1,semantics/builtins.k,54,intOf,syntax Int ::= intOf(Val),function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:97#function-1,semantics/builtins.k,97,maxVals,"syntax Int ::= maxVals(Int, Vals)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:102#function-1,semantics/builtins.k,102,minVals,"syntax Int ::= minVals(Int, Vals)",function,False,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:114#function-1,semantics/builtins.k,114,binCodes,syntax IntSeq ::= binCodes(Int),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:117#function-1,semantics/builtins.k,117,binAcc,"syntax IntSeq ::= binAcc(Int, IntSeq)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:126#function-1,semantics/builtins.k,126,enumVS,"syntax ValSeq ::= enumVS(ValSeq, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:134#function-1,semantics/builtins.k,134,mapStrVS,syntax ValSeq ::= mapStrVS(ValSeq),function;total,True,False,False,3,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:158#function-1,semantics/builtins.k,158,intDigAcc,"syntax Int ::= intDigAcc(IntSeq, Int)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:188#function-1,semantics/builtins.k,188,evalArith,syntax Int ::= evalArith(IntSeq),function,False,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:194#function-1,semantics/builtins.k,194,evDigit,syntax Bool ::= evDigit(Int),function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:196#function-1,semantics/builtins.k,196,evHead42,syntax Bool ::= evHead42(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:199#function-1,semantics/builtins.k,199,evHead47,syntax Bool ::= evHead47(IntSeq),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:203#function-1,semantics/builtins.k,203,tokOps,syntax OpSeq ::= tokOps(IntSeq),function;total,True,False,False,9,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:214#function-1,semantics/builtins.k,214,tokNds,syntax IntSeq ::= tokNds(IntSeq),function;total,True,False,False,4,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:214#function-2,semantics/builtins.k,214,tokNdAcc,"tokNdAcc(Int, IntSeq)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:226#function-1,semantics/builtins.k,226,firstNdE,syntax Int ::= firstNdE(EvPair),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:230#function-1,semantics/builtins.k,230,applyOpE,"syntax Int ::= applyOpE(String, Int, Int)",function;total,True,False,False,6,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:238#function-1,semantics/builtins.k,238,passPowE,"syntax EvPair ::= passPowE(OpSeq, IntSeq)",function;total,True,False,False,4,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:244#function-1,semantics/builtins.k,244,powCombE,"syntax EvPair ::= powCombE(Int, EvPair)",function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:247#function-1,semantics/builtins.k,247,powCarryE,"syntax EvPair ::= powCarryE(String, Int, EvPair)",function;total,True,False,False,1,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:250#function-1,semantics/builtins.k,250,passMulE,syntax EvPair ::= passMulE(EvPair),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:250#function-2,semantics/builtins.k,250,passAddE,passAddE(EvPair),function;total,True,False,False,2,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
semantics/builtins.k:255#function-1,semantics/builtins.k,255,passLGoE,"syntax EvPair ::= passLGoE(String, Int, OpSeq, IntSeq, OpSeq, IntSeq)",function;total,True,False,False,4,False,FIXED_SEMANTICS_OUTSIDE_REACHABLE_SLICE
