source	start_line	end_line	total	functional	opaque_symbol	used_by_solution	attributes	declaration	assessment
reference-semantics/semantics/builtins.k	17	19	False	False	False	False	function	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	20	20	False	False	False	False	function	syntax Int ::= seqLen(Val) [function]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	36	36	True	False	False	False	function;total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	54	54	False	False	False	False	function	syntax Int ::= intOf(Val) [function]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	97	97	False	False	False	False	function	syntax Int ::= maxVals(Int, Vals) [function]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	102	102	False	False	False	False	function	syntax Int ::= minVals(Int, Vals) [function]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	114	114	True	False	False	False	function;total	syntax IntSeq ::= binCodes(Int) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	117	117	True	False	False	False	function;total	syntax IntSeq ::= binAcc(Int, IntSeq) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	126	126	True	False	False	False	function;total	syntax ValSeq ::= enumVS(ValSeq, Int) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	134	134	True	False	False	False	function;total	syntax ValSeq ::= mapStrVS(ValSeq) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	158	158	True	False	False	False	function;total	syntax Int ::= intDigAcc(IntSeq, Int) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	188	188	False	False	False	False	function	syntax Int ::= evalArith(IntSeq) [function]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	194	194	True	False	False	False	function;total	syntax Bool ::= evDigit(Int) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	196	196	True	False	False	False	function;total	syntax Bool ::= evHead42(IntSeq) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	199	199	True	False	False	False	function;total	syntax Bool ::= evHead47(IntSeq) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	203	203	True	False	False	False	function;total	syntax OpSeq ::= tokOps(IntSeq) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	214	215	True	False	False	False	function;total;function;total	syntax IntSeq ::= tokNds(IntSeq) [function, total] | tokNdAcc(Int, IntSeq) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	226	226	True	False	False	False	function;total	syntax Int ::= firstNdE(EvPair) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	230	230	True	False	False	False	function;total	syntax Int ::= applyOpE(String, Int, Int) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	238	238	True	False	False	False	function;total	syntax EvPair ::= passPowE(OpSeq, IntSeq) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
reference-semantics/semantics/builtins.k	244	244	True	False	False	False	function;total	syntax EvPair ::= powCombE(Int, EvPair) [function, total]	fixed supplied-semantics item not reached by this program; no candidate extension
