line	rule	class	domain_and_overlap	assessment	dependents_or_witness
8	parseLoopBody => exact If/AugAssign/append fragment	definitional summary	unconditional constant expansion; sole equation for symbol	Equation is textually the loop body in submitted solution.mpy; terminating and non-overlapping. It defines a manually copied fragment and does not connect to the submitted artifact.	parse-loop and entry; artifact-pinning gap demonstrated by 13-body-mutation-kprove.log
24	parseFunctionBody => initializers; For(...parseLoopBody); append; Return	definitional summary	unconditional constant expansion; sole equation for symbol	Equation is textually the submitted function body; terminating and non-overlapping. It is nevertheless a copied replacement, not execution of solution.mpy.	entry; body-mutant proof still reaches #Top
34	parseNestedParensClosure => closureVal("paren_string", parseFunctionBody, 0)	operational substitution	unconditional constant expansion; sole equation for symbol	The closure is internally well-formed, but the entry claim calls it directly without module loading, FuncDef execution, or lookup of parse_nested_parens. No bridge-free connection theorem pins it to solution.mpy.	entry; body-mutant actual result [999] while proof still #Top
45	parenMax(A,B) => A requires A > B	definitional summary	integers with A>B; disjoint from line 46	True maximum equation.	scanParens open-parenthesis case
46	parenMax(A,B) => B requires A <= B	definitional summary	integers with A<=B; disjoint from line 45 and exhaustive	True maximum equation.	scanParens open-parenthesis case
48	scanParens(empty,D,M,VS) => scanDone(D,M,VS)	definitional summary	empty IntSeq; disjoint constructor case	True base case and structurally terminating.	loop invariant and parsedParens
50	scanParens(40::R,D,M,VS) => scanParens(R,D+1,max(D+1,M),VS)	definitional summary	code 40; disjoint from 41,32,owise	Matches the submitted '(' branch and structurally descends.	loop invariant and parsedParens
52	scanParens(41::R,D,M,VS) => scanParens(R,D-1,M,VS)	definitional summary	code 41; disjoint from 40,32,owise	Matches the submitted ')' branch and structurally descends.	loop invariant and parsedParens
54	scanParens(32::R,D,M,VS) => scanParens(R,0,0,VS++[M])	definitional summary	code 32; disjoint from 40,41,owise	Matches the submitted space branch including empty groups and structurally descends.	loop invariant and parsedParens
56	scanParens(C::R,D,M,VS) => scanParens(R,D,M,VS) [owise]	definitional summary	all other integer codes, only after specific cases fail	Matches the submitted final implicit no-op branch and structurally descends. This case is unreachable under parenInput but is globally truthful.	loop invariant and parsedParens
63	scanDepth(scanDone(D,_,_)) => D	definitional projection	scanDone constructor	True projection; scanParens reduces structurally to scanDone for every finite constructor IntSeq.	loop invariant
64	scanMaximum(scanDone(_,M,_)) => M	definitional projection	scanDone constructor	True projection; same totality argument as scanDepth.	loop invariant and parsedParens
65	scanValues(scanDone(_,_,VS)) => VS	definitional projection	scanDone constructor	True projection; same totality argument as scanDepth.	loop invariant and parsedParens
68	finalChar(empty,OLD) => OLD	definitional summary	empty IntSeq; disjoint from cons case	Matches Python for-loop target retention on an empty iterable.	loop invariant
69	finalChar(C::R,_) => finalChar(R,str(C))	definitional summary	nonempty IntSeq; disjoint from empty and structurally descending	Matches successive assignment of the one-character loop target.	loop invariant
73	parsedParens(S) => scanValues(scan(S,0,0,[])) ++ [scanMaximum(scan(S,0,0,[]))]	definitional summary	all finite IntSeq; sole equation	Truthfully denotes the submitted algorithm, including its unconditional final append. It does not denote the canonical function on empty or repeated/edge spaces.	entry postcondition
79	parenInput(empty) => true	definitional predicate	empty IntSeq; disjoint from cons	True base case. Both entry claims therefore have an explicit satisfying input.	both claims
80	parenInput(C::R) => (C==40 or C==41 or C==32) and parenInput(R)	definitional predicate	nonempty IntSeq; disjoint from empty; structurally descending	Exhaustive alphabet predicate. It does not require balanced groups or single separators, so the theorem is broader than the natural contract but remains truthful about the copied body.	both claims
