id	file	line	kind	attributes	source
K0001	/reference/reference-semantics/semantics.k	34	requires	-	requires "semantics/syntax.k"
K0002	/reference/reference-semantics/semantics.k	35	requires	-	requires "semantics/core.k"
K0003	/reference/reference-semantics/semantics.k	36	requires	-	requires "semantics/iter.k"
K0004	/reference/reference-semantics/semantics.k	37	requires	-	requires "semantics/range.k"
K0005	/reference/reference-semantics/semantics.k	38	requires	-	requires "semantics/operators.k"
K0006	/reference/reference-semantics/semantics.k	39	requires	-	requires "semantics/int.k"
K0007	/reference/reference-semantics/semantics.k	40	requires	-	requires "semantics/bool.k"
K0008	/reference/reference-semantics/semantics.k	41	requires	-	requires "semantics/float.k"
K0009	/reference/reference-semantics/semantics.k	42	requires	-	requires "semantics/str.k"
K0010	/reference/reference-semantics/semantics.k	43	requires	-	requires "semantics/set.k"
K0011	/reference/reference-semantics/semantics.k	44	requires	-	requires "semantics/list.k"
K0012	/reference/reference-semantics/semantics.k	45	requires	-	requires "semantics/tuple.k"
K0013	/reference/reference-semantics/semantics.k	46	requires	-	requires "semantics/subscript.k"
K0014	/reference/reference-semantics/semantics.k	47	requires	-	requires "semantics/comprehension.k"
K0015	/reference/reference-semantics/semantics.k	48	requires	-	requires "semantics/methods.k"
K0016	/reference/reference-semantics/semantics.k	49	requires	-	requires "semantics/controls.k"
K0017	/reference/reference-semantics/semantics.k	50	requires	-	requires "semantics/functions.k"
K0018	/reference/reference-semantics/semantics.k	51	requires	-	requires "semantics/builtins.k"
K0019	/reference/reference-semantics/semantics.k	52	requires	-	requires "semantics/call.k"
K0020	/reference/reference-semantics/semantics.k	53	requires	-	requires "semantics/sort.k"
K0021	/reference/reference-semantics/semantics.k	54	requires	-	requires "semantics/assert.k"
K0022	/reference/reference-semantics/semantics.k	55	requires	-	requires "semantics/dict.k"
K0023	/reference/reference-semantics/semantics.k	56	requires	-	requires "semantics/concrete.k"
K0024	/reference/reference-semantics/semantics.k	58	module	-	module MPY
K0025	/reference/reference-semantics/semantics.k	59	imports	-	imports MPY-CORE
K0026	/reference/reference-semantics/semantics.k	60	imports	-	imports MPY-ITER
K0027	/reference/reference-semantics/semantics.k	61	imports	-	imports MPY-RANGE
K0028	/reference/reference-semantics/semantics.k	62	imports	-	imports MPY-OPERATORS
K0029	/reference/reference-semantics/semantics.k	63	imports	-	imports MPY-INT
K0030	/reference/reference-semantics/semantics.k	64	imports	-	imports MPY-BOOL
K0031	/reference/reference-semantics/semantics.k	65	imports	-	imports MPY-FLOAT
K0032	/reference/reference-semantics/semantics.k	66	imports	-	imports MPY-STR
K0033	/reference/reference-semantics/semantics.k	67	imports	-	imports MPY-SET
K0034	/reference/reference-semantics/semantics.k	68	imports	-	imports MPY-LIST
K0035	/reference/reference-semantics/semantics.k	69	imports	-	imports MPY-TUPLE
K0036	/reference/reference-semantics/semantics.k	70	imports	-	imports MPY-SUBSCRIPT
K0037	/reference/reference-semantics/semantics.k	71	imports	-	imports MPY-COMPREHENSION
K0038	/reference/reference-semantics/semantics.k	72	imports	-	imports MPY-METHODS
K0039	/reference/reference-semantics/semantics.k	73	imports	-	imports MPY-CONTROLS
K0040	/reference/reference-semantics/semantics.k	74	imports	-	imports MPY-FUNCTIONS
K0041	/reference/reference-semantics/semantics.k	75	imports	-	imports MPY-BUILTINS
K0042	/reference/reference-semantics/semantics.k	76	imports	-	imports MPY-CALL
K0043	/reference/reference-semantics/semantics.k	77	imports	-	imports MPY-SORT
K0044	/reference/reference-semantics/semantics.k	78	imports	-	imports MPY-ASSERT
K0045	/reference/reference-semantics/semantics.k	79	imports	-	imports MPY-DICT
K0046	/reference/reference-semantics/semantics.k	80	endmodule	-	endmodule
K0047	/reference/reference-semantics/semantics.k	87	module	-	module MPY-KRUN
K0048	/reference/reference-semantics/semantics.k	88	imports	-	imports MPY
K0049	/reference/reference-semantics/semantics.k	89	imports	-	imports MPY-CONCRETE
K0050	/reference/reference-semantics/semantics.k	90	endmodule	-	endmodule
K0051	/reference/reference-semantics/semantics/assert.k	3	module	-	module MPY-ASSERT
K0052	/reference/reference-semantics/semantics/assert.k	4	imports	-	imports MPY-CORE
K0053	/reference/reference-semantics/semantics/assert.k	6	rule	-	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0054	/reference/reference-semantics/semantics/assert.k	8	rule	-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0055	/reference/reference-semantics/semantics/assert.k	13	rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0056	/reference/reference-semantics/semantics/assert.k	16	endmodule	-	endmodule
K0057	/reference/reference-semantics/semantics/bool.k	5	module	-	module MPY-BOOL
K0058	/reference/reference-semantics/semantics/bool.k	6	imports	-	imports MPY-CORE
K0059	/reference/reference-semantics/semantics/bool.k	8	rule	-	rule applyUn("not", V:Val) => notBool truthy(V)
K0060	/reference/reference-semantics/semantics/bool.k	10	rule	-	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0061	/reference/reference-semantics/semantics/bool.k	11	rule	-	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0062	/reference/reference-semantics/semantics/bool.k	16	context	-	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0063	/reference/reference-semantics/semantics/bool.k	17	rule	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0064	/reference/reference-semantics/semantics/bool.k	18	rule	-	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0065	/reference/reference-semantics/semantics/bool.k	20	rule	-	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
K0066	/reference/reference-semantics/semantics/bool.k	22	rule	-	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
K0067	/reference/reference-semantics/semantics/bool.k	24	rule	-	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
K0068	/reference/reference-semantics/semantics/bool.k	29	rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0069	/reference/reference-semantics/semantics/bool.k	31	rule	priority	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0070	/reference/reference-semantics/semantics/bool.k	35	rule	priority	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0071	/reference/reference-semantics/semantics/bool.k	39	rule	priority	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0072	/reference/reference-semantics/semantics/bool.k	43	rule	priority	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0073	/reference/reference-semantics/semantics/bool.k	47	endmodule	-	endmodule
K0074	/reference/reference-semantics/semantics/builtins.k	3	module	-	module MPY-BUILTINS
K0075	/reference/reference-semantics/semantics/builtins.k	4	imports	-	imports MPY-CORE
K0076	/reference/reference-semantics/semantics/builtins.k	5	imports	-	imports MPY-STR
K0077	/reference/reference-semantics/semantics/builtins.k	6	imports	-	imports MPY-SET
K0078	/reference/reference-semantics/semantics/builtins.k	7	imports	-	imports MPY-ITER
K0079	/reference/reference-semantics/semantics/builtins.k	8	imports	-	imports MPY-RANGE
K0080	/reference/reference-semantics/semantics/builtins.k	9	imports	-	imports MPY-INT
K0081	/reference/reference-semantics/semantics/builtins.k	10	imports	-	imports MPY-METHODS
K0082	/reference/reference-semantics/semantics/builtins.k	17	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function]
K0083	/reference/reference-semantics/semantics/builtins.k	20	syntax	function	syntax Int ::= seqLen(Val) [function]
K0084	/reference/reference-semantics/semantics/builtins.k	21	rule	-	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
K0085	/reference/reference-semantics/semantics/builtins.k	22	rule	-	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
K0086	/reference/reference-semantics/semantics/builtins.k	23	rule	-	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
