symbol	file	line	attributes	lhs_definition_count	classification
absF	reference-semantics/semantics/float.k	54	function, total, symbol(absF), no-evaluators	1	LOCALLY_EQUATED
addF	reference-semantics/semantics/float.k	111	function, total, symbol(addF), no-evaluators	1	LOCALLY_EQUATED
allAlpha	reference-semantics/semantics/methods.k	132	function, total	2	LOCALLY_EQUATED
allDigit	reference-semantics/semantics/methods.k	136	function, total	2	LOCALLY_EQUATED
appendIE	reference-semantics/semantics/builtins.k	272	function, total	2	LOCALLY_EQUATED
appendOpE	reference-semantics/semantics/builtins.k	269	function, total	2	LOCALLY_EQUATED
appendVal	reference-semantics/semantics/core.k	213	function, total	2	LOCALLY_EQUATED
applyBin	reference-semantics/semantics/core.k	209	function	32	LOCALLY_EQUATED
applyBuiltin	reference-semantics/semantics/builtins.k	17	function	33	LOCALLY_EQUATED
applyCmp	reference-semantics/semantics/core.k	210	function	44	LOCALLY_EQUATED
applyIndex	reference-semantics/semantics/subscript.k	37	function	3	LOCALLY_EQUATED
applyIndexD	reference-semantics/semantics/dict.k	64	function	1	LOCALLY_EQUATED
applyMethod	reference-semantics/semantics/methods.k	10	function	16	LOCALLY_EQUATED
applyOpE	reference-semantics/semantics/builtins.k	230	function, total	6	LOCALLY_EQUATED
applyUn	reference-semantics/semantics/core.k	208	function	3	LOCALLY_EQUATED
binAcc	reference-semantics/semantics/builtins.k	117	function, total	2	LOCALLY_EQUATED
binCodes	reference-semantics/semantics/builtins.k	114	function, total	2	LOCALLY_EQUATED
buildIS	reference-semantics/semantics/subscript.k	116	function	2	LOCALLY_EQUATED
buildVS	reference-semantics/semantics/subscript.k	109	function	2	LOCALLY_EQUATED
ceilF	reference-semantics/semantics/float.k	93	function, total, symbol(ceilF)	2	LOCALLY_EQUATED
cellsOf	reference-semantics/semantics/core.k	107	function	1	LOCALLY_EQUATED
charsOf	reference-semantics/semantics/builtins.k	36	function, total	2	LOCALLY_EQUATED
clampHi	reference-semantics/semantics/subscript.k	102	function, total	2	LOCALLY_EQUATED
clampLo	reference-semantics/semantics/subscript.k	96	function, total	2	LOCALLY_EQUATED
cntOccVS	reference-semantics/semantics/methods.k	65	function, total	3	LOCALLY_EQUATED
cntSub	reference-semantics/semantics/methods.k	35	function	3	LOCALLY_EQUATED
codeIn	reference-semantics/semantics/set.k	11	function, total	2	LOCALLY_EQUATED
condRev	reference-semantics/semantics/sort.k	57	function, total	2	LOCALLY_EQUATED
dGet	reference-semantics/semantics/dict.k	101	function	2	LOCALLY_EQUATED
dHasKey	reference-semantics/semantics/dict.k	37	function, total	3	LOCALLY_EQUATED
dPutK	reference-semantics/semantics/dict.k	43	function, total	2	LOCALLY_EQUATED
dPutV	reference-semantics/semantics/dict.k	49	function, total	3	LOCALLY_EQUATED
dSubset	reference-semantics/semantics/dict.k	97	function	2	LOCALLY_EQUATED
decStrToF	reference-semantics/semantics/float.k	160	function, total, symbol(decStrToF), no-evaluators	2	LOCALLY_EQUATED
dedupCodes	reference-semantics/semantics/set.k	16	function, total	1	LOCALLY_EQUATED
dedupFrom	reference-semantics/semantics/set.k	16	function, total	3	LOCALLY_EQUATED
deepEqV	reference-semantics/semantics/list.k	37	function	4	LOCALLY_EQUATED
deepEqVS	reference-semantics/semantics/list.k	37	function	4	LOCALLY_EQUATED
dictSet	reference-semantics/semantics/dict.k	70	function	1	LOCALLY_EQUATED
divF	reference-semantics/semantics/float.k	107	function, total, symbol(divF), no-evaluators	1	LOCALLY_EQUATED
divFloatIntV	reference-semantics/semantics/float.k	190	function, total, symbol(divFloatIntV), no-evaluators	1	LOCALLY_EQUATED
divII	reference-semantics/semantics/float.k	30	function, total, symbol(divII), no-evaluators	1	LOCALLY_EQUATED
doSlice	reference-semantics/semantics/subscript.k	63	function	3	LOCALLY_EQUATED
