id	file	start_line	end_line	kind	classification	attributes	assessment	text
1	semantic.k	6	6	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	"syntax Module ::= ""Module"" ""("" Stmts "")"""
2	semantic.k	8	9	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	syntax Stmts ::= Stmt\n                 | Stmt Stmts
3	semantic.k	11	12	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	"syntax Stmt ::= ""FuncDef"" ""("" String "","" Params "","" Stmts "")""\n                | ""Return"" ""("" Expr "")"""
4	semantic.k	14	14	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	"syntax Strings ::= List{String, "",""}"
5	semantic.k	15	15	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	"syntax Params ::= ""Params"" ""("" Strings "")"""
6	semantic.k	17	17	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	"syntax Exprs ::= List{Expr, "",""}"
7	semantic.k	18	21	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	"syntax Expr ::= ""Str"" ""("" String "")""\n                | ""Name"" ""("" String "")""\n                | ""Attribute"" ""("" Expr "","" String "")""\n                | ""Call"" ""("" Expr "","" Exprs "")"""
8	semantic.k	34	36	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	syntax Value ::= strVal(String)\n                 | function(Params, Stmts)\n                 | boundStringMethod(String, String)
9	semantic.k	37	37	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	syntax KResult ::= Value
10	semantic.k	39	43	syntax declaration	constructor grammar		Constructor grammar; no semantic equation or proof shortcut.	"syntax KItem ::= ""#invoke"" ""("" String "","" Value "")""\n                 | ""#attribute"" ""("" String "")""\n                 | ""#callNoArgs""\n                 | ""#return""\n                 | ""#endCall"""
11	semantic.k	45	51	configuration	operational state		Minimal k/arg/functions/env state; every cell is used.	configuration\n    <mpy>\n      <k> $PGM:Module </k>\n      <arg> $ARG:String </arg>\n      <functions> .Map </functions>\n      <env> .Map </env>\n    </mpy>
12	semantic.k	55	56	ordinary semantic rule	fixed operational semantics		Loads the submitted module body, preserves continuation, then invokes flip_case.	"rule <k> Module(BODY) => BODY ~> #invoke(""flip_case"", strVal(ARG)) ...</k>\n       <arg> ARG </arg>"
13	semantic.k	58	58	ordinary semantic rule	fixed operational semantics		Left-to-right statement sequencing; unused for the one-statement module.	rule <k> S:Stmt REST:Stmts => S ~> REST ...</k>
