source	start_line	end_line	kind	attributes	audit_class	declaration
reference-semantics/semantics/assert.k	6	7	rule	-	SUPPLIED_FIXED_RULE	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k	8	11	rule	-	SUPPLIED_FIXED_RULE	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k	13	15	rule	priority	SUPPLIED_FIXED_RULE	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k	8	8	rule	-	SUPPLIED_FIXED_RULE	rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	10	10	rule	-	SUPPLIED_FIXED_RULE	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11	11	rule	-	SUPPLIED_FIXED_RULE	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
reference-semantics/semantics/bool.k	16	16	context	-	SUPPLIED_FIXED_RULE	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	17	17	rule	-	SUPPLIED_FIXED_RULE	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18	19	rule	-	SUPPLIED_FIXED_RULE	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	20	21	rule	-	SUPPLIED_FIXED_RULE	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	22	23	rule	-	SUPPLIED_FIXED_RULE	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	24	25	rule	-	SUPPLIED_FIXED_RULE	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	29	30	rule	priority	SUPPLIED_FIXED_RULE	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31	34	rule	priority	SUPPLIED_FIXED_RULE	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	35	38	rule	priority	SUPPLIED_FIXED_RULE	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	39	42	rule	priority	SUPPLIED_FIXED_RULE	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	43	46	rule	priority	SUPPLIED_FIXED_RULE	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/builtins.k	17	17	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	20	20	syntax	function	SUPPLIED_FIXED_DECLARATION	syntax Int ::= seqLen(Val) [function]
reference-semantics/semantics/builtins.k	21	21	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
reference-semantics/semantics/builtins.k	22	22	rule	-	SUPPLIED_FIXED_RULE	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	23	23	rule	-	SUPPLIED_FIXED_RULE	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
reference-semantics/semantics/builtins.k	24	24	rule	-	SUPPLIED_FIXED_RULE	rule seqLen(str(IS:IntSeq)) => isLen(IS)
reference-semantics/semantics/builtins.k	25	25	rule	-	SUPPLIED_FIXED_RULE	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
reference-semantics/semantics/builtins.k	26	26	rule	-	SUPPLIED_FIXED_RULE	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
reference-semantics/semantics/builtins.k	32	32	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	33	33	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
reference-semantics/semantics/builtins.k	34	34	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
reference-semantics/semantics/builtins.k	35	35	rule	-	SUPPLIED_FIXED_RULE	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
reference-semantics/semantics/builtins.k	36	36	syntax	function,total	SUPPLIED_FIXED_DECLARATION	syntax ValSeq ::= charsOf(IntSeq) [function, total]
reference-semantics/semantics/builtins.k	37	37	rule	-	SUPPLIED_FIXED_RULE	rule charsOf(.IntSeq) => .ValSeq
reference-semantics/semantics/builtins.k	38	38	rule	-	SUPPLIED_FIXED_RULE	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
reference-semantics/semantics/builtins.k	41	41	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
reference-semantics/semantics/builtins.k	44	44	rule	-	SUPPLIED_FIXED_RULE	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
reference-semantics/semantics/builtins.k	47	47	syntax	-	SUPPLIED_FIXED_DECLARATION	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
