source,line,kind,decision,notes,first_line
reference-semantics/semantics/assert.k,3,module,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,module MPY-ASSERT
reference-semantics/semantics/assert.k,4,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports MPY-CORE
reference-semantics/semantics/assert.k,6,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> Assert(V:Val) => .K ... </k>
reference-semantics/semantics/assert.k,8,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> Assert(V:Val) ~> _ => .K </k>
reference-semantics/semantics/assert.k,13,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>
reference-semantics/semantics/bool.k,5,module,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,module MPY-BOOL
reference-semantics/semantics/bool.k,6,imports,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,imports MPY-CORE
reference-semantics/semantics/bool.k,8,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule applyUn(""not"", V:Val) => notBool truthy(V)"
reference-semantics/semantics/bool.k,10,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
reference-semantics/semantics/bool.k,11,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
reference-semantics/semantics/bool.k,16,context,TRUSTED_SUPPLIED_DECLARATION,Unmodified selected semantics; exact text is in rule_inventory.txt.,"context BoolOp(_, (HOLE:Expr, _:Exprs))"
reference-semantics/semantics/bool.k,17,rule,TRUSTED_SUPPLIED_NOT_REACHED,Unmodified selected semantics and not matched on the submitted claims' typed execution paths.,"rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>"
