id	origin	file	line	source_kind	category	attributes	target_path	decision	reason	statement
1	supplied	semantics/assert.k	6	rule	operational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	supplied	semantics/assert.k	8	rule	operational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	supplied	semantics/assert.k	13	rule	operational_rule	priority	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	supplied	semantics/bool.k	8	rule	equational_rule	-	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule applyUn("not", V:Val) => notBool truthy(V)
5	supplied	semantics/bool.k	10	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
6	supplied	semantics/bool.k	11	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
7	supplied	semantics/bool.k	17	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule applyCmp(OP:String, B:Bool, I:Int) => applyCmp(OP, boolAsInt(B), I) requires isEqOrdOp(OP)
8	supplied	semantics/bool.k	19	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule applyCmp(OP:String, I:Int, B:Bool) => applyCmp(OP, I, boolAsInt(B)) requires isEqOrdOp(OP)
9	supplied	semantics/bool.k	21	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule applyCmp(OP:String, B1:Bool, B2:Bool) => applyCmp(OP, boolAsInt(B1), boolAsInt(B2)) requires isOrdOp(OP)
10	supplied	semantics/bool.k	27	context	context	-	material	ACCEPT_FIXED_MODEL_DECLARATION_ON_MATERIAL_PATH	construct or transition reachable from the target call	context BoolOp(_, (HOLE:Expr, _:Exprs))
11	supplied	semantics/bool.k	28	rule	operational_rule	-	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
12	supplied	semantics/bool.k	29	rule	operational_rule	-	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
13	supplied	semantics/bool.k	31	rule	operational_rule	-	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
14	supplied	semantics/bool.k	33	rule	operational_rule	-	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
15	supplied	semantics/bool.k	35	rule	operational_rule	-	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
16	supplied	semantics/bool.k	40	rule	operational_rule	priority	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
17	supplied	semantics/bool.k	42	rule	operational_rule	priority	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
18	supplied	semantics/bool.k	46	rule	operational_rule	priority	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
19	supplied	semantics/bool.k	50	rule	operational_rule	priority	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
20	supplied	semantics/bool.k	54	rule	operational_rule	priority	material	ACCEPT_FIXED_MODEL_RULE_ON_MATERIAL_PATH	construct or transition reachable from the target call	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
21	supplied	semantics/builtins.k	17	syntax	function_declaration	function	unused	UNUSED_FIXED_MODEL_DECLARATION	constructor-disjoint from the submitted loop-free numeric function	syntax Val ::= applyBuiltin(String, Vals) [function]
22	supplied	semantics/builtins.k	20	syntax	function_declaration	function	unused	UNUSED_FIXED_MODEL_DECLARATION	constructor-disjoint from the submitted loop-free numeric function	syntax Int ::= seqLen(Val) [function]
23	supplied	semantics/builtins.k	21	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
24	supplied	semantics/builtins.k	22	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule seqLen(list(VS:ValSeq)) => vsLen(VS)
25	supplied	semantics/builtins.k	23	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule seqLen(tuple(VS:ValSeq)) => vsLen(VS)
26	supplied	semantics/builtins.k	24	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule seqLen(str(IS:IntSeq)) => isLen(IS)
27	supplied	semantics/builtins.k	25	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule seqLen(setV(DS:IntSeq)) => isLen(DS)
28	supplied	semantics/builtins.k	26	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)
29	supplied	semantics/builtins.k	32	rule	operational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
30	supplied	semantics/builtins.k	33	rule	operational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
31	supplied	semantics/builtins.k	34	rule	operational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule <k> #applyK(toCall(builtinV("list")), .Vals) => #alloc(list(.ValSeq)) ... </k>
32	supplied	semantics/builtins.k	35	rule	operational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals)) => #alloc(list(charsOf(CS))) ... </k>
33	supplied	semantics/builtins.k	36	syntax	function_declaration	function,total	unused	UNUSED_FIXED_MODEL_DECLARATION	constructor-disjoint from the submitted loop-free numeric function	syntax ValSeq ::= charsOf(IntSeq) [function, total]
34	supplied	semantics/builtins.k	37	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule charsOf(.IntSeq) => .ValSeq
35	supplied	semantics/builtins.k	38	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))
36	supplied	semantics/builtins.k	41	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))
37	supplied	semantics/builtins.k	44	rule	equational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I)
38	supplied	semantics/builtins.k	47	syntax	syntax_declaration	-	unused	UNUSED_FIXED_MODEL_DECLARATION	constructor-disjoint from the submitted loop-free numeric function	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
39	supplied	semantics/builtins.k	48	rule	operational_rule	-	unused	NOT_REACHED_BY_TARGET_ACCEPT_ONLY_AS_SUPPLIED_MODEL	constructor-disjoint from the submitted loop-free numeric function	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
