file	line	category	decision	declaration	rationale
reference-semantics/semantics/assert.k	3	module	STRUCTURAL	module MPY-ASSERT	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/assert.k	4	imports	STRUCTURAL	imports MPY-CORE	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/assert.k	6	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/assert.k	8	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/assert.k	13	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/assert.k	16	endmodule	STRUCTURAL	endmodule	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/bool.k	5	module	STRUCTURAL	module MPY-BOOL	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/bool.k	6	imports	STRUCTURAL	imports MPY-CORE	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/bool.k	8	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyUn(""not"", V:Val) => notBool truthy(V)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	10	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	11	equational-rule	OUTSIDE_REACHABLE_PATH	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	16	context	OUTSIDE_REACHABLE_PATH	context BoolOp(_, (HOLE:Expr, _:Exprs))	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	17	operational-rule	OUTSIDE_REACHABLE_PATH	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	18	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	20	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	22	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	24	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	29	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	31	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	35	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	39	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	43	operational-rule[priority]	OUTSIDE_REACHABLE_PATH	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/bool.k	47	endmodule	STRUCTURAL	endmodule	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	3	module	STRUCTURAL	module MPY-BUILTINS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	4	imports	STRUCTURAL	imports MPY-CORE	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	5	imports	STRUCTURAL	imports MPY-STR	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	6	imports	STRUCTURAL	imports MPY-SET	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	7	imports	STRUCTURAL	imports MPY-ITER	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	8	imports	STRUCTURAL	imports MPY-RANGE	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	9	imports	STRUCTURAL	imports MPY-INT	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	10	imports	STRUCTURAL	imports MPY-METHODS	Module/import structure; no rewrite conclusion.
reference-semantics/semantics/builtins.k	17	syntax[function]	OUTSIDE_REACHABLE_PATH	syntax Val ::= applyBuiltin(String, Vals) [function]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	20	syntax[function]	ACCEPTED_FIXED_PATH	syntax Int ::= seqLen(Val) [function]	Reachable fixed-semantics declaration/rule on the exact constructor path; guard/overlap/state footprint reviewed and ground-executed.
reference-semantics/semantics/builtins.k	21	equational-rule	ACCEPTED_FIXED_PATH	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	Reachable fixed-semantics declaration/rule on the exact constructor path; guard/overlap/state footprint reviewed and ground-executed.
reference-semantics/semantics/builtins.k	22	equational-rule	ACCEPTED_FIXED_PATH	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)	Reachable fixed-semantics declaration/rule on the exact constructor path; guard/overlap/state footprint reviewed and ground-executed.
reference-semantics/semantics/builtins.k	23	equational-rule	ACCEPTED_FIXED_PATH	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)	Reachable fixed-semantics declaration/rule on the exact constructor path; guard/overlap/state footprint reviewed and ground-executed.
reference-semantics/semantics/builtins.k	24	equational-rule	ACCEPTED_FIXED_PATH	rule seqLen(str(IS:IntSeq))                   => isLen(IS)	Reachable fixed-semantics declaration/rule on the exact constructor path; guard/overlap/state footprint reviewed and ground-executed.
reference-semantics/semantics/builtins.k	25	equational-rule	ACCEPTED_FIXED_PATH	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)	Reachable fixed-semantics declaration/rule on the exact constructor path; guard/overlap/state footprint reviewed and ground-executed.
reference-semantics/semantics/builtins.k	26	equational-rule	ACCEPTED_FIXED_PATH	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	Reachable fixed-semantics declaration/rule on the exact constructor path; guard/overlap/state footprint reviewed and ground-executed.
reference-semantics/semantics/builtins.k	32	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	33	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	34	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	35	operational-rule	OUTSIDE_REACHABLE_PATH	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	36	syntax[function,total]	OUTSIDE_REACHABLE_PATH	syntax ValSeq ::= charsOf(IntSeq) [function, total]	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
reference-semantics/semantics/builtins.k	37	equational-rule	OUTSIDE_REACHABLE_PATH	rule charsOf(.IntSeq)                => .ValSeq	Reviewed imported language support; its left-hand construct is not reachable from the exact submitted body on intended integer-list inputs. No intended-domain false conclusion witness was found.
