origin	source	kind	start_line	end_line	attributes	disposition	text
trusted-supplied-fixed-semantics	semantics.k	requires	34	34	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/syntax.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	35	35	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/core.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	36	36	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/iter.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	37	37	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/range.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	38	38	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/operators.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	39	39	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/int.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	40	40	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/bool.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	41	41	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/float.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	42	42	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/str.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	43	43	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/set.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	44	44	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/list.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	45	45	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/tuple.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	46	46	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/subscript.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	47	47	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/comprehension.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	48	48	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/methods.k"""
trusted-supplied-fixed-semantics	semantics.k	requires	49	49	-	SUPPLIED_FIXED_SEMANTICS_REVIEWED_USED_MODULE	"requires ""semantics/controls.k"""
