index	file	line	kind	category	attributes	disposition	declaration
1	reference-semantics/semantics/assert.k	6	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> Assert(V:Val) => .K ... </k>
2	reference-semantics/semantics/assert.k	8	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
3	reference-semantics/semantics/assert.k	13	rule	ordinary-rule	priority	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	reference-semantics/semantics/bool.k	8	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule applyUn("not", V:Val) => notBool truthy(V)
5	reference-semantics/semantics/bool.k	10	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
6	reference-semantics/semantics/bool.k	11	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
7	reference-semantics/semantics/bool.k	16	context	context	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	reference-semantics/semantics/bool.k	17	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	reference-semantics/semantics/bool.k	18	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
10	reference-semantics/semantics/bool.k	20	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
11	reference-semantics/semantics/bool.k	22	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k>
12	reference-semantics/semantics/bool.k	24	rule	ordinary-rule	-	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
13	reference-semantics/semantics/bool.k	29	rule	ordinary-rule	priority	SUPPLIED_FIXED_UNUSED_BY_ENTRY_PROOF	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
