ATTRIBUTE[function]=145
ATTRIBUTE[total]=107
ATTRIBUTE[functional]=0
ATTRIBUTE[simplification]=0
ATTRIBUTE[concrete]=35
ATTRIBUTE[priority]=45
ATTRIBUTE[owise]=26
ATTRIBUTE[anywhere]=0
ATTRIBUTE[symbol]=25
ATTRIBUTE[macro]=4
ATTRIBUTE[strict]=2
ATTRIBUTE[seqstrict]=1
ATTRIBUTE[bracket]=0
ATTRIBUTE[token]=0

PROOF_LOCAL_ROWS
id	file	start	end	kind	attributes	target_relevance	disposition	source
K1088	candidate/verification.k	1	1	requires-file	-	PROOF_MODULE	ACCEPT_NO_EXTENSION: module only imports fixed MPY; no local rule, function, lemma, priority, simplification, or opaque symbol	requires "reference-semantics/semantics.k"
K1089	candidate/verification.k	3	3	module	-	PROOF_MODULE	ACCEPT_NO_EXTENSION: module only imports fixed MPY; no local rule, function, lemma, priority, simplification, or opaque symbol	module VERIFICATION
K1090	candidate/verification.k	4	4	imports	-	PROOF_MODULE	ACCEPT_NO_EXTENSION: module only imports fixed MPY; no local rule, function, lemma, priority, simplification, or opaque symbol	imports MPY
K1091	candidate/verification.k	5	5	endmodule	-	PROOF_MODULE	ACCEPT_NO_EXTENSION: module only imports fixed MPY; no local rule, function, lemma, priority, simplification, or opaque symbol	endmodule
K1092	candidate/spec.k	1	1	requires-file	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	requires "verification.k"
K1093	candidate/spec.k	3	3	module	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	module SPEC
K1094	candidate/spec.k	4	4	imports	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	imports VERIFICATION
K1095	candidate/spec.k	6	54	claim	-	TARGET_CLAIM	AUDIT_SEPARATELY: positive theorem, not a rule imported into the verification definition	claim [is-palindrome]: <k> #loadAll( Module( FuncDef("is_palindrome", Params("text"), Return( Compare( Name("text"), CmpOp( "==", Subscript( Name("text"), Slice(NoBound, NoBound, UnaryOp("-", Int(1)))))))) Assign( Name("__result"), Call(Name("is_palindrome"), str(S:IntSeq))))) => .K </k> <env> 0 </env> <scopes> (0 |-> scope(.Map, parent(-1)) -1 |-> builtinsScope) => (0 |-> scope( "is_palindrome" |-> closureVal( ("text", .ParamNames), Return( Compare( Name("text"), CmpOp( "==", Subscript( Name("text"), Slice(NoBound, NoBound, UnaryOp("-", Int(1))))))) .Stmts, 0) "__result" |-> (S ==K buildIS(S, isLen(S) -Int 1, -1, -1)), parent(-1)) -1 |-> builtinsScope) </scopes> <scopeLoc> 1 </scopeLoc> <heap> .Map </heap> <heapLoc> 0 </heapLoc> <stack> .List </stack> <ret> noRet </ret> <exc> NoExc </exc> <exit-code> 0 </exit-code>
K1096	candidate/spec.k	55	55	endmodule	-	FIXED_BASELINE_NOT_REACHED	NOT_RELIED_UPON: outside the target execution slice; retained only as part of the supplied fixed semantics; no target-domain false witness identified	endmodule

TARGET_ACTIVE_RULE_ROWS
id	file	start	end	kind	attributes	target_relevance	disposition	source
K0264	semantics/call.k	20	20	rule	owise	CALL_ROUTING	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> Call(Fe:Expr, ARGS:Exprs) => Fe ~> #callee(ARGS) ... </k> [owise]
K0265	semantics/call.k	21	23	rule	-	CALL_ROUTING	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> CV:Val ~> #callee(ARGS:Exprs) => #evalArgs(ARGS, .Vals, toCall(CV)) ... </k> // ==== dispatch on the callee value ========================================
K0281	semantics/call.k	69	79	rule	-	CALL_FRAME_ENTRY	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #applyK(toCall(closureVal(PNS:ParamNames, BODY:Stmts, DEFL:Int)), ACC:Vals) ~> CONT => #bindP(PNS, ACC) ~> BODY ~> #endcall </k> <env> CALLERL:Int => NEWL </env> <scopes> STORE:Map => STORE [ NEWL <- scope(.Map, parent(DEFL)) ] </scopes> <scopeLoc> NEWL:Int => NEWL +Int 1 </scopeLoc> <stack> .List => ListItem(frame(CONT, CALLERL, NEWL)) ... </stack> // annotated closure: the frame starts with the captured freevar cells, its // parent is the module scope (all enclosing-local reads go through cells), // and the cellvars' fresh cells allocate before params bind (a cellvar param // then writes through its cell in #bindP).
K0332	semantics/controls.k	9	11	rule	-	RESULT_ASSIGNMENT	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> Assign(Name(X:String), V:Val) => .K ... </k> <env> L:Int </env> <scopes> ... L |-> scope(M:Map => M [ X <- V ], _) ... </scopes>
K0417	semantics/core.k	125	125	rule	-	MODULE_LOAD	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #loadAll(Module(SS:Stmts)) => SS ... </k>
K0418	semantics/core.k	126	126	rule	-	STATEMENT_SEQUENCE	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> (S:Stmt SS:Stmts):Stmts => S ~> SS ... </k>
K0419	semantics/core.k	127	129	rule	-	STATEMENT_SEQUENCE	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> .Stmts => .K ... </k> // ==== Name lookup (walk the scope chain; builtins live in the -1 scope) ====
K0421	semantics/core.k	131	131	rule	-	NAME_LOOKUP	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> Name(X:String) => #look(X, L) ... </k> <env> L:Int </env>
K0422	semantics/core.k	132	144	rule	-	NAME_LOOKUP	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #look(X:String, L:Int) => {M[X]}:>Val ... </k> <scopes> ... L |-> scope(M:Map, _:Parent) ... </scopes> requires X in_keys(M) // a SYNTACTICALLY cell-bound name reads through the heap cell AT THE // LOOKUP (higher priority beats the plain return above on concrete cell // bindings; abstract claim values take the plain rule unchanged) — this // covers cross-frame cell reads (a comprehension closure reading the // enclosing function's cellvar) without a narrowing-prone k-top redex // guarded on the FOUND frame's DECLARED cellvars (pnMember over the // cellsMark): decidable for every concrete frame pin — plain frames and // non-cell names prune outright, so an abstract looked-up value never // drags a narrowing cellV heap match along (probed on 5-intersperse and // Q4's abstract `numbers` in the annotated frame)
K0429	semantics/core.k	189	189	rule	-	CALL_ARGUMENT_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #evalArgs((A:Expr, REST:Exprs), ACC:Vals, K:ApplyK) => A ~> #evalArgCont(REST, ACC, K) ... </k>
K0430	semantics/core.k	190	190	rule	-	CALL_ARGUMENT_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> V:Val ~> #evalArgCont(REST:Exprs, ACC:Vals, K:ApplyK) => #evalArgs(REST, appendVal(ACC, V), K) ... </k>
K0431	semantics/core.k	191	193	rule	-	CALL_ARGUMENT_EVALUATION	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> #evalArgs(.Exprs, ACC:Vals, K:ApplyK) => #applyK(K, ACC) ... </k> // ==== Int / Bool / None literals ==========================================
K0432	semantics/core.k	194	194	rule	-	INTEGER_LITERAL	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule <k> Int(I:Int) => I ... </k>
K0446	semantics/core.k	214	214	rule	-	ARGUMENT_APPEND	ACCEPT_TARGET_PATH: fixed supplied rule/declaration; manually checked against the submitted constructor path and Python str behavior	rule appendVal(.Vals, V:Val) => V , .Vals
