id	file	line	kind	subtype	attributes	directly_exercised	review
1	semantics/assert.k	6	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
2	semantics/assert.k	8	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
3	semantics/assert.k	13	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
4	semantics/bool.k	8	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
5	semantics/bool.k	10	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
6	semantics/bool.k	11	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
7	semantics/bool.k	16	context	context	-	no	inert-for-submitted-program-reviewed-for-overlap
8	semantics/bool.k	17	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
9	semantics/bool.k	18	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
10	semantics/bool.k	20	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
11	semantics/bool.k	22	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
12	semantics/bool.k	24	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
13	semantics/bool.k	29	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
14	semantics/bool.k	31	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
15	semantics/bool.k	35	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
16	semantics/bool.k	39	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
17	semantics/bool.k	43	rule	operational-rule	priority(40)	no	inert-for-submitted-program-reviewed-for-overlap
18	semantics/builtins.k	17	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
19	semantics/builtins.k	20	syntax	function-declaration	function	no	inert-for-submitted-program-reviewed-for-overlap
20	semantics/builtins.k	21	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
21	semantics/builtins.k	22	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
22	semantics/builtins.k	23	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
23	semantics/builtins.k	24	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
24	semantics/builtins.k	25	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
25	semantics/builtins.k	26	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
26	semantics/builtins.k	32	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
27	semantics/builtins.k	33	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
28	semantics/builtins.k	34	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
29	semantics/builtins.k	35	rule	operational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
30	semantics/builtins.k	36	syntax	function-declaration	function;total	no	inert-for-submitted-program-reviewed-for-overlap
31	semantics/builtins.k	37	rule	equational-rule	-	no	inert-for-submitted-program-reviewed-for-overlap
