CWD: /audit-output
COMMAND: bash -lc srcs=\"/tmp/audit-work/fizz-buzz-audit/reference-semantics\ /tmp/audit-work/fizz-buzz-audit/verification.k\ /tmp/audit-work/fizz-buzz-audit/spec-original.k\"\;\ for\ pat\ in\ \"\^\[\[:space:\]\]\*rule\\\\b\"\ \"\^\[\[:space:\]\]\*syntax\\\\b\"\ \"\^\[\[:space:\]\]\*context\\\\b\"\ \"\^\[\[:space:\]\]\*configuration\\\\b\"\ \"\^\[\[:space:\]\]\*claim\\\\b\"\ \"\\\\\[function\"\ \"functional\"\ \"total\"\ \"no-evaluators\"\ \"symbol\(\"\ \"priority\(\"\ \"simplification\"\ \"concrete\"\ \"macro\"\;\ do\ count=\$\(rg\ -g\ \"\*.k\"\ -e\ \"\$pat\"\ \$srcs\ \|\ wc\ -l\)\;\ printf\ \"%s\\t%s\\n\"\ \"\$pat\"\ \"\$count\"\;\ done\;\ awk\ -F\ \"\\t\"\ \"NR==1\ \|\|\ \\\$2\ ==\ \\\"verification.k\\\"\"\ evidence/rule-inventory.tsv
^[[:space:]]*rule\b	707
^[[:space:]]*syntax\b	235
^[[:space:]]*context\b	5
^[[:space:]]*configuration\b	1
^[[:space:]]*claim\b	7
\[function	153
functional	0
total	120
no-evaluators	27
rg: regex parse error:
    (?:symbol()
    ^
error: unclosed group
symbol(	0
rg: regex parse error:
    (?:priority()
    ^
error: unclosed group
priority(	0
simplification	3
concrete	68
macro	9
id	file	line	kind	rule_class	attributes	source_class	audit_decision	path_relevance	normalized_text
929	verification.k	8	syntax	n/a	function,total	candidate-proof-extension	SOUND_MATH_BUT_UNUSED_BY_ENTRY_CLAIMS	unused	syntax Bool ::= divisibleBy11Or13(Int) [function, total]
930	verification.k	9	rule	equational		candidate-proof-extension	SOUND_MATH_BUT_UNUSED_BY_ENTRY_CLAIMS	unused	rule divisibleBy11Or13(I:Int) => pyMod(I, 11) ==Int 0 orBool pyMod(I, 13) ==Int 0
931	verification.k	12	syntax	n/a	function	candidate-proof-extension	SOUND_ON_GUARDED_NONNEGATIVE_DOMAIN	inner-claim	syntax Int ::= countSevensAcc(Int, Int) [function]
932	verification.k	13	rule	simplification	simplification	candidate-proof-extension	SOUND_ON_GUARDED_NONNEGATIVE_DOMAIN	inner-claim	rule countSevensAcc(A:Int, 0) => A [simplification]
933	verification.k	14	rule	simplification	simplification	candidate-proof-extension	SOUND_ON_GUARDED_NONNEGATIVE_DOMAIN	inner-claim	rule countSevensAcc(A:Int, I:Int) => countSevensAcc( A +Int 1, (I -Int pyMod(I, 10)) /Int 10) requires I >Int 0 andBool pyMod(I, 10) ==Int 7 [simplification]
934	verification.k	20	rule	simplification	simplification	candidate-proof-extension	SOUND_ON_GUARDED_NONNEGATIVE_DOMAIN	inner-claim	rule countSevensAcc(A:Int, I:Int) => countSevensAcc(A, (I -Int pyMod(I, 10)) /Int 10) requires I >Int 0 andBool pyMod(I, 10) =/=Int 7 [simplification] // Accumulate the selected digit counts over the half-open interval [I,N).
935	verification.k	26	syntax	n/a	function	candidate-proof-extension	SOUND_MATH_BUT_UNUSED_BY_ENTRY_CLAIMS	unused	syntax Int ::= fizzBuzzAcc(Int, Int, Int) [function]
936	verification.k	27	rule	equational		candidate-proof-extension	SOUND_MATH_BUT_UNUSED_BY_ENTRY_CLAIMS	unused	rule fizzBuzzAcc(A:Int, I:Int, N:Int) => A requires I >=Int N
937	verification.k	29	rule	equational		candidate-proof-extension	SOUND_MATH_BUT_UNUSED_BY_ENTRY_CLAIMS	unused	rule fizzBuzzAcc(A:Int, I:Int, N:Int) => fizzBuzzAcc(countSevensAcc(A, I), I +Int 1, N) requires I <Int N andBool divisibleBy11Or13(I)
938	verification.k	32	rule	equational		candidate-proof-extension	SOUND_MATH_BUT_UNUSED_BY_ENTRY_CLAIMS	unused	rule fizzBuzzAcc(A:Int, I:Int, N:Int) => fizzBuzzAcc(A, I +Int 1, N) requires I <Int N andBool notBool divisibleBy11Or13(I)
939	verification.k	36	syntax	n/a	function,total	candidate-proof-extension	SOUND_MATH_BUT_UNUSED_BY_ENTRY_CLAIMS	unused	syntax Int ::= fizzBuzzSpec(Int) [function, total]
940	verification.k	37	rule	equational		candidate-proof-extension	SOUND_MATH_BUT_UNUSED_BY_ENTRY_CLAIMS	unused	rule fizzBuzzSpec(N:Int) => fizzBuzzAcc(0, 0, N) // Exact AST fragments emitted by py2mpy.py for solution.py. Keeping them // named makes the loop-invariant claims in spec.k readable.
941	verification.k	41	syntax	n/a	macro	candidate-proof-extension	TRUTHFUL_AST_MACRO_BUT_NOT_LINKED_TO_SOLUTION_MPY	substituted-entry-path	"syntax Stmts ::= ""INNER-BODY"" [macro]"
942	verification.k	42	rule	equational		candidate-proof-extension	TRUTHFUL_AST_MACRO_BUT_NOT_LINKED_TO_SOLUTION_MPY	substituted-entry-path	"rule INNER-BODY => If(Compare(BinOp(""%"", Name(""x""), Int(10)), CmpOp(""=="", Int(7))), AugAssign(Name(""count""), ""+"", Int(1)) .Stmts, .Stmts) Assign(Name(""x""), BinOp(""//"", Name(""x""), Int(10)))"
943	verification.k	48	syntax	n/a	macro	candidate-proof-extension	TRUTHFUL_AST_MACRO_BUT_NOT_LINKED_TO_SOLUTION_MPY	substituted-entry-path	"syntax Stmts ::= ""OUTER-BODY"" [macro]"
944	verification.k	49	rule	equational		candidate-proof-extension	TRUTHFUL_AST_MACRO_BUT_NOT_LINKED_TO_SOLUTION_MPY	substituted-entry-path	"rule OUTER-BODY => If(BoolOp( ""or"", Compare(BinOp(""%"", Name(""i""), Int(11)), CmpOp(""=="", Int(0))), Compare(BinOp(""%"", Name(""i""), Int(13)), CmpOp(""=="", Int(0)))), Assign(Name(""x""), Name(""i"")) While(Compare(Name(""x""), CmpOp("">"", Int(0))), INNER-BODY), .Stmts) AugAssign(Name(""i""), ""+"", Int(1))"
945	verification.k	59	syntax	n/a	macro	candidate-proof-extension	EXACT_AST_MACRO_BUT_UNUSED	unused	"syntax Stmt ::= ""FIZZ-BUZZ-DEF"" [macro]"
946	verification.k	60	rule	equational		candidate-proof-extension	EXACT_AST_MACRO_BUT_UNUSED	unused	"rule FIZZ-BUZZ-DEF => FuncDef( ""fizz_buzz"", Params(""n""), Assign(Name(""count""), Int(0)) Assign(Name(""i""), Int(0)) Assign(Name(""x""), Int(0)) While(Compare(Name(""i""), CmpOp(""<"", Name(""n""))), OUTER-BODY) Return(Name(""count"")))"
947	verification.k	70	syntax	n/a	macro	candidate-proof-extension	TRUTHFUL_AST_MACRO_BUT_NOT_LINKED_TO_SOLUTION_MPY	substituted-entry-path	"syntax Val ::= ""FIZZ-BUZZ-CLOSURE"" [macro]"
948	verification.k	71	rule	equational		candidate-proof-extension	TRUTHFUL_AST_MACRO_BUT_NOT_LINKED_TO_SOLUTION_MPY	substituted-entry-path	"rule FIZZ-BUZZ-CLOSURE => closureVal( ""n"", Assign(Name(""count""), Int(0)) Assign(Name(""i""), Int(0)) Assign(Name(""x""), Int(0)) While(Compare(Name(""i""), CmpOp(""<"", Name(""n""))), OUTER-BODY) Return(Name(""count"")), 0)"

EXIT_STATUS: 0
