file	line	kind	attributes	text	audit_disposition
reference-semantics/semantics/assert.k	6	rule	-	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/assert.k	8	rule	-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/assert.k	13	rule	priority(40)	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)] endmodule	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/bool.k	8	rule	-	"rule applyUn(""not"", V:Val) => notBool truthy(V)"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	10	rule	-	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	11	rule	-	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2  // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	16	context	-	context BoolOp(_, (HOLE:Expr, _:Exprs))	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	17	rule	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	18	rule	-	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	20	rule	-	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	22	rule	-	"rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	24	rule	-	"rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> requires notBool truthy(V)  // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	29	rule	priority(40)	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	31	rule	priority(40)	"rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	35	rule	priority(40)	"rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	39	rule	priority(40)	"rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/bool.k	43	rule	priority(40)	"rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)] endmodule"	ACCEPT_FIXED_INERT: fixed-semantics declaration/rule for a constructor absent from solution.mpy; cannot match a reachable proof state and has no dependent claim
reference-semantics/semantics/builtins.k	17	syntax	function	syntax Val ::= applyBuiltin(String, Vals) [function]  // ==== len(obj) — O(1) per kind ============================================	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	20	syntax	function	syntax Int ::= seqLen(Val) [function]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	21	rule	-	"rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	22	rule	-	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	23	rule	-	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	24	rule	-	rule seqLen(str(IS:IntSeq))                   => isLen(IS)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	25	rule	-	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	26	rule	-	"rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)  // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the ""copy a sequence"" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	32	rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	33	rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	34	rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	35	rule	-	"rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	36	syntax	function,total	syntax ValSeq ::= charsOf(IntSeq) [function, total]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	37	rule	-	rule charsOf(.IntSeq)                => .ValSeq	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	38	rule	-	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))  // ==== set(str) — distinct character codes =================================	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	41	rule	-	"rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))  // ==== abs(int) ============================================================"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	44	rule	-	"rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)  // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool =="	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	47	syntax	-	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	48	rule	-	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	49	rule	-	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	50	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	54	syntax	function	syntax Int ::= intOf(Val) [function]	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	55	rule	-	rule intOf(I:Int)  => I	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	56	rule	-	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi  // ==== all / any (short-circuiting #iterNext folds) ========================	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	59	syntax	-	"syntax KItem ::= #allAcc(Iterable) | ""#allCont"""	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	60	rule	-	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	61	rule	-	rule <k> #iterDone ~> #allCont => true ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	62	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #allCont => #allAcc(R) ... </k> requires truthy(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	64	rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #allCont => false ... </k> requires notBool truthy(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	67	syntax	-	"syntax KItem ::= #anyAcc(Iterable) | ""#anyCont"""	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	68	rule	-	rule <k> #anyAcc(IT:Iterable) => #iterNext(IT) ~> #anyCont ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	69	rule	-	rule <k> #iterDone ~> #anyCont => false ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	70	rule	-	rule <k> #iterYield(V:Val, _:Iterable) ~> #anyCont => true ... </k> requires truthy(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	72	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #anyCont => #anyAcc(R) ... </k> requires notBool truthy(V)  // ==== max / min over an iterable (#iterNext folds; first element seeds) ====	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	76	syntax	-	"syntax KItem ::= #maxAcc0(Iterable) | ""#maxCont0"" | #maxAcc(Iterable, Int) | #maxCont(Int)"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	77	rule	-	rule <k> #maxAcc0(IT:Iterable) => #iterNext(IT) ~> #maxCont0 ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	78	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont0 => #maxAcc(R, {V}:>Int) ... </k> requires isInt(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	80	rule	-	rule <k> #maxAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #maxCont(M) ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	81	rule	-	rule <k> #iterDone ~> #maxCont(M:Int) => M ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	82	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #maxCont(M:Int) => #maxAcc(R, maxInt(M, {V}:>Int)) ... </k> requires isInt(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	86	syntax	-	"syntax KItem ::= #minAcc0(Iterable) | ""#minCont0"" | #minAcc(Iterable, Int) | #minCont(Int)"	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	87	rule	-	rule <k> #minAcc0(IT:Iterable) => #iterNext(IT) ~> #minCont0 ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	88	rule	-	rule <k> #iterYield(V:Val, R:Iterable) ~> #minCont0 => #minAcc(R, {V}:>Int) ... </k> requires isInt(V)	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
reference-semantics/semantics/builtins.k	90	rule	-	rule <k> #minAcc(IT:Iterable, M:Int) => #iterNext(IT) ~> #minCont(M) ... </k>	ACCEPT_FIXED_RELEVANT: manually reviewed fixed-semantics module; reachable cases preserve Python evaluation, binding, state, and integer/list behavior; no false witness found
