file	line	module	kind	classification	audit_disposition	block_sha256_16	normalized_declaration
reference-semantics/semantics/assert.k	6	MPY-ASSERT	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	46ba8624b23bf183	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
reference-semantics/semantics/assert.k	8	MPY-ASSERT	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	02af58c82c4e0fde	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
reference-semantics/semantics/assert.k	13	MPY-ASSERT	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	394326569ed8c179	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
reference-semantics/semantics/bool.k	8	MPY-BOOL	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	274ff35fd151cd73	rule applyUn("not", V:Val) => notBool truthy(V)
reference-semantics/semantics/bool.k	10	MPY-BOOL	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	f9d84a06392e2fad	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
reference-semantics/semantics/bool.k	11	MPY-BOOL	rule	equational-rule	FIXED_SUPPLIED_SEMANTICS	12c6816337f8d80c	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
reference-semantics/semantics/bool.k	16	MPY-BOOL	context	context	FIXED_SUPPLIED_SEMANTICS	de6eec95e5ddf9dc	context BoolOp(_, (HOLE:Expr, _:Exprs))
reference-semantics/semantics/bool.k	17	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	2efcf80be1c3fd95	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
reference-semantics/semantics/bool.k	18	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	ddf6d5245d01784c	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	20	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	eeeb303f787ca6da	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	22	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	4c6d5a8013b06296	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
reference-semantics/semantics/bool.k	24	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	5ba323b5a471401b	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
reference-semantics/semantics/bool.k	29	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	98cefcc060a8592c	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
reference-semantics/semantics/bool.k	31	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	08bd3af9d84256bc	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	35	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	90ade243f35f7850	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	39	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	f032128a3dd6c1d1	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
reference-semantics/semantics/bool.k	43	MPY-BOOL	rule	operational-rule	FIXED_SUPPLIED_SEMANTICS	6eb9e989936bb67b	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
reference-semantics/semantics/builtins.k	17	MPY-BUILTINS	syntax	syntax:function	FIXED_SUPPLIED_SEMANTICS	aa55a2ca48e8248e	syntax Val ::= applyBuiltin(String, Vals) [function]
reference-semantics/semantics/builtins.k	20	MPY-BUILTINS	syntax	syntax:function	FIXED_SUPPLIED_SEMANTICS	1b82b6f2643fb551	syntax Int ::= seqLen(Val) [function]
