index	source_rule_id	lines	classification	independent basis
1	rule-5f9038afc41854fd66fb9c31ace6ff8ea39faf9015fbdce97770d5c9ab12eede	42-46	DEFINITION	Defines integralV by the disjoint Int/Bool alternatives and excludes Float.
2	rule-92485f68c558aaff7963ae82601a4f19bb9708db1f299c021209cc66eab64582	47-50	DEFINITION	Defines floatV by Float membership and excludes Int and Bool.
3	rule-325f8763b0f9ebf70b1270bd3bba472aab9a4ec71a3068e8d7b1d1cb3461b269	54	DEFINITION	Empty-sequence base equation for allIntegral.
4	rule-69f22f1dc46a18bcb0698c3eeb6639ad3acccc284d8332f8c1a70eded4fb0ad1	55-57	DEFINITION	Cons recurrence for allIntegral.
5	rule-d980beac5e2b26d5467cd5634a592522ea2345f3b93c99124ff77af12a091a56	59	DEFINITION	Empty-sequence accumulator equation for sumInts.
6	rule-88764d4eb20f77c90455d8ba1dd53a6b491bd6841a024a79f41f6fb9702d96be	60-62	DEFINITION	Cons recurrence for sumInts.
7	rule-f408d2d20d79ab665a015956a0a25ab28ed045f1fd196b13daf1edfb2661b297	64	DEFINITION	Empty-sequence base equation for allNumeric.
8	rule-3bc3a0372e2e5b74c0f6a04762b2c0f3a59ff50590a547ebec6b5f94f0f97a27	65-68	DEFINITION	Cons recurrence for allNumeric.
9	rule-8d339ac1715b7b5611efc646ddf775f3315b130aabe21f92f61ebc071e442412	70	DEFINITION	Empty-sequence base equation for hasFloat.
10	rule-8175d02402aea688af01b7c3cc64d23ef034e697358704036b4192701ff11a95	71-73	DEFINITION	Cons recurrence for hasFloat.
11	rule-ec16299584036b4cf22a42e1dcca71c1db40f02c2d305ab75b2bb23c2e4a3d2b	75-76	DEFINITION	Empty-sequence accumulator equation for sumFloatRest.
12	rule-dac1bd213f833dc9b111b58411a62120844d78a12ed3adc19feb4048dcb0e285	77-80	DEFINITION	Float-head recurrence for sumFloatRest.
13	rule-f064234445c8094f1b5276472885cf8042c51407e1863f8e6bdcc440e8d54fad	81-84	DEFINITION	Integral-head recurrence for sumFloatRest.
14	rule-0c608830c5baca550ccdcebea1e02106a5a30a1e574bb80325ca7040f559f9bb	85-89	DEFINITION	Nonnumeric-head fallback recurrence completing sumFloatRest.
15	rule-85be9b531d4380ba832fc513917bb65d96f0e38915dcb836cfd016c265fe8eb8	91-92	DEFINITION	Empty-sequence equation for sumToFloat using its named no-float totalizer.
16	rule-aa69bb82e647427906fcf5aee6f39f70db593fbf1817308e53a64d84edd7f7eb	93-96	DEFINITION	Float-head transition from the Int accumulator to sumFloatRest.
17	rule-126c1b315433d92c0f26daaada7cea5b4b32a077c123d2efbfced0036f383fe0	97-100	DEFINITION	Integral-head recurrence for sumToFloat.
18	rule-d7f64dd1b55da1505ef39ae6d01a0e8c7d1e4e056f9c776e4ac0e15fe2c2290d	101-105	DEFINITION	Nonnumeric-head fallback recurrence completing sumToFloat.
19	rule-8d43fd13af255702ec2aa91b2cdfd08e70addebf1aa0c7a73c0ad56413ecc17d	107-109	DEFINITION	Defines reverseSlice as the exact supplied buildVS negative-step traversal.
20	rule-7191d5f6c9756673cca00b440958222ca4d2d1d3d4e18cbc994313a0f4340442	113	DEFINITION	Sorted Int base equation for projectIntTotal.
21	rule-922b2e2888783e27d234040e4262dbe10f3037613f55fea887ddbe7a17d200da	114-117	DEFINITION	Guarded projectIntTotal equation through the existing K Int projection.
22	rule-ec583fc3f12bafee23d7f302c742e52ce776b44b86fb0ae71114dc6dcdb3bb9f	118-121	DOMAIN_LEMMA	Reverse symbolic Int-projection equality; not a definition of the pre-existing projection and not separately proved before use.
