id	file	line	kind	attributes	classification	text	reachability	decision	audit_reason
1	reference-semantics/semantics/assert.k	6	rule		semantic-rule	  rule <k> Assert(V:Val) => .K ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
2	reference-semantics/semantics/assert.k	8	rule		semantic-rule	  rule <k> Assert(V:Val) ~> _ => .K </k>\n       <exc> NoExc => AssertionError </exc>\n       <exit-code> _ => 1 </exit-code>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
3	reference-semantics/semantics/assert.k	13	rule	priority(40)	semantic-rule,priority-rule	  rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>\n       <heap> ... H |-> V:Val ... </heap>\n       [priority(40)]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
4	reference-semantics/semantics/bool.k	8	rule		semantic-rule	"  rule applyUn(""not"", V:Val) => notBool truthy(V)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
5	reference-semantics/semantics/bool.k	10	rule		semantic-rule	"  rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
6	reference-semantics/semantics/bool.k	11	rule		semantic-rule	"  rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
7	reference-semantics/semantics/bool.k	16	context		evaluation-context	  context BoolOp(_, (HOLE:Expr, _:Exprs))	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
8	reference-semantics/semantics/bool.k	17	rule		semantic-rule	  rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
9	reference-semantics/semantics/bool.k	18	rule		semantic-rule	"  rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
10	reference-semantics/semantics/bool.k	20	rule		semantic-rule	"  rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
11	reference-semantics/semantics/bool.k	22	rule		semantic-rule	"  rule <k> BoolOp(""or"",  (V:Val, _:Expr, _:Exprs)) => V ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
12	reference-semantics/semantics/bool.k	24	rule		semantic-rule	"  rule <k> BoolOp(""or"",  (V:Val, A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
13	reference-semantics/semantics/bool.k	29	rule	priority(40)	semantic-rule,priority-rule	  rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k>\n       [priority(40)]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
14	reference-semantics/semantics/bool.k	31	rule		semantic-rule	"  rule <k> BoolOp(""and"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
15	reference-semantics/semantics/bool.k	35	rule		semantic-rule	"  rule <k> BoolOp(""and"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
16	reference-semantics/semantics/bool.k	39	rule		semantic-rule	"  rule <k> BoolOp(""or"", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k>\n       <heap> ... H |-> V:Val ... </heap>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
17	reference-semantics/semantics/bool.k	43	rule		semantic-rule	"  rule <k> BoolOp(""or"", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp(""or"", (A, REST)) ... </k>\n       <heap> ... H |-> V:Val ... </heap>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
18	reference-semantics/semantics/builtins.k	17	syntax	function	syntax-declaration,function-declaration	  syntax Val ::= applyBuiltin(String, Vals) [function]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
19	reference-semantics/semantics/builtins.k	20	syntax	function	syntax-declaration,function-declaration	  syntax Int ::= seqLen(Val) [function]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
20	reference-semantics/semantics/builtins.k	21	rule		semantic-rule	"  rule applyBuiltin(""len"", OBJ:Val, .Vals) => seqLen(OBJ)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
21	reference-semantics/semantics/builtins.k	22	rule		semantic-rule	  rule seqLen(list(VS:ValSeq))                  => vsLen(VS)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
22	reference-semantics/semantics/builtins.k	23	rule		semantic-rule	  rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
23	reference-semantics/semantics/builtins.k	24	rule		semantic-rule	  rule seqLen(str(IS:IntSeq))                   => isLen(IS)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
24	reference-semantics/semantics/builtins.k	25	rule		semantic-rule	  rule seqLen(setV(DS:IntSeq))                  => isLen(DS)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
25	reference-semantics/semantics/builtins.k	26	rule		semantic-rule	  rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST)	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
26	reference-semantics/semantics/builtins.k	32	rule		semantic-rule	"  rule <k> #applyK(toCall(builtinV(""list"")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
27	reference-semantics/semantics/builtins.k	33	rule		semantic-rule	"  rule <k> #applyK(toCall(builtinV(""list"")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
28	reference-semantics/semantics/builtins.k	34	rule		semantic-rule	"  rule <k> #applyK(toCall(builtinV(""list"")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
29	reference-semantics/semantics/builtins.k	35	rule		semantic-rule	"  rule <k> #applyK(toCall(builtinV(""list"")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
30	reference-semantics/semantics/builtins.k	36	syntax	function, total	syntax-declaration,function-declaration,total-declaration	  syntax ValSeq ::= charsOf(IntSeq) [function, total]	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
31	reference-semantics/semantics/builtins.k	37	rule		semantic-rule	  rule charsOf(.IntSeq)                => .ValSeq	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
32	reference-semantics/semantics/builtins.k	38	rule		semantic-rule	  rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R))	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
33	reference-semantics/semantics/builtins.k	41	rule		semantic-rule	"  rule applyBuiltin(""set"", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS))"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
34	reference-semantics/semantics/builtins.k	44	rule		semantic-rule	"  rule applyBuiltin(""abs"", I:Int, .Vals) => absInt(I)"	unreachable	UNREACHED_FIXED_BASELINE	Exact trusted supplied-semantics entry; constructor/control unification excludes it from this theorem's execution.
