Script started on 2026-07-26 16:23:43-05:00 [<not executed on terminal>]
source_file_count=26
entry_count=950
kind_counts={'rule': 707, 'context': 5, 'syntax': 234, 'configuration': 1, 'claim': 3}
attribute_entry_counts={'function': 148, 'functional': 0, 'total': 108, 'symbol': 25, 'no-evaluators': 22, 'priority': 29, 'simplification': 1, 'concrete': 32, 'owise': 26, 'macro': 7, 'macro-rec': 1}

ID	LOCATION	KIND	ATTRIBUTES	DECLARATION_OR_RULE
K0001	reference-semantics/semantics/assert.k:6	rule	-	rule <k> Assert(V:Val) => .K ... </k>
K0002	reference-semantics/semantics/assert.k:8	rule	-	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
K0003	reference-semantics/semantics/assert.k:13	rule	priority	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0004	reference-semantics/semantics/bool.k:8	rule	-	rule applyUn("not", V:Val) => notBool truthy(V)
K0005	reference-semantics/semantics/bool.k:10	rule	-	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0006	reference-semantics/semantics/bool.k:11	rule	-	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0007	reference-semantics/semantics/bool.k:16	context	-	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	reference-semantics/semantics/bool.k:17	rule	-	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	reference-semantics/semantics/bool.k:18	rule	-	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k>
K0010	reference-semantics/semantics/bool.k:20	rule	-	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k>
K0011	reference-semantics/semantics/bool.k:22	rule	-	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k>
K0012	reference-semantics/semantics/bool.k:24	rule	-	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k>
K0013	reference-semantics/semantics/bool.k:29	rule	priority	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0014	reference-semantics/semantics/bool.k:31	rule	-	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap>
