id,source,module,keyword,classification,disposition,judgment,sentence_sha256
reference-semantics/semantics.k:34-34,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,bd63dc2187bec52366768ae5e226469b8a2ad2c4c545712a0aa741516c9edc32
reference-semantics/semantics.k:35-35,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,8224539e3a3db217e66bd2a98ec63461834dc106ed2a29c0444f710fefda65f8
reference-semantics/semantics.k:36-36,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,1e5b8702816aaf910a96fba0d81db1abbb6b851cb951d2599f700d2bc99dc68d
reference-semantics/semantics.k:37-37,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,aa5f663a5d1a12851ffd9c30d8f2ea8d3a5f525e2d67b7d0d58f7a8872201e30
reference-semantics/semantics.k:38-38,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,b194c4171e7ae0db64f5e70592f533a037cd2209b2efbffdbdce3f961c1ba8a3
reference-semantics/semantics.k:39-39,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,821ae9d706d11a65db65080f76bf3791956656836d0cd541a1ce2c7a7c0fc866
reference-semantics/semantics.k:40-40,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,4486f908787bb0107a24b945f3cc04fd35649f6fc896ddfb8287e00541fb24d2
reference-semantics/semantics.k:41-41,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,c686ca866c6c4244284f9c6fee5b4d3f0651dfee6f3b7caffa7acd081eedbf37
reference-semantics/semantics.k:42-42,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,3e6d049d0d07149d9b7da70a46f30478e3abc80a22c29d1bae5e92eb299269e5
reference-semantics/semantics.k:43-43,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,28167624a9874cf0814cc078c343db574329406ffd94ef33c6a15b3199409955
reference-semantics/semantics.k:44-44,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,a95bd351b20c771469491020adb0ced7ccb5e0d0925e1a2a2afec379202c449d
reference-semantics/semantics.k:45-45,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,4a702fffa1e16b4e2b9fe67d153dfac3c7e911bfa63b671a3bf13dcb280561fe
reference-semantics/semantics.k:46-46,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,f795613d9cb17629ce078e63a8a9c678058dd096cbc71b8d317b8f6dd90a9d92
reference-semantics/semantics.k:47-47,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,927b4eb4e3dce857ba8c6b0c9efa4dcea0bb75262d64b9d8c7acea80340f11d3
reference-semantics/semantics.k:48-48,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,3708c0fc4fe99cb67a5e6687f95ab01b6b5c12ce14e46e42eab67de05e8a5d10
reference-semantics/semantics.k:49-49,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,498f2b091406cd4a46c7abb4ef9bd80af213323fa3c73451330610c725364577
reference-semantics/semantics.k:50-50,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,bf13fda77786233dc0dc9153ae8cbafc7f9314e3888571436ecbcf652ed84416
reference-semantics/semantics.k:51-51,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,9dc1130a72c535f9390df5fdbf23b65d5eb8642149d9228616e15de0b282c1b6
reference-semantics/semantics.k:52-52,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,666c60af66b9a9a5e57ee0f3fc2f6b80fa7c40c65237af98051a82e0ae1568e3
reference-semantics/semantics.k:53-53,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,9879ce98eb6621931b97c6d9e8a5fb58ff797bc17ca199f746974bae0dcfbbbf
reference-semantics/semantics.k:54-54,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,d0eef04114b1f5a8e340ed83c998f08e618cdd739a8137db71723d6eafb0d8e3
reference-semantics/semantics.k:55-55,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,dff85649217fc5c356552912f0333bbf2a1eb50bc7d60382df3ce84a5585d73d
reference-semantics/semantics.k:56-57,reference-semantics/semantics.k,None,requires,requires,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,f5f94e239ba7397d1ac63fc775155ba549bf099b6f8a4a6036ab6fb3bdecfcb4
reference-semantics/semantics.k:59-59,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,3f50aa9686f46b12bc0245cf0bb26236f25ed1b1ee14f4a29688bf26f127c3f8
reference-semantics/semantics.k:60-60,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,36245a6e2a01a1599117c25f3221a01e1fc71670ec4374de9943a3af463cad9f
reference-semantics/semantics.k:61-61,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,8e482540addd3d556ce7f3467b427237ceb94f58164f59291963614783547e73
reference-semantics/semantics.k:62-62,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,e95d12c38e22a0e539f00a62c2efacd00339db6057c36b62dd39679a08050704
reference-semantics/semantics.k:63-63,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,dccbd2000f94bfe221b942bfba5850bbe80e88c3d8b75740ba27c715ff798c65
reference-semantics/semantics.k:64-64,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,606e2225a8b414df224769f70fc85de94be0a8417aa1a5e5bf579c234ea6bbfc
reference-semantics/semantics.k:65-65,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,17e77306f75cd9bcdde3334fd9c25b03f18d812041915bc1471bd36571271439
reference-semantics/semantics.k:66-66,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,399a4d0d6ab2e6cd1aa14cd5380417f3442b6af5978a87e2023e99b802b83dbf
reference-semantics/semantics.k:67-67,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,1b540d123f80233fd45599e653e196296b5f6084881819b27cafc7a44bcdf220
reference-semantics/semantics.k:68-68,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,39908357039a3a99946b85a4e33dd1a08ae14325b9a66390de11999b83eb73f2
reference-semantics/semantics.k:69-69,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,caccdc35620a8e8a9452bffaa2ece57d464af7180ff4b2013a4caff66e9b2550
reference-semantics/semantics.k:70-70,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,bb797023251a7d08b35850992453d5ea0180d2ad12fda97f1f040d37f98bcd49
reference-semantics/semantics.k:71-71,reference-semantics/semantics.k,MPY,imports,imports,PROOF_PATH_AUDITED,Matches the used execution path and preserves value/control/state.,b108cba3ec5405e0b4762d7e0ffe275a577b0a429ae58ba167f9dc36cb131b0a
