id,file,start_line,end_line,kind,attributes,decision,rationale
1,reference-semantics/semantics/assert.k,6,7,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
2,reference-semantics/semantics/assert.k,8,11,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
3,reference-semantics/semantics/assert.k,13,15,rule,priority,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
4,reference-semantics/semantics/bool.k,8,8,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
5,reference-semantics/semantics/bool.k,10,10,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
6,reference-semantics/semantics/bool.k,11,11,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
7,reference-semantics/semantics/bool.k,16,16,context,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
8,reference-semantics/semantics/bool.k,17,17,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
9,reference-semantics/semantics/bool.k,18,19,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
10,reference-semantics/semantics/bool.k,20,21,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
11,reference-semantics/semantics/bool.k,22,23,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
12,reference-semantics/semantics/bool.k,24,25,rule,,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
13,reference-semantics/semantics/bool.k,29,30,rule,priority,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
14,reference-semantics/semantics/bool.k,31,34,rule,priority,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
15,reference-semantics/semantics/bool.k,35,38,rule,priority,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
16,reference-semantics/semantics/bool.k,39,42,rule,priority,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
17,reference-semantics/semantics/bool.k,43,46,rule,priority,ACCEPT_FIXED_UNREACHABLE,unchanged supplied-semantics rule/context outside every construct reachable from solution.mpy in the target proof
18,reference-semantics/semantics/builtins.k,17,17,syntax,function,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for len dispatch and length of set values; inspected for this path
19,reference-semantics/semantics/builtins.k,20,20,syntax,function,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for len dispatch and length of set values; inspected for this path
20,reference-semantics/semantics/builtins.k,21,21,rule,,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for len dispatch and length of set values; inspected for this path
21,reference-semantics/semantics/builtins.k,22,22,rule,,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for len dispatch and length of set values; inspected for this path
22,reference-semantics/semantics/builtins.k,23,23,rule,,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for len dispatch and length of set values; inspected for this path
23,reference-semantics/semantics/builtins.k,24,24,rule,,ACCEPT_FIXED_USED,unchanged supplied-semantics declaration used for len dispatch and length of set values; inspected for this path
