id	file	line	kind	attributes	role	review_decision	normalized_declaration
1	semantics/assert.k	6	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	semantics/assert.k	8	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	semantics/assert.k	13	rule	priority(40)	supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	semantics/bool.k	8	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyUn("not", V:Val) => notBool truthy(V)
5	semantics/bool.k	10	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
6	semantics/bool.k	11	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2 // ==== BoolOp: short-circuit, value-returning and / or ===================== // the node is its own accumulator: heat the HEAD element only, then either return it // (short-circuit) or drop it and continue
7	semantics/bool.k	16	context		supplied-evaluation-context	FIXED_NONMATCHING_REVIEWED_ACCEPT	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	semantics/bool.k	17	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	semantics/bool.k	18	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
10	semantics/bool.k	20	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
11	semantics/bool.k	22	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp("or",  (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
12	semantics/bool.k	24	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp("or",  (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V) // ==== heap-object head: decide truthiness THROUGH the heap, never rewrite the // operand — and/or return the OBJECT itself (Python identity), not its structure
13	semantics/bool.k	29	rule	priority(40)	supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
14	semantics/bool.k	31	rule	priority(40)	supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
15	semantics/bool.k	35	rule	priority(40)	supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
16	semantics/bool.k	39	rule	priority(40)	supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
17	semantics/bool.k	43	rule	priority(40)	supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
18	semantics/builtins.k	17	syntax	function	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Val ::= applyBuiltin(String, Vals) [function] // ==== len(obj) — O(1) per kind ============================================
19	semantics/builtins.k	20	syntax	function	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Int ::= seqLen(Val) [function]
20	semantics/builtins.k	21	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("len", OBJ:Val, .Vals) => seqLen(OBJ)
21	semantics/builtins.k	22	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule seqLen(list(VS:ValSeq))                  => vsLen(VS)
22	semantics/builtins.k	23	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule seqLen(tuple(VS:ValSeq))                 => vsLen(VS)
23	semantics/builtins.k	24	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule seqLen(str(IS:IntSeq))                   => isLen(IS)
24	semantics/builtins.k	25	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule seqLen(setV(DS:IntSeq))                  => isLen(DS)
25	semantics/builtins.k	26	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule seqLen(rangeObj(LO:Int, HI:Int, ST:Int)) => rangeLen(LO, HI, ST) // ==== list(seq) — materialize a list/tuple into a list (e.g. list(d.keys())) == // Minimal: the "copy a sequence" case (list of a list is itself; list of a tuple keeps order). // list() of other iterables (str/range/set/zip) is added via the iterator fold when needed. // (k-cell — list() constructs a NEW object)
26	semantics/builtins.k	32	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #applyK(toCall(builtinV("list")), (list(VS:ValSeq),  .Vals)) => #alloc(list(VS)) ... </k>
27	semantics/builtins.k	33	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #applyK(toCall(builtinV("list")), (tuple(VS:ValSeq), .Vals)) => #alloc(list(VS)) ... </k>
28	semantics/builtins.k	34	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #applyK(toCall(builtinV("list")), .Vals)                     => #alloc(list(.ValSeq)) ... </k>
29	semantics/builtins.k	35	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #applyK(toCall(builtinV("list")), (str(CS:IntSeq), .Vals))   => #alloc(list(charsOf(CS))) ... </k>
30	semantics/builtins.k	36	syntax	function, total	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax ValSeq ::= charsOf(IntSeq) [function, total]
31	semantics/builtins.k	37	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule charsOf(.IntSeq)                => .ValSeq
32	semantics/builtins.k	38	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule charsOf(iCons(C:Int, R:IntSeq)) => vCons(str(iCons(C, .IntSeq)), charsOf(R)) // ==== set(str) — distinct character codes =================================
33	semantics/builtins.k	41	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("set", str(CS:IntSeq), .Vals) => setV(dedupCodes(CS)) // ==== abs(int) ============================================================
34	semantics/builtins.k	44	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule applyBuiltin("abs", I:Int, .Vals) => absInt(I) // ==== sum(iterable) — one #iterNext fold; intOf = int value of an int/bool ==
35	semantics/builtins.k	47	syntax		supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax KItem ::= #sumAcc(Iterable, Int) | #sumCont(Int)
36	semantics/builtins.k	48	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #sumAcc(IT:Iterable, ACC:Int) => #iterNext(IT) ~> #sumCont(ACC) ... </k>
37	semantics/builtins.k	49	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterDone ~> #sumCont(ACC:Int) => ACC ... </k>
38	semantics/builtins.k	50	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #iterYield(V:Val, R:Iterable) ~> #sumCont(ACC:Int) => #sumAcc(R, ACC +Int intOf(V)) ... </k> requires isInt(V) orBool isBool(V)
39	semantics/builtins.k	54	syntax	function	supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax Int ::= intOf(Val) [function]
40	semantics/builtins.k	55	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule intOf(I:Int)  => I
41	semantics/builtins.k	56	rule		supplied-equation	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule intOf(B:Bool) => #if B #then 1 #else 0 #fi // ==== all / any (short-circuiting #iterNext folds) ========================
42	semantics/builtins.k	59	syntax		supplied-syntax	FIXED_NONMATCHING_REVIEWED_ACCEPT	syntax KItem ::= #allAcc(Iterable) | "#allCont"
43	semantics/builtins.k	60	rule		supplied-operational-rule	FIXED_NONMATCHING_REVIEWED_ACCEPT	rule <k> #allAcc(IT:Iterable) => #iterNext(IT) ~> #allCont ... </k>
