Script started on 2026-07-28 02:04:17-05:00 [<not executed on terminal>]
     1	
     2	
     3	def fibfib(n: int):
     4	    """The FibFib number sequence is a sequence similar to the Fibbonacci sequnece that's defined as follows:
     5	    fibfib(0) == 0
     6	    fibfib(1) == 0
     7	    fibfib(2) == 1
     8	    fibfib(n) == fibfib(n-1) + fibfib(n-2) + fibfib(n-3).
     9	    Please write a function to efficiently compute the n-th element of the fibfib number sequence.
    10	    >>> fibfib(1)
    11	    0
    12	    >>> fibfib(5)
    13	    4
    14	    >>> fibfib(8)
    15	    24
    16	    """
3f6b45cdf3c576835537ba1cce2414a28f96b7a82157533ba221807ea2aa6147  /reference/k-proof/prompt.py
0cf33d5284d79f2e22a3fcda0ea7faf013c1968dffafba51645bd5591dca08be  /reference/k-proof/solution.py
4ae5eadda2bc9e05737c549a4ae38413d20a0bd9a520a71bf1100855124657f0  /reference/k-proof/solution.mpy
7485c013160a3c87d014230cfb0fbc65fa22f68b5e1e10257f86de605df147e4  /reference/k-proof/semantic.k
43829c5c7945ee6b0c67bca30e73826958e9d2997c09074475e357b68c8d399d  /reference/k-proof/verification.k
44f6ec4ca7e23231ed2a510d3b3977544e34ca37948d559729a83640ff405309  /reference/k-proof/spec.k

Script done on 2026-07-28 02:04:17-05:00 [COMMAND_EXIT_CODE="0"]
