id	file	line	kind	attributes	audit_decision	declaration_or_rule
K0001	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/assert.k	6	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0002	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/assert.k	8	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0003	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/assert.k	13	rule	priority	ACCEPT-NO-FALSE-WITNESS	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0004	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	8	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyUn("not", V:Val) => notBool truthy(V)
K0005	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	10	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0006	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	11	rule	-	ACCEPT-NO-FALSE-WITNESS	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0007	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	16	context	-	ACCEPT-NO-FALSE-WITNESS	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	17	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	18	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0010	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	20	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
K0011	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	22	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp("or", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)
K0012	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	24	rule	-	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp("or", (V:Val, A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> requires notBool truthy(V)
K0013	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	29	rule	priority	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp(_:String, (ref(H:Int), .Exprs)) => ref(H) ... </k> [priority(40)]
K0014	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	31	rule	priority	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp("and", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0015	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	35	rule	priority	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp("and", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0016	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	39	rule	priority	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp("or", (ref(H:Int), _:Expr, _:Exprs)) => ref(H) ... </k> <heap> ... H |-> V:Val ... </heap> requires truthy(V) [priority(40)]
K0017	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/bool.k	43	rule	priority	ACCEPT-NO-FALSE-WITNESS	rule <k> BoolOp("or", (ref(H:Int), A:Expr, REST:Exprs)) => BoolOp("or", (A, REST)) ... </k> <heap> ... H |-> V:Val ... </heap> requires notBool truthy(V) [priority(40)]
K0018	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	17	syntax	function	ACCEPT-NO-FALSE-WITNESS	syntax Val ::= applyBuiltin(String, Vals) [function]
K0019	/tmp/audit-work/86-anti-shuffle/reference-semantics/semantics/builtins.k	20	syntax	function	ACCEPT-NO-FALSE-WITNESS	syntax Int ::= seqLen(Val) [function]
