COMMAND: python3 /audit-output/evidence/rule_inventory.py
WORKDIR: /tmp/audit-work/27-flip-case
--- OUTPUT ---
id	location	kind	attributes	role_decision	entry_sha256	entry_preview
1	reference-semantics/semantics/assert.k:3	module	-	MODULE_STRUCTURE	c9be78fdc587dd075a47c08e505694a8890633ae600b52f886a4ff33046c24b6	module MPY-ASSERT
2	reference-semantics/semantics/assert.k:4	imports	-	MODULE_STRUCTURE	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
3	reference-semantics/semantics/assert.k:6	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	0bd746d98b5bb68ba60ab52af39566743029fc747467b1c6057fdf4f8308cafd	rule <k> Assert(V:Val) => .K ... </k>
4	reference-semantics/semantics/assert.k:7	requires	-	MODULE_STRUCTURE	c833e85c6376d44a4a5e0d8869985104dcef66a058ada6edf6862ecb130bc6f7	requires truthy(V)
5	reference-semantics/semantics/assert.k:8	rule	-	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	2f741fffa33634f538bd746d15eda1e5dc77c111740d99381ebe1cd265598510	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code>
6	reference-semantics/semantics/assert.k:11	requires	-	MODULE_STRUCTURE	06335cd982539f0d53b365a48851c1d19ef2ed2762293837fb3fb378fdd08218	requires notBool truthy(V)
7	reference-semantics/semantics/assert.k:13	rule	priority	UNUSED_FIXED_BASELINE_NO_TARGET_INFLUENCE	5ee0a6a35fcd29b9d9865669d9fc414eb7c9fda1ca4ebba5d4dc29ee8989f76d	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
8	reference-semantics/semantics/assert.k:16	endmodule	-	MODULE_STRUCTURE	4c5df27adc717388cee7175c70de02f160d4f9a8e25c48eb0fc23e1968ad13f4	endmodule
9	reference-semantics/semantics/bool.k:5	module	-	MODULE_STRUCTURE	d0f4ccd7f134c7e028e54d830d022d5ca267e8266c1692006db410b48d14f7c1	module MPY-BOOL
10	reference-semantics/semantics/bool.k:6	imports	-	MODULE_STRUCTURE	4258a966960e81238ac1318ebb92f5cd383bcf94ed5077b6dea55341a4254bfd	imports MPY-CORE
