ordinal	source_rule_id	span	attributes	independent_classification	semantic_judgment
1	rule-65ee359690c078f314b8315c3c94f6b34835bd20c0477637da6af76778cb6311	9-51	[]	DEFINITION	Nullary macro naming the exact closureVal/Return AST of solution.mpy; it asserts no proposition.
2	rule-a1eb58804a065f00833d0cbff55cae05f7761567a754ebd590c73ddaa855646c	58-60	[concrete]	DEFINITION	Concrete equation for the named trustedFloatEq proof term, reducing it to the supplied FLOAT equality hook; it is not a mathematical implication.
3	rule-c6539c39ccea106c35e916b768648493791aeac70bc31344ebb53f72dbce4b71	64-70	[priority(40)]	OPERATIONAL_RULE	K-cell observation step for already evaluated Float operands; it routes equality to trustedFloatEq and preserves the continuation. The frozen dispatch path is Compare -> applyCmp -> Float equality.
4	rule-b1545a06cd0d3ee4ecafe211cfda36d9751f52e9da5c1c1de2cbe40bac4f6a0d	79	[]	DEFINITION	Int branch of the ratSquare summary.
5	rule-31b9c981ad4580f01b7319d650db78633cceddfae0847e5882e90719f8f93a15	80	[]	DEFINITION	Float branch of the ratSquare summary using supplied mulF.
6	rule-aa80bc4e205f53786d399a0371853b4f4eae4815b58b747ea925bc44702ee37e	82	[]	DEFINITION	Int/Int branch of the ratAdd summary.
7	rule-9fb7033cdbeb63a2d02cc452e8e120a0703114f66571646d17900b17d023ccda	83	[]	DEFINITION	Float/Float branch of the ratAdd summary using supplied addF.
8	rule-df4850e1b3b778356ac4b1e4fb8f71d6b6e16b0e00f292bd3c53d92dc38fff98	84	[]	DEFINITION	Int/Float branch of ratAdd using supplied intToF and addF.
9	rule-26fd9a98998e60f90ca8da1882e9dd903042f49046e2e06c353ae351866725aa	85	[]	DEFINITION	Float/Int branch of ratAdd using supplied intToF and addF.
10	rule-010bd337cb206f908725187e688369f657100fa2471779046a1410fbc1698f55	87	[]	DEFINITION	Int/Int branch of the ratEq summary.
11	rule-1afabb2501ba90f7b6b2f4a191175e8345881ad804004a8236b0d9f6c1f2938b	88	[]	DEFINITION	Float/Float branch of ratEq in terms of the named trustedFloatEq proof term.
12	rule-f057392d9a01c96d24175b0d4f7208b353fa74cbca6db6a0fe229d27cbb63742	89	[]	DEFINITION	Int/Float branch of ratEq using supplied eqIF.
13	rule-b0af0664109d2a9418b589eebb1c7d92db991a458e003b53c3df708fa93f9f96	90	[]	DEFINITION	Float/Int branch of ratEq using the supplied canonical eqIF argument order.
14	rule-d8d41e07eca28f709366e4001ff4bb2533907409c202365ff87267e3f7c2a3c5	92-95	[]	DEFINITION	Composition defining ratExpected as the three Pythagorean alternatives; it names the postcondition expression without asserting it as a fact.

COUNTS	DEFINITION=13	OPERATIONAL_RULE=1	PROVED_DERIVED_LEMMA=0	DOMAIN_LEMMA=0
SIMPLIFICATION_CHECK	No inventory entry has the simplification attribute.
