id	location	kind	attributes	function	total	functional	opaque_symbol	priority	simplification	relevance	decision	normalized_source
1	reference-semantics/semantics.k:34	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/syntax.k"""
2	reference-semantics/semantics.k:35	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/core.k"""
3	reference-semantics/semantics.k:36	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/iter.k"""
4	reference-semantics/semantics.k:37	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/range.k"""
5	reference-semantics/semantics.k:38	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/operators.k"""
6	reference-semantics/semantics.k:39	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/int.k"""
7	reference-semantics/semantics.k:40	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/bool.k"""
8	reference-semantics/semantics.k:41	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/float.k"""
9	reference-semantics/semantics.k:42	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/str.k"""
10	reference-semantics/semantics.k:43	requires	-	no	no	no	no	no	no	imported-unreached	ACCEPTED_FIXED_SUPPLIED_BASELINE_UNUSED_NO_TASK_WITNESS	"requires ""semantics/set.k"""
