file	kind	start_line	end_line	disposition	reason	source
reference-semantics/semantics/assert.k	module	3	3	INSPECTED_FIXED_UNREACHED	No submitted construct or proof state reaches this declaration.	module MPY-ASSERT
reference-semantics/semantics/assert.k	imports	4	5	INSPECTED_FIXED_UNREACHED	No submitted construct or proof state reaches this declaration.	imports MPY-CORE
reference-semantics/semantics/assert.k	rule	6	7	INSPECTED_FIXED_UNREACHED	No submitted construct or proof state reaches this declaration.	rule <k> Assert(V:Val) => .K ... </k>
reference-semantics/semantics/assert.k	rule	8	12	INSPECTED_FIXED_UNREACHED	No submitted construct or proof state reaches this declaration.	rule <k> Assert(V:Val) ~> _ => .K </k>
reference-semantics/semantics/assert.k	rule	13	15	INSPECTED_FIXED_UNREACHED	No submitted construct or proof state reaches this declaration.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k>
reference-semantics/semantics/assert.k	endmodule	16	16	INSPECTED_FIXED_UNREACHED	No submitted construct or proof state reaches this declaration.	endmodule
reference-semantics/semantics/bool.k	module	5	5	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	module MPY-BOOL
reference-semantics/semantics/bool.k	imports	6	7	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	imports MPY-CORE
reference-semantics/semantics/bool.k	rule	8	9	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
reference-semantics/semantics/bool.k	rule	10	10	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
reference-semantics/semantics/bool.k	rule	11	15	INSPECTED_FIXED_NO_USED_PATH_FALSE_WITNESS	Supplied declaration is routine/relevant or inert; no intended-path false conclusion was found. Module-level details are in REVIEW.md.	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
