COMMAND: ./evidence/differential_test.py /tmp/audit-work/92-any-int/reference/canonical.py /tmp/audit-work/92-any-int/candidate/solution.py
WORKDIR: /audit-output
--- OUTPUT ---
oracle=/reference/canonical.py:any_int
subject=/tmp/audit-work/92-any-int/candidate/solution.py:any_int
named_cases=27
NAMED example-first-equality: args=(5, 2, 7) canonical=('return', True) generated=('return', True)
NAMED example-no-equality: args=(3, 2, 2) canonical=('return', False) generated=('return', False)
NAMED example-negative: args=(3, -2, 1) canonical=('return', True) generated=('return', True)
NAMED example-noninteger: args=(3.6, -2.2, 2) canonical=('return', False) generated=('return', False)
NAMED first-equality-only: args=(2, 3, 5) canonical=('return', True) generated=('return', True)
NAMED second-equality-only: args=(2, 5, 3) canonical=('return', True) generated=('return', True)
NAMED third-equality-only: args=(5, 2, 3) canonical=('return', True) generated=('return', True)
NAMED all-equalities-zero: args=(0, 0, 0) canonical=('return', True) generated=('return', True)
NAMED negative-first-equality: args=(-5, 2, -3) canonical=('return', True) generated=('return', True)
NAMED large-unbounded-int: args=(10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, -10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, 0) canonical=('return', True) generated=('return', True)
NAMED float-position-1: args=(1.0, 2, 3) canonical=('return', False) generated=('return', False)
NAMED float-position-2: args=(1, 2.0, 3) canonical=('return', False) generated=('return', False)
NAMED float-position-3: args=(1, 2, 3.0) canonical=('return', False) generated=('return', False)
NAMED nan: args=(nan, 0, 0) canonical=('return', False) generated=('return', False)
NAMED positive-infinity: args=(inf, 1, 2) canonical=('return', False) generated=('return', False)
NAMED bool-position-1: args=(True, 1, 2) canonical=('return', True) generated=('return', False)
NAMED bool-position-2: args=(1, True, 2) canonical=('return', True) generated=('return', False)
NAMED bool-position-3: args=(1, 2, True) canonical=('return', True) generated=('return', False)
NAMED all-bool: args=(True, False, True) canonical=('return', True) generated=('return', False)
NAMED int-subclass-position-1: args=(1, 1, 2) canonical=('return', True) generated=('return', False)
NAMED int-subclass-position-2: args=(1, 1, 2) canonical=('return', True) generated=('return', False)
NAMED int-subclass-position-3: args=(1, 2, 1) canonical=('return', True) generated=('return', False)
NAMED decimal: args=(Decimal('1'), 2, 3) canonical=('return', False) generated=('return', False)
NAMED fraction: args=(Fraction(1, 1), 2, 3) canonical=('return', False) generated=('return', False)
NAMED complex: args=((1+0j), 2, 3) canonical=('return', False) generated=('return', False)
NAMED string-invalid: args=('1', 2, 3) canonical=('return', False) generated=('return', False)
NAMED none-invalid: args=(None, 2, 3) canonical=('return', False) generated=('return', False)
generated_unique_cases=5472
total_unique_cases=5485
mismatch_count=176
MISMATCH 1: class=bool-position-1 args=(True, 1, 2) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 2: class=bool-position-2 args=(1, True, 2) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 3: class=bool-position-3 args=(1, 2, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 4: class=all-bool args=(True, False, True) types=('bool', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 5: class=int-subclass-position-1 args=(1, 1, 2) types=('IntSubclass', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 6: class=int-subclass-position-2 args=(1, 1, 2) types=('int', 'IntSubclass', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 7: class=int-subclass-position-3 args=(1, 2, 1) types=('int', 'int', 'IntSubclass') canonical=('return', True) generated=('return', False)
MISMATCH 8: class=generated args=(-2, -2, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 9: class=generated args=(-2, -1, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 10: class=generated args=(-2, 2, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 11: class=generated args=(-2, False, -2) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 12: class=generated args=(-2, False, 2) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 13: class=generated args=(-2, True, -1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 14: class=generated args=(-1, -2, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 15: class=generated args=(-1, -1, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 16: class=generated args=(-1, 0, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 17: class=generated args=(-1, 1, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 18: class=generated args=(-1, 2, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 19: class=generated args=(-1, False, -1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 20: class=generated args=(-1, False, 1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 21: class=generated args=(-1, False, True) types=('int', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 22: class=generated args=(-1, True, -2) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 23: class=generated args=(-1, True, 0) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 24: class=generated args=(-1, True, 2) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 25: class=generated args=(-1, True, False) types=('int', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 26: class=generated args=(0, -1, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 27: class=generated args=(0, 0, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 28: class=generated args=(0, 1, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 29: class=generated args=(0, False, 0) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 30: class=generated args=(0, False, False) types=('int', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 31: class=generated args=(0, True, -1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 32: class=generated args=(0, True, 1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 33: class=generated args=(0, True, True) types=('int', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 34: class=generated args=(1, -1, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 35: class=generated args=(1, 0, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 36: class=generated args=(1, 1, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 37: class=generated args=(1, False, -1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 38: class=generated args=(1, False, 1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 39: class=generated args=(1, False, True) types=('int', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 40: class=generated args=(1, True, 0) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 41: class=generated args=(1, True, False) types=('int', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 42: class=generated args=(2, -2, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 43: class=generated args=(2, -1, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 44: class=generated args=(2, 1, True) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 45: class=generated args=(2, 2, False) types=('int', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 46: class=generated args=(2, False, -2) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 47: class=generated args=(2, False, 2) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 48: class=generated args=(2, True, -1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 49: class=generated args=(2, True, 1) types=('int', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 50: class=generated args=(2, True, True) types=('int', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 51: class=generated args=(False, -2, -2) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 52: class=generated args=(False, -2, 2) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 53: class=generated args=(False, -1, -1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 54: class=generated args=(False, -1, 1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 55: class=generated args=(False, -1, True) types=('bool', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 56: class=generated args=(False, 0, 0) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 57: class=generated args=(False, 0, False) types=('bool', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 58: class=generated args=(False, 1, -1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 59: class=generated args=(False, 1, 1) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 60: class=generated args=(False, 1, True) types=('bool', 'int', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 61: class=generated args=(False, 2, -2) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 62: class=generated args=(False, 2, 2) types=('bool', 'int', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 63: class=generated args=(False, False, 0) types=('bool', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 64: class=generated args=(False, False, False) types=('bool', 'bool', 'bool') canonical=('return', True) generated=('return', False)
MISMATCH 65: class=generated args=(False, True, -1) types=('bool', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 66: class=generated args=(False, True, 1) types=('bool', 'bool', 'int') canonical=('return', True) generated=('return', False)
MISMATCH 67: class=generated args=(False, True, True) types=('bool', 'bool', 'bool') canonical=('return', True) generated=('return', False)
