COMMAND: python3 /audit-output/evidence/ground_witnesses.py
CLAIM=triangle-area-int K_INPUTS=('3:Int', '4:Int', '5:Int') PY_INPUTS=(3, 4, 5) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-int-int-float K_INPUTS=('3:Int', '4:Int', '5.0:Float') PY_INPUTS=(3, 4, 5.0) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-int-int-bool K_INPUTS=('3:Int', '4:Int', 'true:Bool') PY_INPUTS=(3, 4, True) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-int-float-int K_INPUTS=('3:Int', '4.0:Float', '5:Int') PY_INPUTS=(3, 4.0, 5) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-int-float-float K_INPUTS=('3:Int', '4.0:Float', '5.0:Float') PY_INPUTS=(3, 4.0, 5.0) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-int-float-bool K_INPUTS=('3:Int', '4.0:Float', 'true:Bool') PY_INPUTS=(3, 4.0, True) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-int-bool-int K_INPUTS=('3:Int', 'true:Bool', '5:Int') PY_INPUTS=(3, True, 5) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-int-bool-float K_INPUTS=('3:Int', 'true:Bool', '5.0:Float') PY_INPUTS=(3, True, 5.0) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-int-bool-bool K_INPUTS=('3:Int', 'true:Bool', 'true:Bool') PY_INPUTS=(3, True, True) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-float-int-int K_INPUTS=('3.0:Float', '4:Int', '5:Int') PY_INPUTS=(3.0, 4, 5) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-float-int-float K_INPUTS=('3.0:Float', '4:Int', '5.0:Float') PY_INPUTS=(3.0, 4, 5.0) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-float-int-bool K_INPUTS=('3.0:Float', '4:Int', 'true:Bool') PY_INPUTS=(3.0, 4, True) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-float-float-int K_INPUTS=('3.0:Float', '4.0:Float', '5:Int') PY_INPUTS=(3.0, 4.0, 5) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-float-float-float K_INPUTS=('3.0:Float', '4.0:Float', '5.0:Float') PY_INPUTS=(3.0, 4.0, 5.0) FORMAL_GROUND=6.0 CANDIDATE=6.0 CANONICAL=6.0 AGREES=True
CLAIM=triangle-area-float-float-bool K_INPUTS=('3.0:Float', '4.0:Float', 'true:Bool') PY_INPUTS=(3.0, 4.0, True) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
CLAIM=triangle-area-float-bool-int K_INPUTS=('3.0:Float', 'true:Bool', '5:Int') PY_INPUTS=(3.0, True, 5) FORMAL_GROUND=-1 CANDIDATE=-1 CANONICAL=-1 AGREES=True
