id	file	module	lines	kind	classification	attributes	program_relevance	assessment	source
1	reference-semantics/semantics/assert.k	MPY-ASSERT	6-7	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
2	reference-semantics/semantics/assert.k	MPY-ASSERT	8-11	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
3	reference-semantics/semantics/assert.k	MPY-ASSERT	13-15	rule	priority-semantic-rule	priority(40)	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
4	reference-semantics/semantics/bool.k	MPY-BOOL	8-8	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	"rule applyUn(""not"", V:Val) => notBool truthy(V)"
5	reference-semantics/semantics/bool.k	MPY-BOOL	10-10	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	"rule applyCmp(""=="", B1:Bool, B2:Bool) => B1 ==Bool B2"
6	reference-semantics/semantics/bool.k	MPY-BOOL	11-11	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	"rule applyCmp(""!="", B1:Bool, B2:Bool) => B1 =/=Bool B2"
7	reference-semantics/semantics/bool.k	MPY-BOOL	16-16	context	evaluation-context	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	context BoolOp(_, (HOLE:Expr, _:Exprs))
8	reference-semantics/semantics/bool.k	MPY-BOOL	17-17	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
9	reference-semantics/semantics/bool.k	MPY-BOOL	18-19	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	"rule <k> BoolOp(""and"", (V:Val, A:Expr, REST:Exprs)) => BoolOp(""and"", (A, REST)) ... </k> requires truthy(V)"
10	reference-semantics/semantics/bool.k	MPY-BOOL	20-21	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	"rule <k> BoolOp(""and"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)"
11	reference-semantics/semantics/bool.k	MPY-BOOL	22-23	rule	ordinary-semantic-rule	-	unused-by-program	UNUSED_FIXED_SEMANTICS: inspected as a supplied declaration/rule; it is not reachable from the submitted AST, is not a simplification rule, and contains no task-specific conclusion. No false conclusion witness or proof dependency was identified.	"rule <k> BoolOp(""or"", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires truthy(V)"
