id	source	line	kind	attributes	used	decision	review	statement
K0001	semantics/assert.k	6	rule		no	ACCEPT_FIXED_SUPPLIED_UNUSED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not reachable from solution.mpy under the entry precondition	rule <k> Assert(V:Val) => .K ... </k> requires truthy(V)
K0002	semantics/assert.k	8	rule		no	ACCEPT_FIXED_SUPPLIED_UNUSED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not reachable from solution.mpy under the entry precondition	rule <k> Assert(V:Val) ~> _ => .K </k> <exc> NoExc => AssertionError </exc> <exit-code> _ => 1 </exit-code> requires notBool truthy(V)
K0003	semantics/assert.k	13	rule	priority(40)	no	ACCEPT_FIXED_SUPPLIED_UNUSED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not reachable from solution.mpy under the entry precondition	rule <k> Assert(ref(H:Int)) => Assert(V) ... </k> <heap> ... H |-> V:Val ... </heap> [priority(40)]
K0004	semantics/bool.k	8	rule		yes	ACCEPT_FIXED_SUPPLIED_USED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not and Bool comparison	rule applyUn("not", V:Val) => notBool truthy(V)
K0005	semantics/bool.k	10	rule		yes	ACCEPT_FIXED_SUPPLIED_USED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not and Bool comparison	rule applyCmp("==", B1:Bool, B2:Bool) => B1 ==Bool B2
K0006	semantics/bool.k	11	rule		yes	ACCEPT_FIXED_SUPPLIED_USED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not and Bool comparison	rule applyCmp("!=", B1:Bool, B2:Bool) => B1 =/=Bool B2
K0007	semantics/bool.k	16	context		no	ACCEPT_FIXED_SUPPLIED_UNUSED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not reachable from solution.mpy under the entry precondition	context BoolOp(_, (HOLE:Expr, _:Exprs))
K0008	semantics/bool.k	17	rule		no	ACCEPT_FIXED_SUPPLIED_UNUSED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not reachable from solution.mpy under the entry precondition	rule <k> BoolOp(_:String, (V:Val, .Exprs)) => V ... </k>
K0009	semantics/bool.k	18	rule		no	ACCEPT_FIXED_SUPPLIED_UNUSED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not reachable from solution.mpy under the entry precondition	rule <k> BoolOp("and", (V:Val, A:Expr, REST:Exprs)) => BoolOp("and", (A, REST)) ... </k> requires truthy(V)
K0010	semantics/bool.k	20	rule		no	ACCEPT_FIXED_SUPPLIED_UNUSED	byte-identical trusted SUPPLIED_SEMANTICS baseline; not reachable from solution.mpy under the entry precondition	rule <k> BoolOp("and", (V:Val, _:Expr, _:Exprs)) => V ... </k> requires notBool truthy(V)
