source_construct	declaration	fixed_rules	proof_role	audit_result
Module / FuncDef / Params	semantics/syntax.k:7-62; semantics/core.k:126; semantics/functions.k:14-16	#loadAll and FuncDef bind the exact closure body; the entry theorem starts from that mechanically equal closure binding	constructor pinning	Exact expanded KAST equality; omitting module load is semantically inert for the isolated entry call
Call(user closure)	semantics/syntax.k:25; semantics/call.k:19-21,69-74; semantics/functions.k:63-66,78-90	Callee then arguments evaluate left-to-right; a new scope/frame is allocated; return restores all cells	entry and initialization	Sound on exact empty caller continuation and state
Assign(Name, RHS)	semantics/syntax.k:38; semantics/core.k:133-135; semantics/controls.k:9-18	RHS strictness precedes current-scope write	initialization and loop body	Sound; candidate uses plain non-cell locals
Name lookup	semantics/syntax.k:11; semantics/core.k:100-123	Walks local scope to builtins, with ordinary lexical binding	reads s, char, code, result, ord	Sound; maps in claims pin all bindings
Int / Str literals	semantics/syntax.k:7-10; semantics/core.k:142-144; semantics/str.k:13-17	Int returns K Int; empty Str maps to empty IntSeq	initializers and thresholds	Sound for literals used; supplied str parser is ASCII-only
For / string iteration	semantics/syntax.k:40; semantics/controls.k:65-74; semantics/str.k:8-10; semantics/tuple.k:31-41	Iterable evaluated once; each code becomes a one-code string and binds char; empty sequence ends	loop invariant	Sound for symbolic str(IntSeq), with preserved order
ord call	semantics/core.k:100-138; semantics/call.k:20-32; semantics/builtins.k:17,143	Name resolves to builtinV("ord"); one-character string returns its sole code	loop body	Sound for every yielded one-code string
Compare >= and <=	semantics/syntax.k:27-28; semantics/operators.k:15-17; semantics/int.k:23,25	Left/right order is explicit; integer comparison returns Bool	ASCII guard	Sound as an ASCII threshold; not equivalent to canonical str.isupper on Unicode
BoolOp("and")	semantics/syntax.k:13; semantics/bool.k:16-25	Short-circuits left-to-right and returns the selected value	combined guard	Sound; both operands are Bool here
If	semantics/syntax.k:42; semantics/controls.k:51-54	Strict guard is passed through truthy and selects exactly one branch	accumulator branch	Sound for Bool guard
AugAssign("+")	semantics/syntax.k:41; semantics/controls.k:20-31; semantics/int.k:9-12	Reads existing local result and applies integer addition	when threshold passes	Sound; locals are Int, not refs/cells
Return / frame pop	semantics/syntax.k:45; semantics/functions.k:78-90	Return discards remaining callee statements, records value, restores caller env/scope/stack	final result	Sound in exact call frame and continuation matched by claims
digitSumSpec	verification.k:60-66	Base 0; recursively add code iff 65 <= code <= 90	result postcondition	Total, terminating, disjoint equations; exact for candidate, inadequate for canonical Unicode contract
